Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,79400.0,80500.0,79300.0,80000.0,69277.34375,1758207
2012-06-19,80000.0,80400.0,79500.0,80000.0,69277.34375,1075002
2012-06-20,80900.0,81000.0,79600.0,80000.0,69277.34375,885863
2012-06-21,79700.0,80300.0,78700.0,78800.0,68238.1875,787586
2012-06-22,77900.0,78200.0,77200.0,77500.0,67112.421875,1091383
2012-06-25,77000.0,77900.0,76500.0,77300.0,66939.234375,1093969
2012-06-26,76700.0,77000.0,75800.0,76100.0,65900.078125,1303895
2012-06-27,76100.0,76200.0,72500.0,73600.0,63735.1640625,3269041
2012-06-28,74300.0,74400.0,73400.0,74300.0,64341.33203125,1215687
2012-06-29,73000.0,74700.0,72500.0,74700.0,64687.7265625,1357694
2012-07-02,75600.0,75900.0,75000.0,75300.0,65207.3046875,950363
2012-07-03,75800.0,75800.0,73100.0,73500.0,63648.55859375,2542262
2012-07-04,74300.0,74500.0,73600.0,74500.0,64514.53515625,1786898
2012-07-05,74600.0,74800.0,73800.0,74100.0,64168.1328125,835637
2012-07-06,74400.0,74500.0,73500.0,73700.0,63821.75,758448
2012-07-09,73500.0,73500.0,72500.0,72500.0,62782.58984375,1089210
2012-07-10,73300.0,73500.0,72000.0,73100.0,63302.17578125,787094
2012-07-11,72800.0,73500.0,72200.0,73200.0,63388.76953125,654559
2012-07-12,73800.0,74200.0,72300.0,72300.0,62609.3984375,1523761
2012-07-13,72700.0,74500.0,72000.0,74100.0,64168.1328125,1465513
2012-07-16,74700.0,74700.0,74000.0,74300.0,64341.33203125,1035798
2012-07-17,74000.0,74400.0,73000.0,73700.0,63821.75,848663
2012-07-18,73700.0,74500.0,72900.0,72900.0,63128.97265625,908218
2012-07-19,74500.0,75200.0,73800.0,75200.0,65120.69921875,1188657
2012-07-20,75500.0,76100.0,74600.0,76000.0,65813.4765625,1158791
2012-07-23,75000.0,75000.0,74000.0,74200.0,64254.73828125,1020537
2012-07-24,74500.0,76300.0,74000.0,76000.0,65813.4765625,1253657
2012-07-25,75100.0,76500.0,74600.0,76300.0,66073.265625,1467003
2012-07-26,76300.0,76900.0,75100.0,76300.0,66073.265625,1055736
2012-07-27,77300.0,77600.0,75800.0,76400.0,66159.859375,1630138
2012-07-30,77000.0,77500.0,76000.0,76000.0,65813.4765625,1627024
2012-07-31,76400.0,79000.0,76200.0,78100.0,67632.0234375,2398031
2012-08-01,77700.0,78500.0,77500.0,78200.0,67718.6015625,956172
2012-08-02,78900.0,79000.0,77000.0,77800.0,67372.2265625,1224760
2012-08-03,76700.0,77200.0,75400.0,75500.0,65380.49609375,1478697
