Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,14500.0,15000.0,14500.0,14600.0,11059.8681640625,5500
2000-01-05,14600.0,14900.0,14250.0,14900.0,11287.1259765625,23300
2000-01-06,15000.0,15200.0,14300.0,14450.0,10946.2392578125,10000
2000-01-07,14500.0,15000.0,14300.0,14600.0,11059.8681640625,13000
2000-01-10,15500.0,15500.0,14600.0,14950.0,11325.0048828125,12800
2000-01-11,14600.0,15350.0,13900.0,14400.0,10908.3623046875,69600
2000-01-12,14400.0,14850.0,14000.0,14350.0,10870.4873046875,12600
2000-01-13,14350.0,14600.0,13400.0,13400.0,10150.8388671875,40000
2000-01-14,13750.0,14150.0,13550.0,13900.0,10529.6005859375,44300
2000-01-17,14350.0,14350.0,13700.0,13800.0,10453.849609375,30600
2000-01-18,13700.0,13900.0,13450.0,13800.0,10453.849609375,21300
2000-01-19,13600.0,13600.0,13200.0,13400.0,10150.8388671875,22700
2000-01-20,12700.0,13300.0,12700.0,13000.0,9847.828125,24700
2000-01-21,12700.0,13200.0,12650.0,13100.0,9923.580078125,11000
2000-01-24,12700.0,13300.0,12500.0,12900.0,9772.0751953125,53200
2000-01-25,12800.0,13500.0,12800.0,13300.0,10075.0869140625,23800
2000-01-26,13300.0,13500.0,13100.0,13500.0,10226.58984375,20000
2000-01-27,13250.0,14700.0,13250.0,14550.0,11021.9931640625,32500
2000-01-28,14000.0,14400.0,13800.0,14300.0,10832.6083984375,7200
2000-01-31,14000.0,14300.0,13500.0,14000.0,10605.3515625,4600
2000-02-01,14100.0,15700.0,14000.0,15000.0,11362.876953125,43800
2000-02-02,15000.0,15700.0,14700.0,15000.0,11362.876953125,24500
2000-02-03,15000.0,15200.0,14550.0,14900.0,11287.1259765625,12200
2000-02-04,14900.0,14900.0,14900.0,14900.0,11287.1259765625,0
2000-02-07,14900.0,15500.0,14900.0,15500.0,11741.6416015625,57400
2000-02-08,15500.0,15600.0,15000.0,15300.0,11590.1357421875,15100
2000-02-09,15000.0,15250.0,14300.0,14650.0,11097.7451171875,15000
2000-02-10,14650.0,14650.0,13250.0,13250.0,10037.208984375,10400
2000-02-11,13500.0,15000.0,13500.0,15000.0,11362.876953125,15200
2000-02-14,14150.0,15000.0,14150.0,14800.0,11211.3740234375,4900
2000-02-15,14300.0,16000.0,14300.0,16000.0,12120.4052734375,121300
2000-02-16,16600.0,16600.0,15000.0,15950.0,12082.5283203125,73500
2000-02-17,15300.0,16000.0,15300.0,16000.0,12120.4052734375,12700
2000-02-18,16300.0,17100.0,15900.0,17000.0,12877.927734375,53300
2000-02-21,17300.0,17300.0,16200.0,17200.0,13029.43359375,22800
2000-02-22,17200.0,17400.0,16400.0,16900.0,12802.177734375,24200
2000-02-23,16900.0,17000.0,16300.0,17000.0,12877.927734375,46300
2000-02-24,17000.0,19000.0,16300.0,17600.0,13332.443359375,65200
2000-02-25,17600.0,17600.0,16500.0,17000.0,12877.927734375,19400
2000-02-28,17100.0,17700.0,16550.0,16900.0,12802.177734375,27800
2000-02-29,16550.0,17950.0,16550.0,17950.0,13597.576171875,61700
2000-03-01,17950.0,17950.0,17950.0,17950.0,13597.576171875,0
2000-03-02,18500.0,20600.0,18500.0,20600.0,15605.0205078125,82700
2000-03-03,20600.0,20800.0,18500.0,18550.0,14052.0908203125,73000
2000-03-06,19450.0,19900.0,18050.0,18800.0,14241.4755859375,47800
2000-03-07,18250.0,18800.0,17100.0,17500.0,13256.69140625,26000
2000-03-08,18000.0,18600.0,17500.0,17850.0,13521.8232421875,37000
2000-03-09,17950.0,20500.0,17500.0,17500.0,13256.69140625,133200
2000-03-10,18500.0,18900.0,17800.0,18400.0,13938.462890625,36800
2000-03-13,19500.0,20900.0,18500.0,20000.0,15150.50390625,86800
2000-03-14,19000.0,20000.0,19000.0,19700.0,14923.2509765625,100100
2000-03-15,19700.0,21650.0,19200.0,21100.0,15983.7841796875,113900
2000-03-16,20500.0,21700.0,20200.0,21400.0,16211.0419921875,102700
2000-03-17,21400.0,21600.0,20450.0,21000.0,15908.0283203125,60300
2000-03-20,20350.0,21300.0,19700.0,20900.0,15832.27734375,37500
2000-03-21,20250.0,21000.0,20000.0,20500.0,15529.2666015625,24300
2000-03-22,20150.0,21000.0,19300.0,21000.0,15908.0283203125,64100
2000-03-23,21000.0,21800.0,20300.0,20900.0,15832.27734375,15600
2000-03-24,20900.0,23600.0,20000.0,23000.0,17423.080078125,170300
2000-03-27,23000.0,23000.0,21600.0,22400.0,16968.5625,25500
2000-03-28,22000.0,22400.0,21300.0,22300.0,16892.814453125,18300
2000-03-29,21850.0,22300.0,21300.0,22100.0,16741.306640625,18600
2000-03-30,22100.0,23700.0,21350.0,23400.0,17726.08984375,53100
2000-03-31,23400.0,24500.0,23300.0,23650.0,17915.46875,36200
2000-04-03,24500.0,26000.0,23200.0,25000.0,18938.126953125,101000
2000-04-04,24700.0,25050.0,23650.0,23650.0,17915.46875,46600
2000-04-05,23650.0,23650.0,23650.0,23650.0,17915.46875,0
2000-04-06,23650.0,23950.0,22650.0,23600.0,17877.595703125,10100
2000-04-07,23900.0,23900.0,22700.0,23000.0,17423.080078125,8400
2000-04-10,22300.0,23000.0,21800.0,23000.0,17423.080078125,11600
2000-04-11,23000.0,23000.0,21800.0,21800.0,16514.05078125,8600
2000-04-12,21800.0,22650.0,21300.0,22500.0,17044.318359375,12900
2000-04-13,22500.0,22500.0,22500.0,22500.0,17044.318359375,0
2000-04-14,21800.0,22000.0,21500.0,21500.0,16286.7900390625,5800
2000-04-17,18550.0,21000.0,18550.0,19500.0,14771.7412109375,3500
2000-04-18,19550.0,21200.0,17700.0,18500.0,14014.2158203125,27800
2000-04-19,18850.0,19300.0,17900.0,18600.0,14089.970703125,28100
2000-04-20,18600.0,19600.0,18300.0,18900.0,14317.2255859375,12000
2000-04-21,18100.0,20000.0,18100.0,20000.0,15150.50390625,20400
2000-04-24,20000.0,20100.0,19000.0,19950.0,15112.6259765625,6800
2000-04-25,19300.0,19700.0,19100.0,19200.0,14544.482421875,3800
2000-04-26,19200.0,19700.0,18500.0,19200.0,14544.482421875,6800
2000-04-27,19200.0,19300.0,18600.0,19200.0,14544.482421875,9000
2000-04-28,18900.0,19350.0,18650.0,19100.0,14468.7294921875,25300
2000-05-01,19100.0,19100.0,19100.0,19100.0,14468.7294921875,0
2000-05-02,18900.0,19400.0,17800.0,19200.0,14544.482421875,21800
2000-05-03,18800.0,19200.0,17900.0,19200.0,14544.482421875,38600
2000-05-04,19100.0,19600.0,18500.0,18500.0,14014.2158203125,18000
2000-05-05,18500.0,18500.0,18500.0,18500.0,14014.2158203125,0
2000-05-08,18650.0,18800.0,18100.0,18400.0,13938.462890625,6300
2000-05-09,18400.0,18400.0,18400.0,18400.0,13938.462890625,0
2000-05-10,18400.0,18450.0,17850.0,18400.0,13938.462890625,5100
2000-05-11,18400.0,18400.0,18400.0,18400.0,13938.462890625,0
2000-05-12,17800.0,18400.0,17800.0,18000.0,13635.4541015625,4900
2000-05-15,18000.0,18700.0,16900.0,18700.0,14165.72265625,21700
2000-05-16,19000.0,19000.0,17950.0,18600.0,14089.970703125,10300
2000-05-17,18600.0,19950.0,18100.0,19700.0,14923.2509765625,57400
2000-05-18,19700.0,21000.0,17700.0,19400.0,14695.986328125,110600
2000-05-19,19000.0,19800.0,18200.0,18200.0,13786.958984375,13800
2000-05-22,18200.0,18200.0,16900.0,17000.0,12877.927734375,7700
2000-05-23,16600.0,17100.0,16000.0,17100.0,12953.6826171875,11800
2000-05-24,16900.0,16900.0,14600.0,16650.0,12612.7939453125,10400
2000-05-25,16150.0,17100.0,16150.0,16850.0,12764.2998046875,10700
2000-05-26,16750.0,16850.0,15100.0,15900.0,12044.6513671875,14000
2000-05-29,15900.0,15900.0,15000.0,15200.0,11514.3818359375,2400
2000-05-30,15200.0,15200.0,15200.0,15200.0,11514.3818359375,0
2000-05-31,15700.0,16200.0,15500.0,15500.0,11741.6416015625,19600
2000-06-01,16000.0,16000.0,15000.0,15350.0,11628.01171875,5200
2000-06-02,15850.0,15850.0,15000.0,15350.0,11628.01171875,17100
2000-06-05,15400.0,16200.0,15350.0,15650.0,11855.2705078125,100500
2000-06-06,15650.0,15650.0,15650.0,15650.0,11855.2705078125,0
2000-06-07,15950.0,17600.0,15200.0,17500.0,13256.69140625,152500
2000-06-08,17600.0,17600.0,15600.0,15650.0,11855.2705078125,61400
2000-06-09,16100.0,16500.0,15650.0,15650.0,11855.2705078125,56600
2000-06-12,16300.0,16300.0,15700.0,16100.0,12196.1572265625,40400
2000-06-13,16000.0,16100.0,15100.0,15100.0,11438.630859375,24200
2000-06-14,15200.0,15600.0,14800.0,15600.0,11817.3935546875,27700
2000-06-15,15000.0,15400.0,14700.0,15000.0,11362.876953125,17200
2000-06-16,14600.0,15150.0,14600.0,15000.0,11362.876953125,8900
2000-06-19,14300.0,15150.0,14300.0,15150.0,11476.505859375,8200
2000-06-20,15150.0,15250.0,14550.0,14800.0,11211.3740234375,15100
2000-06-21,14500.0,15600.0,14500.0,15100.0,11438.630859375,43200
2000-06-22,15350.0,15350.0,14900.0,15300.0,11590.1357421875,16300
2000-06-23,15100.0,15900.0,15000.0,15900.0,12044.6513671875,45100
2000-06-26,16000.0,16400.0,15500.0,16200.0,12271.91015625,46800
2000-06-27,16200.0,16200.0,15600.0,15800.0,11968.8984375,19500
2000-06-28,15600.0,15600.0,14600.0,15300.0,11590.1357421875,48200
2000-06-29,15400.0,15500.0,15000.0,15000.0,11362.876953125,17400
2000-06-30,14800.0,15350.0,14700.0,14900.0,11287.1259765625,10100
2000-07-03,14950.0,15350.0,14800.0,15300.0,11590.1357421875,27300
2000-07-04,15500.0,16000.0,15100.0,15500.0,11741.6416015625,51700
2000-07-05,15550.0,15800.0,15000.0,15000.0,11362.876953125,20000
2000-07-06,15150.0,15200.0,14850.0,15050.0,11400.75390625,14100
2000-07-07,15000.0,15350.0,15000.0,15200.0,11514.3818359375,21100
2000-07-10,15500.0,15500.0,15150.0,15150.0,11476.505859375,15800
2000-07-11,15250.0,15400.0,14900.0,15000.0,11362.876953125,16900
2000-07-12,15250.0,15250.0,14850.0,15000.0,11362.876953125,10000
2000-07-13,15050.0,15150.0,14750.0,15000.0,11362.876953125,10700
2000-07-14,15000.0,15000.0,14650.0,14700.0,11135.62109375,7400
2000-07-17,14700.0,14700.0,14700.0,14700.0,11135.62109375,0
2000-07-18,14700.0,15000.0,14400.0,14500.0,10984.1171875,6700
2000-07-19,14700.0,15000.0,14400.0,14500.0,10984.1171875,6700
2000-07-20,14100.0,14450.0,14100.0,14300.0,10832.6083984375,8500
2000-07-21,14200.0,14500.0,13950.0,14400.0,10908.3623046875,7800
2000-07-24,14100.0,14200.0,13900.0,14200.0,10756.859375,7900
2000-07-25,14200.0,14400.0,13800.0,14000.0,10605.3515625,6600
2000-07-26,14000.0,14300.0,13800.0,14150.0,10718.9814453125,3600
2000-07-27,13850.0,14300.0,13850.0,14000.0,10605.3515625,2000
2000-07-28,14200.0,14200.0,13900.0,14100.0,10681.1064453125,2700
2000-07-31,13950.0,14200.0,13950.0,14200.0,10756.859375,3900
2000-08-01,14300.0,14450.0,14000.0,14200.0,10756.859375,2800
2000-08-02,14400.0,14950.0,14400.0,14700.0,11135.62109375,9100
2000-08-03,14750.0,14800.0,14500.0,14500.0,10984.1171875,3400
2000-08-04,14500.0,14700.0,14300.0,14500.0,10984.1171875,3000
2000-08-07,14050.0,14450.0,14050.0,14100.0,10681.1064453125,1300
2000-08-08,14700.0,14700.0,14000.0,14100.0,10681.1064453125,4800
2000-08-09,14600.0,14600.0,14000.0,14000.0,10605.3515625,5000
2000-08-10,14100.0,14300.0,14050.0,14100.0,10681.1064453125,4500
2000-08-11,14400.0,14700.0,14300.0,14550.0,11021.9931640625,26400
2000-08-14,15000.0,15250.0,14600.0,14600.0,11059.8681640625,9300
2000-08-15,14600.0,14600.0,14600.0,14600.0,11059.8681640625,0
2000-08-16,14700.0,15300.0,14700.0,15000.0,11362.876953125,16500
2000-08-17,14700.0,14950.0,14650.0,14650.0,11097.7451171875,4100
2000-08-18,14700.0,14800.0,14300.0,14500.0,10984.1171875,6900
2000-08-21,14500.0,15050.0,14400.0,14400.0,10908.3623046875,8800
2000-08-22,14800.0,14800.0,14200.0,14250.0,10794.732421875,12900
2000-08-23,14350.0,14400.0,13900.0,14000.0,10605.3515625,16800
2000-08-24,14000.0,14300.0,13750.0,13900.0,10529.6005859375,9700
2000-08-25,13900.0,14150.0,13900.0,14000.0,10605.3515625,6400
2000-08-28,14500.0,14500.0,13950.0,14050.0,10643.2294921875,13100
2000-08-29,14300.0,14300.0,13950.0,13950.0,10567.4775390625,8400
2000-08-30,13900.0,14200.0,13800.0,13800.0,10453.849609375,46200
2000-08-31,14100.0,14200.0,13600.0,13900.0,10529.6005859375,32300
2000-09-01,14100.0,14100.0,13400.0,13750.0,10415.97265625,17300
2000-09-04,13800.0,14350.0,13500.0,14000.0,10605.3515625,44800
2000-09-05,14350.0,15300.0,14050.0,14800.0,11211.3740234375,162200
2000-09-06,15000.0,15100.0,14400.0,14800.0,11211.3740234375,54400
2000-09-07,14700.0,15600.0,14400.0,15100.0,11438.630859375,90700
2000-09-08,15200.0,15500.0,14800.0,15200.0,11514.3818359375,46700
2000-09-11,15200.0,15200.0,15200.0,15200.0,11514.3818359375,0
2000-09-12,15200.0,15200.0,15200.0,15200.0,11514.3818359375,0
2000-09-13,15200.0,15200.0,15200.0,15200.0,11514.3818359375,0
2000-09-14,15300.0,15400.0,14650.0,15000.0,11362.876953125,35500
2000-09-15,14550.0,15050.0,14000.0,14300.0,10832.6083984375,67600
2000-09-18,13800.0,14150.0,12200.0,13000.0,9847.828125,62700
2000-09-19,13000.0,13850.0,12750.0,13500.0,10226.58984375,30300
2000-09-20,13700.0,13900.0,13350.0,13600.0,10302.3427734375,22300
2000-09-21,13400.0,13400.0,12800.0,13000.0,9847.828125,17100
2000-09-22,13000.0,13050.0,12500.0,12800.0,9696.32421875,22400
2000-09-25,12400.0,13500.0,12400.0,13350.0,10112.9619140625,16900
2000-09-26,13050.0,13700.0,13050.0,13700.0,10378.0947265625,18800
2000-09-27,13500.0,13900.0,13400.0,13700.0,10378.0947265625,10100
2000-09-28,13400.0,13900.0,13400.0,13550.0,10264.4638671875,8400
2000-09-29,13500.0,13700.0,13350.0,13550.0,10264.4638671875,5000
2000-10-02,14000.0,14000.0,13200.0,13250.0,10037.208984375,7200
2000-10-03,13250.0,13250.0,13250.0,13250.0,10037.208984375,0
2000-10-04,13250.0,13450.0,12700.0,13150.0,9961.4580078125,12700
2000-10-05,13500.0,13700.0,13400.0,13500.0,10226.58984375,8400
2000-10-06,13500.0,13600.0,13250.0,13600.0,10302.3427734375,11800
2000-10-09,13600.0,13700.0,13300.0,13300.0,10075.0869140625,13800
2000-10-10,13500.0,13500.0,13000.0,13400.0,10150.8388671875,8400
2000-10-11,13400.0,13400.0,12900.0,13150.0,9961.4580078125,9500
2000-10-12,12900.0,14300.0,12900.0,13850.0,10491.7236328125,47800
2000-10-13,13500.0,13800.0,13150.0,13550.0,10264.4638671875,27900
2000-10-16,13550.0,13550.0,13550.0,13550.0,10264.4638671875,0
2000-10-17,15550.0,16300.0,14200.0,14200.0,10756.859375,268500
2000-10-18,14500.0,14800.0,13900.0,14350.0,10870.4873046875,78300
2000-10-19,14350.0,14900.0,14200.0,14600.0,11059.8681640625,78600
2000-10-20,14400.0,15250.0,14400.0,14400.0,10908.3623046875,92900
2000-10-23,14700.0,16300.0,14500.0,15300.0,11590.1357421875,217700
2000-10-24,15300.0,15750.0,14850.0,15150.0,11476.505859375,101100
2000-10-25,15250.0,16300.0,15050.0,15500.0,11741.6416015625,112200
2000-10-26,15200.0,15800.0,14400.0,14650.0,11097.7451171875,73200
2000-10-27,14650.0,14650.0,14650.0,14650.0,11097.7451171875,0
2000-10-30,13500.0,14400.0,12900.0,13100.0,9923.580078125,67100
2000-10-31,12900.0,13400.0,12600.0,13300.0,10075.0869140625,37000
2000-11-01,13600.0,13800.0,13300.0,13500.0,10226.58984375,29500
2000-11-02,13400.0,13600.0,13300.0,13400.0,10150.8388671875,19200
2000-11-03,13450.0,14000.0,13350.0,13500.0,10226.58984375,20700
2000-11-06,14100.0,14100.0,13500.0,13900.0,10529.6005859375,16000
2000-11-07,13900.0,13900.0,13400.0,13700.0,10378.0947265625,17900
2000-11-08,13650.0,13650.0,13200.0,13300.0,10075.0869140625,22300
2000-11-09,13300.0,13400.0,13100.0,13250.0,10037.208984375,16800
2000-11-10,13200.0,13600.0,13200.0,13500.0,10226.58984375,23000
2000-11-13,13200.0,13500.0,13000.0,13000.0,9847.828125,20600
2000-11-14,13000.0,13400.0,13000.0,13250.0,10037.208984375,17000
2000-11-15,13500.0,13550.0,13250.0,13300.0,10075.0869140625,16800
2000-11-16,13400.0,13800.0,13200.0,13750.0,10415.97265625,24700
2000-11-17,14000.0,14000.0,13500.0,13500.0,10226.58984375,10500
2000-11-20,13500.0,13800.0,13250.0,13300.0,10075.0869140625,6600
2000-11-21,13500.0,13500.0,13000.0,13450.0,10188.7138671875,19100
2000-11-22,13450.0,13450.0,13100.0,13400.0,10150.8388671875,11400
2000-11-23,13450.0,13750.0,13100.0,13100.0,9923.580078125,39900
2000-11-24,13100.0,13450.0,13100.0,13250.0,10037.208984375,10200
2000-11-27,13200.0,13400.0,13200.0,13400.0,10150.8388671875,12400
2000-11-28,13400.0,13450.0,13150.0,13150.0,9961.4580078125,9400
2000-11-29,13050.0,13150.0,12950.0,12950.0,9809.951171875,8300
2000-11-30,12950.0,13250.0,12700.0,12700.0,9620.5703125,14500
2000-12-01,12700.0,12800.0,12500.0,12800.0,9696.32421875,11700
2000-12-04,12700.0,13200.0,12500.0,12800.0,9696.32421875,15400
2000-12-05,12600.0,12900.0,12600.0,12700.0,9620.5703125,4600
2000-12-06,12700.0,13000.0,12700.0,12800.0,9696.32421875,7100
2000-12-07,12950.0,13050.0,12800.0,13000.0,9847.828125,12100
2000-12-08,13100.0,13400.0,13000.0,13300.0,10075.0869140625,18200
2000-12-11,13300.0,13500.0,13050.0,13100.0,9923.580078125,13800
2000-12-12,13100.0,13250.0,12900.0,12900.0,9772.0751953125,5200
2000-12-13,12900.0,14200.0,12900.0,13150.0,9961.4580078125,46600
2000-12-14,13150.0,13600.0,13100.0,13450.0,10188.7138671875,13900
2000-12-15,13650.0,14500.0,13300.0,13700.0,10378.0947265625,21200
2000-12-18,13700.0,15000.0,13700.0,14300.0,10832.6083984375,36200
2000-12-19,14350.0,14700.0,13750.0,14000.0,10605.3515625,13600
2000-12-20,14200.0,14200.0,13350.0,13750.0,10415.97265625,8000
2000-12-21,13250.0,13500.0,13100.0,13150.0,9961.4580078125,8000
2000-12-22,13200.0,13400.0,13100.0,13200.0,9999.3310546875,9600
2000-12-26,13450.0,13450.0,13100.0,13400.0,10150.8388671875,8100
2001-01-02,13100.0,13900.0,13050.0,13900.0,10529.6005859375,3200
2001-01-03,13300.0,13700.0,13300.0,13600.0,10302.3427734375,8000
2001-01-04,13900.0,14000.0,13450.0,13650.0,10340.2216796875,13400
2001-01-05,13700.0,13900.0,13400.0,13450.0,10188.7138671875,7600
2001-01-08,13700.0,14000.0,13300.0,13450.0,10188.7138671875,14400
