Date,Open,High,Low,Close,Adj Close,Volume
2001-04-25,11900.0,13650.0,11900.0,13650.0,10412.9384765625,26100
2001-04-26,11900.0,13650.0,11900.0,13650.0,10412.9384765625,26100
2001-04-27,17950.0,17950.0,16600.0,17950.0,13693.205078125,2002100
2001-04-30,18900.0,19500.0,17500.0,18000.0,13731.34765625,1296800
2001-05-02,18500.0,20700.0,17750.0,20700.0,15791.0458984375,1081000
2001-05-03,20700.0,20700.0,19750.0,20250.0,15447.7646484375,698700
2001-05-04,19500.0,19700.0,18600.0,18850.0,14379.7734375,463800
2001-05-08,18300.0,19000.0,18300.0,19000.0,14494.1982421875,396400
2001-05-09,19000.0,19350.0,18700.0,18950.0,14456.056640625,136000
2001-05-10,18950.0,21750.0,18800.0,21750.0,16592.044921875,1047100
2001-05-11,22200.0,24700.0,22100.0,24000.0,18308.46484375,866400
2001-05-14,23150.0,23800.0,22250.0,23200.0,17698.1796875,644800
2001-05-15,23300.0,24350.0,22700.0,23800.0,18155.89453125,431100
2001-05-16,24000.0,24700.0,23300.0,23700.0,18079.607421875,240300
2001-05-17,24100.0,26600.0,23300.0,24800.0,18918.748046875,541600
2001-05-18,24550.0,26800.0,24550.0,25950.0,19796.02734375,703600
2001-05-21,26900.0,27900.0,26450.0,26800.0,20444.453125,294600
2001-05-22,26800.0,27500.0,25600.0,26400.0,20139.3125,389200
2001-05-23,26200.0,26200.0,25200.0,25900.0,19757.884765625,358400
2001-05-24,25200.0,27500.0,25200.0,27150.0,20711.455078125,544800
2001-05-25,27000.0,28150.0,27000.0,27950.0,21321.732421875,442300
2001-05-28,27950.0,28400.0,27000.0,27500.0,20978.44921875,153000
2001-05-29,27500.0,30000.0,27500.0,28900.0,22046.44140625,552700
2001-05-30,28550.0,32800.0,28550.0,31600.0,24106.140625,626900
2001-05-31,31500.0,34500.0,30500.0,31600.0,24106.140625,432800
2001-06-01,31600.0,32700.0,29400.0,30000.0,22885.578125,489500
2001-06-04,30000.0,30850.0,27700.0,28150.0,21474.302734375,256200
2001-06-05,27700.0,28650.0,27200.0,27300.0,20825.876953125,332600
2001-06-07,27600.0,28800.0,27600.0,28300.0,21588.73046875,325300
2001-06-08,29000.0,30400.0,28300.0,30000.0,22885.578125,383800
2001-06-11,29300.0,30350.0,29300.0,30000.0,22885.578125,129900
2001-06-12,29550.0,30100.0,29200.0,29600.0,22580.4375,89400
2001-06-13,29100.0,29500.0,29100.0,29500.0,22504.154296875,111700
2001-06-14,29300.0,31200.0,29050.0,30750.0,23457.716796875,223400
2001-06-15,31000.0,31500.0,29800.0,30300.0,23114.4375,205900
2001-06-18,30700.0,30850.0,29500.0,29500.0,22504.154296875,69500
2001-06-19,29000.0,29900.0,29000.0,29500.0,22504.154296875,83800
2001-06-20,29800.0,31500.0,29500.0,31000.0,23648.43359375,370400
2001-06-21,31000.0,31400.0,29000.0,29000.0,22122.728515625,176300
2001-06-22,29050.0,29300.0,27700.0,29250.0,22313.439453125,88400
2001-06-25,29300.0,31200.0,29300.0,30700.0,23419.576171875,207300
2001-06-26,30900.0,30900.0,29300.0,29500.0,22504.154296875,60100
2001-06-27,29700.0,30400.0,29300.0,29500.0,22504.154296875,50700
2001-06-28,29000.0,29800.0,29000.0,29500.0,22504.154296875,34700
2001-06-29,29550.0,30000.0,29050.0,29450.0,22466.0078125,60300
2001-07-02,29100.0,29300.0,28200.0,28200.0,21512.44921875,221100
2001-07-03,28500.0,28800.0,28000.0,28250.0,21550.587890625,121300
2001-07-04,28300.0,28600.0,27300.0,28400.0,21665.017578125,127300
2001-07-05,29300.0,29300.0,28000.0,28000.0,21359.873046875,53800
2001-07-06,27000.0,27800.0,27000.0,27300.0,20825.876953125,84700
2001-07-09,27000.0,27000.0,26100.0,27000.0,20597.01953125,82300
2001-07-10,26550.0,27300.0,26150.0,26650.0,20330.0234375,57100
2001-07-11,25700.0,26200.0,25700.0,26000.0,19834.169921875,123900
2001-07-12,26050.0,27000.0,26050.0,26300.0,20063.0234375,71900
2001-07-13,26800.0,27000.0,26400.0,26500.0,20215.59375,64300
2001-07-16,26500.0,27150.0,26000.0,26550.0,20253.734375,60900
2001-07-18,26600.0,26900.0,26100.0,26400.0,20139.3125,40500
2001-07-19,26200.0,26600.0,25800.0,26000.0,19834.169921875,47100
2001-07-20,26000.0,26750.0,26000.0,26300.0,20063.0234375,99800
2001-07-23,26200.0,26250.0,23500.0,23800.0,18155.89453125,124700
