Date,Adj Close,Close,High,Low,Open,Volume
2010-08-12,8.081124306,15320,15540,15300,15360,21360650
2010-08-13,8.239374161,15620,15640,15340,15400,14274900
2010-08-16,8.249922752,15640,15660,15340,15460,10280000
2010-08-17,8.249922752,15640,15660,15420,15540,14476450
2010-08-18,8.207725525,15560,15700,15480,15680,11715900
2010-08-19,8.323771477,15780,15780,15540,15580,12179900
2010-08-20,8.271021843,15680,15720,15540,15600,12330600
2010-08-23,8.334321976,15800,15820,15640,15720,9081550
2010-08-24,8.260473251,15660,15720,15500,15700,11365400
2010-08-25,8.144425392,15440,15560,15440,15520,9263250
2010-08-26,8.154974937,15460,15660,15400,15440,10440100
2010-08-27,8.081124306,15320,15440,15300,15300,12748200
2010-08-30,8.186623573,15520,15560,15440,15500,6984450
2010-08-31,7.975630283,15120,15440,15120,15320,22051950
2010-09-01,7.933430195,15040,15260,15000,15240,19451700
2010-09-02,8.007278442,15180,15240,14980,15200,18271500
2010-09-03,8.028377533,15220,15280,15120,15220,22082500
2010-09-06,8.228821754,15600,15600,15360,15440,19708650
2010-09-07,8.313221931,15760,15800,15500,15660,16036000
2010-09-08,8.133874893,15420,15620,15420,15520,10954600
2010-09-09,7.975630283,15120,15480,15120,15340,30825400
2010-09-10,8.081124306,15320,15440,15140,15200,13989000
2010-09-13,8.123324394,15400,15520,15320,15400,11741050
2010-09-14,8.017829895,15200,15620,15200,15500,18559950
2010-09-15,7.986177921,15140,15340,15020,15260,19441850
2010-09-16,7.986177921,15140,15260,15080,15080,11734100
2010-09-17,8.154974937,15460,15560,15160,15240,22369300
2010-09-20,8.228821754,15600,15600,15400,15480,14807550
2010-09-24,8.038928032,15240,15600,15160,15580,32766800
2010-09-27,7.965079308,15100,15360,15040,15300,25107150
2010-09-28,7.85958147,14900,15120,14900,15100,23315700
2010-09-29,8.144425392,15440,15500,15000,15060,35348050
2010-09-30,8.197175026,15540,15580,15340,15440,16855500
2010-10-01,8.197175026,15540,15560,15380,15440,14805750
2010-10-04,8.228821754,15600,15620,15480,15600,12835350
2010-10-05,8.154974937,15460,15580,15420,15440,14300150
2010-10-06,8.365969658,15860,15880,15520,15560,23555150
2010-10-07,8.123324394,15400,15660,15380,15580,25542150
2010-10-08,7.996727467,15160,15320,15060,15260,27125750
2010-10-11,7.943980694,15060,15260,15060,15240,18784450
2010-10-12,7.870130062,14920,15120,14920,15040,18391350
2010-10-13,7.849031448,14880,15040,14860,15040,20414700
2010-10-14,7.912331581,15000,15060,14840,15060,26710000
2010-10-15,7.954528809,15080,15120,14900,15000,24686150
2010-10-18,7.922880173,15020,15240,14960,15140,13804400
2010-10-19,7.817382336,14820,15020,14820,15000,19450000
2010-10-20,7.85958147,14900,14980,14700,14800,18474100
2010-10-21,8.070578575,15300,15300,14820,14900,28370400
2010-10-22,8.197175026,15540,15540,15340,15460,20425550
2010-10-25,8.133874893,15420,15580,15340,15460,12353450
2010-10-26,8.049477577,15260,15420,15160,15360,15629050
2010-10-27,7.943980694,15060,15300,15020,15160,16732750
2010-10-28,8.060028076,15280,15300,15060,15200,14631600
2010-10-29,7.85958147,14900,15300,14900,15280,23060950
2010-11-01,7.880681038,14940,15060,14860,15060,14837800
2010-11-02,7.806830883,14800,14960,14740,14940,16536700
2010-11-03,7.806830883,14800,14980,14780,14800,17874950
2010-11-04,8.049477577,15260,15280,14900,14940,27312500
2010-11-05,8.186623573,15520,15800,15500,15600,35165050
2010-11-08,8.207725525,15560,15760,15520,15700,13961400
2010-11-09,8.165524483,15480,15680,15340,15680,12801650
2010-11-10,8.334321976,15800,15800,15500,15600,21088000
2010-11-11,8.091675758,15340,15980,15340,15860,44525300
2010-11-12,8.207725525,15560,15800,15460,15680,28325650
2010-11-15,8.524215698,16160,16300,15700,15720,35892450
2010-11-16,8.555870056,16220,16400,16000,16280,29475050
2010-11-17,8.387069702,15900,16080,15900,16020,17123100
2010-11-18,8.429269791,15980,16100,15860,15940,13296000
2010-11-19,8.629713058,16360,16380,16000,16160,19355150
2010-11-22,8.946208,16960,16960,16360,16400,36057400
2010-11-23,8.861809731,16800,17020,16680,17000,18280200
2010-11-24,8.977858543,17020,17040,16500,16520,31792000
2010-11-25,8.914559364,16900,17060,16760,17060,18359500
2010-11-26,8.830163002,16740,16980,16640,16960,15679300
2010-11-29,8.819610596,16720,16920,16620,16700,15401050
2010-11-30,8.714115143,16520,16920,16520,16640,21205500
2010-12-01,8.65081501,16400,16560,16280,16480,18777150
2010-12-02,9.062255859,17180,17180,16500,16560,30608400
2010-12-03,9.431498528,17880,17940,17340,17400,39373850
2010-12-06,9.3893013,17800,17980,17700,17800,16837550
2010-12-07,9.505347252,18020,18420,17700,17740,24906050
2010-12-08,9.368200302,17760,18200,17740,18060,16803250
2010-12-09,9.674141884,18340,18360,17680,17700,29422050
2010-12-10,9.695241928,18380,18380,18140,18300,12757050
2010-12-13,9.811289787,18600,18640,18320,18380,15359300
2010-12-14,9.800741196,18580,18740,18420,18740,22126100
2010-12-15,9.663594246,18320,18500,18200,18500,16449400
2010-12-16,9.610844612,18220,18380,18160,18160,11684200
2010-12-17,9.76909256,18520,18580,18240,18280,17297200
2010-12-20,9.832389832,18640,18640,18280,18340,16911750
2010-12-21,9.874586105,18720,18800,18500,18620,12599300
2010-12-22,9.906236649,18780,19060,18720,18780,16626800
2010-12-23,9.874586105,18720,18760,18500,18720,10985500
2010-12-24,9.758541107,18500,18780,18500,18780,8471650
2010-12-27,9.726890564,18440,18600,18300,18500,10524200
2010-12-28,9.895689011,18760,19000,18520,18560,15650700
2010-12-29,13.59218884,18900,19020,18640,18700,11918900
2010-12-30,13.64971828,18980,19040,18840,18840,9181500
2011-01-03,13.77917194,19160,19320,19000,19100,13241050
2011-01-04,13.77917194,19160,19220,18980,19120,13713100
2011-01-05,13.54903603,18840,19100,18840,19100,16787500
2011-01-06,13.37643909,18600,18980,18460,18840,19360400
2011-01-07,13.24698544,18420,18580,18280,18300,23139800
2011-01-10,13.18945599,18340,18560,18180,18360,18326750
2011-01-11,13.13192368,18260,18440,18160,18340,19550800
2011-01-12,13.37643909,18600,18660,18280,18280,20555800
2011-01-13,13.26137257,18440,18980,18340,18980,28239850
2011-01-14,13.41958904,18660,18680,18300,18560,15382350
2011-01-17,13.64971828,18980,19020,18800,18900,20582100
2011-01-18,13.93738842,19380,19620,18980,19000,29631350
2011-01-19,14.34011841,19940,20000,19320,19580,33343200
2011-01-20,14.12436962,19640,19800,19580,19740,15244400
2011-01-21,13.96615505,19420,19680,19400,19520,16666400
2011-01-24,13.96615505,19420,19660,19320,19360,13609350
2011-01-25,14.02368641,19500,19800,19420,19440,13970550
2011-01-26,14.35449982,19960,19980,19600,19700,13352500
2011-01-27,14.29696655,19880,20040,19820,19900,15367000
2011-01-28,14.52710056,20200,20280,19800,19960,19118950
2011-01-31,14.10998726,19620,20200,19620,20180,21411900
2011-02-01,14.13875294,19660,19900,19580,19640,13468450
2011-02-07,13.98053551,19440,20080,19440,20040,24252200
2011-02-08,13.82232094,19220,19480,19180,19400,30483500
2011-02-09,13.80793858,19200,19460,19020,19460,20984650
2011-02-10,13.46273994,18720,19300,18700,19200,30669300
2011-02-11,13.16068935,18300,18860,18260,18700,26489900
2011-02-14,13.70725441,19060,19100,18500,18560,19565800
2011-02-15,13.77917194,19160,19400,18940,19260,18105800
2011-02-16,13.59218884,18900,19400,18900,19040,15182650
2011-02-17,13.72163868,19080,19260,18860,19060,14348550
2011-02-18,13.80793858,19200,19320,19140,19300,10253850
2011-02-21,13.63533592,18960,19300,18840,19280,13750850
2011-02-22,13.49150467,18760,18960,18680,18780,12181550
2011-02-23,13.37643909,18600,18820,18500,18500,17193000
2011-02-24,13.36205482,18580,18680,18400,18520,18110900
2011-02-25,13.31890583,18520,18660,18460,18560,15181200
2011-02-28,13.27575493,18460,18680,18400,18400,16274800
2011-03-02,13.20384121,18360,18460,18240,18280,16134300
2011-03-03,13.27575493,18460,18540,18320,18380,18074200
2011-03-04,13.59218884,18900,18900,18540,18680,18569150
2011-03-07,13.03124142,18120,18860,18120,18860,31883600
2011-03-08,12.93055534,17980,18240,17880,18220,24905400
2011-03-09,12.80110645,17800,18160,17640,18120,26296300
2011-03-10,12.45591259,17320,17680,17320,17580,41630200
2011-03-11,12.3983736,17240,17520,17200,17220,26884000
2011-03-14,12.94494057,18000,18020,17060,17600,33325000
2011-03-15,12.36961174,17200,18040,17120,18020,36313200
2011-03-16,12.74357319,17720,17900,17440,17700,39939050
2011-03-17,12.80110645,17800,17800,17360,17560,22505200
2011-03-18,12.81549168,17820,17900,17660,17840,19166050
2011-03-21,12.80110645,17800,17980,17680,17820,14473500
2011-03-22,12.58535957,17500,17940,17400,17840,21810300
2011-03-23,12.55659294,17460,17600,17180,17600,25229000
2011-03-24,12.65727234,17600,17760,17480,17600,15392550
2011-03-25,13.08877373,18200,18200,17800,17840,31078100
2011-03-28,13.17507267,18320,18440,18180,18300,15890200
2011-03-29,13.17507267,18320,18320,18000,18140,17204100
2011-03-30,13.31890583,18520,18580,18320,18320,20685150
2011-03-31,13.40520477,18640,18720,18420,18720,26376550
2011-04-01,13.52027321,18800,18800,18540,18720,22471700
2011-04-04,13.59218884,18900,18900,18780,18800,16716750
2011-04-05,13.59218884,18900,18960,18700,18960,11922000
2011-04-06,13.27575493,18460,18840,18300,18800,27471850
2011-04-07,13.07438946,18180,18700,18100,18500,21781250
2011-04-08,12.91617298,17960,18280,17900,18220,25983450
2011-04-11,12.85864258,17880,18140,17760,17960,20582800
2011-04-12,12.68604374,17640,17800,17640,17720,15766950
2011-04-13,12.95932484,18020,18020,17600,17740,16627750
2011-04-14,12.94494057,18000,18000,17680,18000,25265700
2011-04-15,12.77234173,17760,17980,17640,17960,22274750
2011-04-18,12.47029495,17340,17840,17320,17820,27418700
2011-04-19,12.58535957,17500,17500,17060,17060,23078650
2011-04-20,13.17507267,18320,18320,17720,17780,32044250
2011-04-21,13.34767246,18560,18740,18360,18600,27071850
2011-04-22,13.00247383,18080,18540,18040,18480,18825450
2011-04-25,12.78672409,17780,18220,17780,18020,14338950
2011-04-26,12.90179062,17940,17980,17600,17980,19174650
2011-04-27,13.29013729,18480,18540,18220,18340,26379400
2011-04-28,12.94494057,18000,18540,17980,18480,20803400
2011-04-29,12.84425831,17860,18160,17600,18020,21415000
2011-05-02,13.40520477,18640,18740,18080,18200,32544850
2011-05-03,13.49150467,18760,18800,18440,18720,25366500
2011-05-04,13.16068935,18300,18680,18000,18600,25769850
2011-05-06,12.93055534,17980,18280,17900,17980,23637450
2011-05-09,12.81549168,17820,18220,17820,18160,13543350
2011-05-11,12.82987309,17840,17900,17640,17780,22363750
2011-05-12,12.72919273,17700,18020,17660,17720,27616100
2011-05-13,13.17507267,18320,18480,17800,17920,33438000
2011-05-16,12.95932484,18020,18380,17960,18340,16123700
2011-05-17,12.80110645,17800,17960,17780,17940,11549950
2011-05-18,12.84425831,17860,17980,17720,17860,16579300
2011-05-19,12.65727234,17600,17960,17600,17820,19345200
2011-05-20,12.68604374,17640,17740,17600,17700,11069950
2011-05-23,12.55659294,17460,17700,17440,17540,14056000
2011-05-24,12.44152546,17300,17680,17300,17440,14488500
2011-05-25,12.31207657,17120,17580,17060,17580,16018050
2011-05-26,12.64289093,17580,17600,17300,17360,13968500
2011-05-27,12.81549168,17820,17980,17340,17480,21477600
2011-05-30,12.71480846,17680,17900,17520,17900,10293600
2011-05-31,12.97370625,18040,18280,17720,17800,23887550
2011-06-01,13.10315609,18220,18240,17900,18040,15678500
2011-06-02,12.70042706,17660,17940,17600,17880,16582950
2011-06-03,12.72919273,17700,17800,17540,17800,10067100
2011-06-07,12.75795937,17740,17780,17380,17520,15110100
2011-06-08,12.61412621,17540,17800,17500,17700,12938850
2011-06-09,12.44152546,17300,17580,17300,17540,21511200
2011-06-10,12.24015999,17020,17480,17020,17400,19586600
2011-06-13,12.26892948,17060,17060,16760,16880,15062450
2011-06-14,12.41275883,17260,17460,16960,17020,10642700
2011-06-15,12.44152546,17300,17380,17020,17320,13283100
2011-06-16,12.19700909,16960,17160,16880,17060,11940550
2011-06-17,11.77989578,16380,17040,16060,17020,36058100
2011-06-20,11.50661469,16000,16280,15900,16260,23580500
2011-06-21,11.70798016,16280,16400,15960,16000,18844400
2011-06-22,11.88057995,16520,16660,16440,16480,16530400
2011-06-23,11.95249462,16620,16780,16400,16500,13858400
2011-06-24,12.25454235,17040,17080,16420,16420,23453150
2011-06-27,12.01003075,16700,16940,16560,16940,15207250
2011-06-28,11.96688175,16640,17060,16620,16800,11950100
2011-06-29,12.35243034,16660,16980,16640,16960,10348200
2011-06-30,12.24862957,16520,16700,16420,16660,16408950
2011-07-01,12.67866707,17100,17200,16760,16860,22133050
2011-07-04,13.01972771,17560,17660,17380,17400,21439450
2011-07-05,13.33113289,17980,17980,17560,17600,21107200
2011-07-06,13.31630516,17960,17960,17740,17860,11215100
2011-07-07,13.04938507,17600,17960,17580,17960,17861200
2011-07-08,13.12352943,17700,17760,17460,17600,12070450
2011-07-11,12.82695198,17300,17600,17240,17600,15974500
2011-07-12,12.60451889,17000,17220,16920,17200,12397200
2011-07-13,12.50071526,16860,17100,16720,16960,16430600
2011-07-14,12.32277107,16620,16700,16460,16700,20363350
2011-07-15,12.33760166,16640,16800,16420,16600,13621800
2011-07-18,12.0558548,16260,16600,16220,16560,18189050
2011-07-19,12.18931198,16440,16540,16120,16120,14537100
2011-07-20,12.61934757,17020,17080,16780,16800,21079150
2011-07-21,12.48588848,16840,17020,16640,16920,10343550
2011-07-22,12.60451889,17000,17120,16840,17000,12179600
2011-07-25,12.56003284,16940,17000,16680,17000,9496800
2011-07-26,12.60451889,17000,17020,16800,16860,11259900
2011-07-27,12.53037548,16900,16960,16720,16960,10079450
2011-07-28,12.41174507,16740,16800,16520,16560,13623150
2011-07-29,12.51554585,16880,17040,16740,16920,15089150
2011-08-01,12.90109539,17400,17500,17100,17100,19432400
2011-08-02,12.63417816,17040,17180,17000,17060,13486550
2011-08-03,12.35243034,16660,16880,16480,16800,20417200
2011-08-04,12.1744833,16420,16780,16300,16780,17307750
2011-08-05,11.69996071,15780,16100,15780,15840,30392500
2011-08-08,11.26992321,15200,15780,15200,15400,30296350
2011-08-09,10.73608685,14480,15060,13920,15000,49299200
2011-08-10,10.67677021,14400,15200,14400,15200,49244500
2011-08-11,10.49882221,14160,14500,13760,13760,39580150
2011-08-12,10.48399448,14140,14440,14000,14420,33844600
2011-08-16,11.12163544,15000,15000,14520,14700,30042550
2011-08-17,11.1512928,15040,15200,14820,15020,14649850
2011-08-18,10.51365089,14180,14980,14060,14960,35336000
2011-08-19,10.0836153,13600,13940,13440,13760,28970600
2011-08-22,10.24673462,13820,14040,13660,13680,20900650
2011-08-23,10.7212553,14460,14700,13980,14000,24617300
2011-08-24,10.49882221,14160,14700,14000,14480,18508650
2011-08-25,10.75091457,14500,14760,14420,14740,19039800
2011-08-26,10.76574135,14520,14680,14340,14340,10612300
2011-08-29,10.86954403,14660,14840,14480,14840,13001850
2011-08-30,11.00300407,14840,14960,14720,14820,12629600
2011-08-31,11.03266335,14880,14940,14620,14940,14495500
2011-09-01,11.43303871,15420,15760,14880,15180,35833750
2011-09-02,11.40338135,15380,15620,15260,15300,12915400
2011-09-05,10.83988762,14620,15120,14600,15100,13853900
2011-09-06,10.78057194,14540,14720,14200,14520,13213350
2011-09-07,11.46269989,15460,15560,14660,14660,17512500
2011-09-08,11.83342075,15960,16040,15560,15600,28730500
2011-09-09,11.56650066,15600,16240,15540,15700,18082650
2011-09-14,11.16612053,15060,15620,14820,15600,27540950
2011-09-15,11.43303871,15420,15680,15300,15680,21318350
2011-09-16,11.83342075,15960,16220,15840,15880,23811100
2011-09-19,11.98170853,16160,16280,15760,16000,12327650
2011-09-20,12.02619457,16220,16360,15920,16220,13997500
2011-09-21,12.0558548,16260,16560,16020,16380,17063100
2011-09-22,11.71478844,15800,16000,15560,15920,15331100
2011-09-23,11.24026489,15160,15600,15020,15280,21822900
