date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,54500,500.0,54900,55600,54500,1348059,27.027027027027028,26.961670827504598,32.186163933480074,332.97334043247974,551.867951023142,-218.8946105906623,-7.152705963460208,55300.0,55640.0,55025.0,54931.08243432786,55221.04305886029,55041.4168156859,54813.333333333336,55309.09090909091,55386.666666666664,0.0,500.0,-2.6250000000000004
2010-05-03,54700,200.0,54500,55000,53800,933902,36.36363636363637,31.66265359557476,31.92440876452718,267.327793629549,494.95235416394917,-227.6245605344002,-27.552999398113165,54860.0,55480.0,55040.0,54854.05494925238,55126.277008311205,55008.29632731121,54613.333333333336,55138.181818181816,55355.71428571428,0.0,200.0,-2.6250000000000004
2010-05-04,54000,-700.0,54700,55300,54000,876509,22.727272727272727,27.19496316142171,29.55968596297337,159.22762654598773,427.8002678057039,-268.5726412597162,-31.96060669407351,54360.0,55270.0,55010.0,54569.36994900408,54921.444638427995,54910.655462904884,54326.666666666664,54869.09090909091,55256.666666666664,-700.0,0.0,-0.2413793103448276
2010-05-06,51200,-2800.0,52000,52200,50500,2818001,13.725490196078432,20.460226678748537,25.009956320859917,-142.4535140496737,313.73980824384046,-456.19332229351414,-176.25129866161328,53680.0,54720.0,54920.0,53446.24658752595,54244.67038321432,54551.89876537064,53273.333333333336,54129.09090909091,54893.80952380953,-2800.0,0.0,-0.1320754716981132
2010-05-07,48600,-2600.0,49100,50400,48200,3585297,5.405405405405405,12.932816042076116,18.971386181467327,-577.4241918160333,135.49487751048142,-712.9190693265147,-235.6277123640565,52600.0,54050.0,54735.0,51830.83101506337,53218.18306730188,53977.282478980014,51580.0,53016.36363636364,54291.90476190476,-2600.0,0.0,-0.11666666666666665
2010-05-10,51200,2600.0,49600,51300,49200,2374128,42.25352112676056,27.59316858441917,23.282277382943494,-710.4675748133814,-33.7068251712312,-676.7607496421501,-152.6018046659494,51940.0,53620.0,54680.0,51620.554006285805,52851.186981608356,53709.50382675475,51113.333333333336,52498.181818181816,53955.23809523809,0.0,2600.0,-1.1785714285714286
2010-05-11,49750,-1450.0,52500,52600,49700,2498624,21.830985915492956,24.712077249955982,23.997177316449758,-918.827881809957,-210.73874732668727,-708.0891344832697,-129.72622894271777,50950.0,52905.0,54487.5,50997.03599676475,52287.267278947525,53328.18806792831,50383.333333333336,51794.545454545456,53485.71428571428,-1450.0,0.0,-0.5894736842105265
2010-05-12,49000,-750.0,50500,50600,48900,1439582,18.181818181818183,21.446947715887035,22.72206251616838,-1129.697020055246,-394.53680630002583,-735.1602137552202,-145.7405310179939,49950.0,52155.0,54272.5,50331.357325891244,51689.523758366784,52911.81035733841,49733.333333333336,51084.545454545456,52963.09523809524,-750.0,0.0,-0.45614035087719296
2010-05-13,51200,2200.0,50200,51200,49700,1326087,68.18181818181817,44.814382948852774,33.76822273251066,-1110.7746668337131,-537.7883716775867,-572.9862951561264,-98.87000536943509,49950.0,51815.0,54047.5,50620.904885460106,51600.51230376786,52747.290302040696,50150.0,50910.90909090909,52670.47619047619,0.0,2200.0,-1.714285714285714
2010-05-14,50600,-600.0,50700,50900,50000,936778,45.94594594594595,45.380164447399366,39.57419358995503,-1130.0096537628415,-656.2352695487267,-473.7743842141148,-95.70160031225593,50350.0,51475.0,53707.5,50613.936590282145,51418.589044729095,52541.09632376572,50366.666666666664,50690.0,52342.142857142855,-600.0,0.0,-8.0
2010-05-17,47950,-2650.0,49550,49600,47900,2727250,1.0638297872340425,23.221997117316665,31.39809535363583,-1339.0349830861887,-792.7976486104745,-546.2373344757142,-137.66802866110012,49700.0,50820.0,53230.0,49725.9577247658,50787.90264923304,52100.58211659668,49566.666666666664,50049.09090909091,51793.80952380953,-2650.0,0.0,-7.384615384615382
2010-05-18,48700,750.0,48500,48850,48100,1316164,24.242424242424242,23.732210679870455,27.56515301675314,-1428.7924981319811,-919.9984339850502,-508.79406414693096,-119.16662430886174,49490.0,50220.0,52850.0,49383.97181597419,50408.26731872071,51774.529375535836,49233.333333333336,49663.63636363636,51362.380952380954,0.0,750.0,-1.18
2010-05-19,49450,750.0,48000,49450,47200,1566686,56.25,39.99110533993523,33.77812917834419,-1424.0302160750944,-1020.8059414213183,-403.2242746537761,-101.11649003445423,49580.0,49765.0,52517.5,49405.98121067247,50234.03063848569,51551.7934286039,49220.0,49523.63636363636,51038.57142857143,0.0,750.0,-12.333333333333332
2010-05-20,49450,0.0,49100,50700,49100,1210356,60.810810810810814,50.400958075373026,42.08954362685861,-1404.0273769459527,-1097.4509286310845,-306.57644831486823,-64.26328894662765,49230.0,49590.0,52155.0,49420.65414045854,50091.475423692864,51350.51708026044,49176.666666666664,49466.36363636364,50746.42857142857,0.0,0.0,8.222222222222221
2010-05-24,50900,1450.0,49000,50900,48550,1100099,100.0,75.20047903768652,58.64501133227257,-1258.4665126858672,-1129.6542807683002,-128.81223191756703,-46.876579265146276,49290.0,49820.0,51935.0,49913.7694272015,50238.48342704924,51307.3964007163,49733.333333333336,49704.545454545456,50626.90476190476,0.0,1450.0,-9.833333333333345
2010-05-25,48350,-2550.0,49900,50500,48200,1763932,31.08108108108108,53.14078005938379,55.89289569582817,-1330.5326095784912,-1169.8301813989167,-160.70242817957455,-64.42908952873412,49370.0,49535.0,51577.5,49392.512951306184,49895.11604857311,51024.46747536014,49420.0,49437.27272727273,50285.47619047619,-2550.0,0.0,-1.3111111111111113
2010-05-26,46750,-1600.0,49000,49250,46050,4015666,14.432989690721648,33.78688487505272,44.83989028544045,-1497.702763999885,-1235.405004599787,-262.29775940009813,-90.54180866301182,48980.0,49235.0,51070.0,48511.675300688876,49323.26756206695,50615.7124970163,48546.666666666664,48930.90909090909,49825.71428571428,-1600.0,0.0,-2.458333333333334
2010-05-27,48000,1250.0,46600,48150,46200,2692989,40.20618556701031,36.996535221031515,40.91821275323598,-1513.079116792862,-1290.940034819618,-222.13908197324395,-75.02053133176717,48690.0,49135.0,50645.0,48341.11686710244,49082.67029117491,50365.67673412741,48220.0,48706.36363636364,49533.333333333336,0.0,1250.0,-4.928571428571431
2010-05-28,49000,1000.0,49400,49450,48000,2181770,60.824742268041234,48.91063874453637,44.914425748886174,-1428.9987623374036,-1318.5518629696664,-110.44689936773716,-36.054202667189344,48600.0,48915.0,50365.0,48560.74457808845,49067.63916717428,50235.17771028071,48323.333333333336,48681.818181818184,49376.666666666664,0.0,1000.0,-8.222222222222221
2010-05-31,49300,300.0,48800,49400,48450,1200047,73.03370786516854,60.972173304852454,52.94329952686931,-1323.145794592485,-1319.4706514942916,-3.6751430981933026,-24.976654076128522,48280.0,48785.0,50130.0,48807.16305207405,49109.88696379661,50145.84400981272,48556.666666666664,48751.818181818184,49275.23809523809,0.0,300.0,-26.666666666666664
2010-06-01,49200,-100.0,49000,49300,48500,1051816,92.64705882352942,76.80961606419093,64.87645779553011,-1233.020067948688,-1302.180501663824,69.16043371513615,-19.31169945708807,48450.0,48910.0,49865.0,48938.10870138804,49126.27127038368,50055.51739859541,48863.333333333336,48827.27272727273,49186.666666666664,-100.0,0.0,-1.4999999999999998
2010-06-03,52800,3600.0,49800,53000,49600,3745512,97.05882352941177,86.93421979680136,75.90533879616574,-863.8016177252866,-1214.5045905131738,350.7029727878871,44.21471884719518,49660.0,49320.0,49770.0,50225.40580096037,49794.22589067542,50317.542946131194,50313.333333333336,49534.545454545456,49466.19047619047,0.0,3600.0,1.3820224719101122
2010-06-04,51800,-1000.0,52300,53200,51500,1511371,73.07692307692307,80.00557143686221,77.95545511651397,-643.7998376030882,-1100.363499994587,456.56366239149884,52.85235263242369,50420.0,49555.0,49660.0,50750.27053398309,50158.91385337629,50459.04509118836,51026.666666666664,49985.454545454544,49659.52380952381,-1000.0,0.0,1.2178217821782178
2010-06-07,50100,-1700.0,50200,50600,49400,1927741,34.73684210526316,57.37120677106269,67.66333094378834,-598.6524344358841,-1000.0211884673936,401.3687540315095,10.253743665530823,50640.0,49620.0,49605.0,50533.51368931944,50148.202201351516,50424.78114317466,50920.0,50084.545454545456,49701.42857142857,-1700.0,0.0,2.3333333333333335
2010-06-08,51400,1300.0,49900,51600,49400,1718218,61.702127659574465,59.53666721531857,63.599999079553456,-453.50574432490976,-890.7180138755034,437.21226955059365,27.16220944271143,51060.0,49670.0,49745.0,50822.34245954863,50375.80253682454,50517.82909791435,51173.333333333336,50408.181818181816,49872.380952380954,0.0,1300.0,2.166666666666667
2010-06-09,51600,200.0,51300,52700,50500,1362124,57.89473684210527,58.71570202871192,61.157850554132686,-318.77696036428097,-776.3297313705702,457.5527710062893,46.67066525178256,51540.0,49995.0,49765.0,51081.56163970048,50598.38448244474,50621.06360964576,51353.333333333336,50759.09090909091,50049.04761904762,0.0,200.0,2.217391304347826
2010-06-10,51500,-100.0,51500,51700,50100,1824861,55.26315789473685,56.98942996172438,59.07364025792853,-217.5202874702518,-664.5677864672188,447.04749899696697,35.46704904914576,51280.0,50470.0,49852.5,51221.04109313416,50762.31493127593,50704.89719411083,51340.0,51032.72727272727,50214.28571428572,-100.0,0.0,2.217391304347826
2010-06-11,52400,900.0,52400,52800,51500,1611950,88.23529411764706,72.61236203968572,65.84300114880713,-64.33364762832935,-544.5209104724679,480.18726284413856,64.20513167464433,51400.0,50910.0,50022.5,51614.02739542371,51060.07638003962,50866.554261674675,51713.333333333336,51383.63636363636,50456.90476190476,0.0,900.0,-5.999999999999998
2010-06-14,52800,400.0,52400,53200,51900,1388395,89.47368421052632,81.04302312510602,73.44301213695658,88.14731092738657,-417.9872255261386,506.1345364535252,73.51569162788817,51940.0,51290.0,50102.5,52009.35159694977,51376.42658737742,51050.9176206752,52180.0,51727.27272727273,50721.42857142857,0.0,400.0,2.8
2010-06-15,51200,-1600.0,52000,52300,50900,2811460,35.483870967741936,58.26344704642398,65.85322959169028,79.59661934378528,-318.47043096538215,398.0670503091674,41.68821826267338,51900.0,51480.0,50132.5,51739.56773129956,51344.348988018006,51065.13168419548,51933.333333333336,51710.90909090909,50825.95238095238,-1600.0,0.0,2.545454545454545
2010-06-16,49750,-1450.0,51600,51900,49500,5326006,6.756756756756757,32.51010190159037,49.18166574664032,-43.14842506741843,-263.40601845969667,220.25759339227824,8.933865675771628,51530.0,51535.0,50222.5,51076.378487532565,51054.46707273411,50939.75542076084,51216.666666666664,51396.36363636364,50789.52380952381,-1450.0,0.0,-0.9090909090909091
2010-06-17,49350,-400.0,49850,50400,49100,2889689,6.097560975609756,19.303831438600064,34.24274859262019,-170.59180144430866,-244.84317200209424,74.25137055778558,-18.71029501348913,51100.0,51190.0,50255.0,50500.9189916881,50744.56372272586,50788.21275853277,50490.0,50999.09090909091,50706.42857142857,-400.0,0.0,-0.5777777777777777
2010-06-18,49700,350.0,49050,49750,48850,2285622,19.54022988505747,19.422030661828767,26.83238962722448,-240.6796833104454,-244.01047415414783,3.330790843702431,-28.695899232882002,50560.0,50980.0,50267.5,50233.94599445865,50554.64292258167,50684.488370323365,50023.333333333336,50728.181818181816,50653.57142857143,0.0,350.0,-0.9166666666666666
