date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,283000,5000.0,281000,285000,274500,446979,64.61538461538461,68.3244867482603,74.80300075214377,8856.304571237735,6007.955426934683,2848.3491443030525,118.62735537279599,278200.0,266300.0,258775.0,277380.7128138307,270072.03550058184,261805.84722312284,280366.6666666667,273527.2727272727,263945.2380952381,0.0,5000.0,1.5675675675675675
2010-05-03,281000,-2000.0,281000,283000,276000,293207,51.78571428571429,60.05510051697977,67.42905063455505,9171.347332033823,6640.717916516094,2530.6294155177293,103.87193639112664,280500.0,270400.0,260325.0,278587.1419849938,272059.58723654714,263667.8519185604,281300.0,276200.0,266061.90476190473,-2000.0,0.0,1.7058823529411766
2010-05-04,284000,3000.0,282000,286500,279000,276858,61.111111111111114,60.58310581404568,64.00607822429882,9542.659511720878,7221.167959592844,2321.4915521280336,108.85948407924894,282800.0,274300.0,262025.0,280391.4280987796,274231.1516258345,265636.76567946177,282466.6666666667,278672.7272727273,268316.6666666667,0.0,3000.0,1.8275862068965516
2010-05-06,279000,-5000.0,277000,282000,272000,559107,31.11111111111111,45.847108462575044,54.926593343434874,9339.598316618998,7644.890077289358,1694.7082393296405,76.18576464040524,281000.0,276350.0,263125.0,279927.6187138771,275098.4045666216,266928.7610859713,281200.0,279527.2727272727,269933.3333333333,-5000.0,0.0,3.6153846153846163
2010-05-07,278500,-500.0,270000,279500,269000,693642,54.285714285714285,50.06641137414514,52.496502358789726,9035.040050445648,7922.93899494938,1112.1010554962686,62.96202956989209,281100.0,277750.0,264125.0,279451.7457964998,275716.987110717,268045.8873335485,280366.6666666667,279918.1818181818,271397.61904761905,-500.0,0.0,-0.8421052631578947
2010-05-10,280000,1500.0,280500,285000,276500,412429,62.857142857142854,56.46177711564437,54.47913973721716,8808.990632750443,8100.1589712828745,708.8316614675687,80.0282697264483,280500.0,279350.0,265350.0,279634.49720093125,276495.83071059076,269198.4730725213,280000.0,280327.2727272727,272909.5238095238,0.0,1500.0,4.750000000000001
2010-05-11,290000,10000.0,283000,293500,281000,490853,85.71428571428571,71.08803141496546,62.783585576091546,9305.717736354563,8341.281226652642,964.4365097019218,103.24387766172518,282300.0,281400.0,267400.0,283089.66484177014,278951.4282529278,271201.74175772956,283166.6666666667,282263.63636363635,275257.14285714284,0.0,10000.0,2.0714285714285716
2010-05-12,295000,5000.0,294500,295000,289500,333709,100.0,85.54401570748294,74.1638006417874,9976.33102324867,8668.302581002938,1308.0284422457316,108.85482948781775,284500.0,283650.0,269700.0,287059.77659270144,281869.6362848159,273491.1672927172,287400.0,284736.36363636365,277885.71428571426,0.0,5000.0,1.3928571428571428
2010-05-13,294500,-500.0,295500,297000,290500,341353,91.07142857142857,88.30772213945576,81.23576139062165,10348.457261407631,9004.342884520358,1344.1143768872735,97.76052866208607,287600.0,284300.0,271850.0,289539.85107492824,284166.2501410113,275510.3011903043,290733.3333333333,286709.0909090909,280247.61904761905,-500.0,0.0,1.5714285714285714
2010-05-14,295500,1000.0,291500,296500,290000,385559,92.6829268292683,90.49532448436204,85.86554293749185,10599.450300536526,9323.37148229906,1276.0788182374654,83.22595566128084,291000.0,286050.0,274275.0,291526.5673902961,286227.0670882017,277429.81599376275,293366.6666666667,288745.45454545453,282500.0,0.0,1000.0,1.0606060606060606
2010-05-17,289000,-6500.0,290000,291000,282500,471102,50.0,70.247662242181,78.05660258983642,10167.365733755985,9492.173344116294,675.1923896396911,47.30428094127778,292800.0,286650.0,276475.0,290684.37825821614,286731.2637631442,278539.9714065176,292700.0,289281.8181818182,283902.38095238095,-6500.0,0.0,1.6666666666666667
2010-05-18,272000,-17000.0,288000,290000,271000,555572,3.8461538461538463,37.04690804416739,57.551755317001884,8383.402858421323,9270.416081951891,-887.0132235305682,2.4019930050060485,289200.0,285750.0,278075.0,284456.25216237636,284052.7345751862,277912.9094711074,285766.6666666667,286618.1818181818,283476.1904761905,-17000.0,0.0,-1.9999999999999996
2010-05-19,268500,-3500.0,269500,274000,261500,496644,19.718309859154928,28.382608951661155,42.967182134331516,6616.221890736837,8739.571182531618,-2123.3492917947806,-39.090635064173824,283900.0,284200.0,279250.0,279137.5014360232,281224.86307417904,277010.9663395226,278866.6666666667,283481.8181818182,282564.28571428574,-3500.0,0.0,-0.27906976744186046
2010-05-20,265000,-3500.0,268500,277500,258500,450153,17.105263157894736,22.743936054777944,32.85555909455473,4881.984893056273,7968.046877236327,-3086.0619841800544,-44.6425062680291,278000.0,282800.0,279575.0,274425.000954064,278274.80126920796,275860.74700207746,272566.6666666667,279990.9090909091,281207.14285714284,-3500.0,0.0,-0.03333333333333333
2010-05-24,264500,-500.0,260000,265000,258000,244818,19.696969696969695,21.22045287587382,27.038005985214273,3428.5535300007323,7060.141573263766,-3631.588043263034,-61.2628638750412,271800.0,281400.0,279575.0,271116.667301172,275770.23172295344,274773.36729479657,268066.6666666667,276663.63636363635,279771.4285714286,-500.0,0.0,-0.03333333333333333
2010-05-25,262000,-2500.0,260000,264000,249500,492229,30.864197530864196,26.042325203369007,26.540165594291636,2054.390584049688,6058.985522656122,-4004.594938606434,-74.07748511082579,266400.0,279600.0,279475.0,268077.7781998399,273266.5039697757,273551.36165462574,264800.0,273136.36363636365,278097.61904761905,-2500.0,0.0,-0.0
2010-05-26,268500,6500.0,261500,271000,259500,423060,67.85714285714286,46.94973403025593,36.74494981227379,1466.0573575376766,5140.39559356624,-3674.338236028563,-45.60609946606464,265700.0,277450.0,279425.0,268218.51879992237,272399.85293402825,273068.31452989136,265500.0,271118.1818181818,277052.38095238095,0.0,6500.0,-0.31707317073170727
