date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,185500,-4500,190500,190500,185500,177011,0,38.63912869,57.09620092,-81.23447254,7.720734572,-88.95520711,-43.6477007,189300,186800,189350,188112.3107,188229.3645,188345.3077,188766.6667,187909.0909,188535.7143,-4500,0,12
2010-05-03,180000,-5500,185000,187500,179000,381188,7.407407407,23.02326805,40.05973448,-706.5356305,-135.1495292,-571.3861014,-129.9414786,187500,186450,188900,185408.2069,186732.6276,187535.7381,185666.6667,186672.7273,187645.2381,-5500,0,-1.2
2010-05-04,174500,-5500,181000,182000,172500,482606,10,16.51163402,28.28568425,-1609.419775,-430.034936,-1179.384839,-203.9534718,184200,185750,188075,181772.1377,184507.919,186273.3902,181333.3333,184500,186273.8095,-5500,0,-0.137931034
2010-05-06,180500,6000,171500,181000,171000,408308,47.5,32.00581701,30.14575063,-1836.604894,-711.3728612,-1125.232033,-161.8168914,182100,185150,187550,181348.0918,183779.0471,185715.2025,180100,183545.4545,185552.381,0,6000,-0.571428571
2010-05-07,175500,-5000,174000,179000,174000,280128,23.07692308,27.54137004,28.84356034,-2378.825538,-1044.886094,-1333.939444,-160.4346437,179200,184200,186625,179398.7278,182273.4965,184728.9925,177900,181790.9091,184404.7619,-5000,0,-0.387096774
2010-05-10,177500,2000,176000,179000,176000,209063,39.39393939,33.46765472,31.15560753,-2621.575354,-1360.241116,-1261.334238,-121.9847968,177600,183450,186000,178765.8185,181405.461,184031.9911,177333.3333,180572.7273,183535.7143,0,2000,-0.64
2010-05-11,178500,1000,179000,180500,176000,195042,68.18181818,50.82473645,40.99017199,-2704.179722,-1629.040545,-1075.139177,-96.52783692,177300,182400,185425,178677.2124,180877.1321,183499.2386,177633.3333,179672.7273,182821.4286,0,1000,-1.285714286
2010-05-12,182000,3500,180500,184500,180500,213788,81.48148148,66.15310897,53.57164048,-2466.208098,-1796.47989,-669.7282078,-35.15913046,178800,181500,184750,179784.8082,181081.3099,183355.0098,179200,179600,182495.2381,0,3500,6.25
2010-05-13,182000,0,182000,183500,182000,117116,76.19047619,71.17179258,62.37171653,-2251.6274,-1887.51193,-364.1154705,-24.77753671,179100,180600,184075,180523.2055,181248.3579,183224.7814,180266.6667,179690.9091,182233.3333,0,0,1.666666667
2010-05-14,182000,0,182000,183000,181500,166751,70.58823529,70.88001394,66.62586523,-2057.820668,-1921.574437,-136.2462313,-21.86650954,180400,179800,183425,181015.4703,181385.029,183107.1715,181233.3333,179945.4545,182035.7143,0,0,4.333333333
2010-05-17,179500,-2500,180500,183000,175000,183960,47.36842105,59.12421749,62.87504136,-2077.673631,-1952.794833,-124.8787982,-58.6797066,180800,179200,183000,180510.3136,181042.2781,182761.0646,180933.3333,179890.9091,181661.9048,-2500,0,1.625
2010-05-18,177500,-2000,178000,180000,174000,121482,33.33333333,46.22877541,54.55190839,-2225.858883,-2007.408422,-218.4504605,-82.13323423,180600,178950,182700,179506.8757,180398.1993,182256.6261,179833.3333,179581.8182,181138.0952,-2000,0,0
2010-05-19,175500,-2000,179000,180500,175000,132488,15.78947368,31.00912455,42.78051647,-2473.10443,-2100.548687,-372.5557428,-81.60195544,179300,179050,182400,178171.2505,179507.5856,181609.2075,178133.3333,178954.5455,180452.381,-2000,0,-1.166666667
2010-05-20,180000,4500,174000,180000,174000,106576,66.66666667,48.83789561,45.80920604,-2285.617176,-2137.562723,-148.0544532,-59.38520298,178900,179000,182075,178780.8336,179597.1181,181455.1032,178366.6667,179127.2727,180223.8095,0,4500,-2.25
2010-05-24,176500,-3500,178000,184500,175500,170168,23.80952381,36.32370971,41.06645787,-2387.464518,-2187.543447,-199.921071,-42.76682782,177800,179100,181650,178020.5558,179033.9922,180980.8317,177566.6667,178672.7273,179692.8571,-3500,0,-0.818181818
2010-05-25,174500,-2000,175500,177500,170500,205648,28.57142857,32.44756914,36.75701351,-2597.192749,-2269.473787,-327.7189621,-99.61412882,176800,178800,181125,176847.0372,178209.6138,180360.8219,176466.6667,177836.3636,179011.9048,-2000,0,-0.6
2010-05-26,174500,0,174000,175000,171500,291123,28.57142857,30.50949886,33.63325618,-2731.814112,-2361.942284,-369.8718276,-90.17552616,176200,178400,180400,176064.6914,177535.1277,179800.3684,175700,177054.5455,178380.9524,0,0,-0.9
2010-05-27,170000,-4500,172000,173000,169500,280786,3.333333333,16.92141609,25.27733614,-3160.567238,-2521.667873,-638.8993657,-107.3735338,175100,177200,179350,174043.1276,176165.0864,178863.5519,173633.3333,175527.2727,177390.4762,-4500,0,-0.6
2010-05-28,173000,3000,173000,174000,170500,257788,23.33333333,20.12737471,22.70235543,-3223.791902,-2662.093099,-561.6988029,-72.39952719,173700,176300,178450,173695.4184,175589.61,178303.2526,172933.3333,174763.6364,176785.7143,0,3000,-3
