date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2018-05-04,717000,-10000,725000,735000,717000,102357,15.15151515,28.73579434,32.36528571,-17007.1558,-17015.98763,8.83183082,-59.85217235,722800,727000,743500,724330.4512,729621.9254,742011.1238,723666.6667,725363.6364,733714.2857,-10000,0,-0.846153846
2018-05-08,731000,14000,727000,738000,721000,97455,57.57575758,43.15577596,37.76053083,-15833.3969,-16779.46948,946.0725826,-35.59571482,725800,727300,741550,726553.6342,729872.4844,740962.4453,726400,726090.9091,732523.8095,0,14000,6
2018-05-09,727000,-4000,730000,740000,723000,95131,35.71428571,39.43503084,38.59778083,-15052.43598,-16434.06278,1381.626805,-30.54675441,728000,726500,739200,726702.4228,729350.2145,739632.6886,726800,726036.3636,731138.0952,-4000,0,3.272727273
2018-05-10,720000,-7000,730000,735000,718000,83361,10.71428571,25.07465827,31.83621955,-14827.43883,-16112.73799,1285.299161,-39.02935294,724400,726000,736450,724468.2818,727650.1755,737762.9087,724133.3333,724854.5455,729309.5238,-7000,0,9
2018-05-11,717000,-3000,721000,729000,714000,109545,11.53846154,18.30655991,25.07138973,-14721.50159,-15834.49071,1112.989118,-43.31599316,722400,723400,733750,721978.8546,725713.78,735785.4889,721666.6667,723218.1818,727457.1429,-3000,0,-0.666666667
2018-05-14,717000,0,720000,722000,714000,57749,11.53846154,14.92251072,19.99695023,-14470.73593,-15561.73976,1091.003823,-44.36840206,722400,722600,731750,720319.2364,724129.4563,733996.3947,719866.6667,722054.5455,725861.9048,0,0,-1.4
2018-05-15,711000,-6000,714000,718000,711000,79945,0,7.461255361,13.72910279,-14587.99092,-15366.98999,778.9990701,-50.05847953,718400,722100,729100,717212.8243,721742.2825,731806.2619,716066.6667,719945.4545,723885.7143,-6000,0,-2.333333333
2018-05-16,700000,-11000,712000,715000,698000,124013,5.405405405,6.433330383,10.08121659,-15391.10533,-15371.81306,-19.29227043,-68.13744403,713000,720500,726550,711475.2162,717789.1402,728777.0941,709933.3333,715927.2727,721114.2857,-11000,0,0
2018-05-17,697000,-3000,700000,703000,697000,92363,0,3.216665192,6.64894089,-16084.24504,-15514.29945,-569.9455905,-75.92449653,708400,716400,724000,706650.1441,714009.2965,725750.7041,704600,711654.5455,718300,-3000,0,0
2018-05-18,688000,-9000,697000,700000,684000,113041,10.52631579,6.871490491,6.76021569,-17161.95571,-15843.8307,-1318.125002,-88.63238174,702600,712500,720800,700433.4294,709280.3335,722155.399,697800,706490.9091,714871.4286,-9000,0,0
2018-05-21,682000,-6000,686000,690000,676000,101118,14.28571429,10.57860239,8.669409039,-18289.37055,-16332.93867,-1956.431874,-101.688768,695600,709000,718000,694288.9529,704320.2729,718331.0753,690933.3333,700945.4545,711176.1905,-6000,0,0
2018-05-23,684000,2000,680000,688000,677000,86056,20.51282051,15.54571145,12.10756024,-18804.70274,-16827.29148,-1977.411252,-94.40858011,690200,704300,715800,690859.302,700625.6778,715061.4491,687066.6667,696400,707938.0952,0,2000,-0.060606061
2018-05-24,680000,-4000,682000,685000,678000,44487,14.81481481,15.18026313,13.64391169,-19313.24274,-17324.48174,-1988.761005,-92.70452709,686200,699600,713050,687239.5346,696875.5546,711722.2634,683666.6667,691981.8182,704528.5714,-4000,0,-0.064516129
2018-05-25,685000,5000,685000,694000,682000,75755,37.5,26.34013157,19.99202163,-19092.71719,-17678.12883,-1414.58836,-72.39039605,683800,696100,711050,686493.0231,694716.3628,709177.286,683266.6667,689327.2727,701857.1429,0,5000,-0.466666667
2018-05-28,680000,-5000,685000,687000,679000,54086,22.22222222,24.28117689,22.13659926,-19101.22033,-17962.74713,-1138.473204,-77.42469724,682200,692400,707900,684328.6821,692040.6605,706398.4968,682000,686400,698900,-5000,0,-0.411764706
2018-05-29,668000,-12000,679000,680000,667000,93537,3.703703704,13.9924403,18.06451978,-19847.46957,-18339.69162,-1507.777955,-95.96816136,679400,687500,705050,678885.788,687669.6313,702741.4971,677266.6667,681963.6364,695100,-12000,0,-0.35
2018-05-30,652000,-16000,667000,670000,648000,133965,8.695652174,11.34404624,14.70428301,-21482.30907,-18968.21511,-2514.09396,-125.6783396,673000,681600,701850,669923.8587,681184.2438,697908.9736,668133.3333,675509.0909,690047.619,-16000,0,-0.233333333
2018-05-31,669000,17000,660000,671000,654000,210193,45.65217391,28.49811007,21.60119654,-21162.22823,-19407.01773,-1755.210496,-97.31843946,670800,678500,699500,669615.9058,678968.9268,695155.738,666800,673218.1818,686919.0476,0,17000,-1.466666667
2018-06-01,680000,11000,674000,686000,672000,91461,82.05128205,55.27469606,38.4379463,-19792.79477,-19484.17314,-308.6216295,-50.83333333,669800,676800,696600,673077.2705,679156.3946,693712.3344,669866.6667,673490.9091,685061.9048,0,11000,0
2018-06-04,673000,-7000,681000,687000,671000,81871,64.1025641,59.68863008,49.06328819,-19052.72246,-19397.883,345.1605432,-49.27148282,668400,675300,693900,673051.5137,678037.0501,691739.7311,670933.3333,672800,682814.2857,-7000,0,-2.333333333
2018-06-05,674000,1000,678000,680000,664000,67152,66.66666667,63.17764837,56.12046828,-18175.9966,-19153.50572,977.5091176,-54.16966761,669600,674500,691750,673367.6758,677303.041,690050.2329,672800,672563.6364,680919.0476,0,1000,-4.833333333
2018-06-07,680000,6000,675000,682000,674000,78181,78.78787879,70.98276358,63.55161593,-16803.33679,-18683.47194,1880.135149,-31.78871654,675200,674100,689200,675578.4505,677793.3972,689093.0679,676266.6667,673563.6364,679800,0,6000,2.916666667
2018-06-08,701000,21000,680000,708000,680000,188291,84.09090909,77.53683634,70.54422613,-13861.18637,-17719.01482,3857.828454,19.11746892,681600,676200,687900,684052.3004,682012.7795,690227.0614,684866.6667,678454.5455,680923.8095,0,21000,1.142857143
2018-06-11,711000,10000,701000,712000,695000,137850,97.91666667,87.7267515,79.13548882,-10600.39973,-16295.2918,5694.892076,46.74143547,687800,678800,687450,693034.8669,687283.1832,692205.4365,694666.6667,684781.8182,683123.8095,0,10000,1.166666667
2018-06-12,717000,6000,712000,719000,704000,124267,96.36363636,92.04519393,85.59034138,-7446.217604,-14525.47696,7079.259359,65.59416559,696600,682500,687450,701023.2446,692686.2408,694566.8235,704400,691727.2727,685938.0952,0,6000,1.189189189
2018-06-14,707000,-10000,719000,725000,705000,158911,64.70588235,78.37553814,81.98293976,-5687.855912,-12757.95275,7070.096841,62.63444262,703200,686400,686950,703015.4964,695288.7425,695750.9356,707866.6667,696181.8182,687800,-10000,0,1.294117647
2018-06-15,690000,-17000,705000,706000,687000,140302,22.22222222,50.29888018,66.14090997,-5601.528592,-11326.66792,5725.139328,19.86840408,705200,690200,685900,698676.9976,694327.153,695203.2274,703466.6667,696836.3636,688090.4762,-17000,0,2.6875
2018-06-18,694000,4000,690000,695000,686000,105859,20.51282051,35.40585035,50.77338016,-5150.969825,-10091.5283,4940.558476,15.16824483,703800,692700,685600,697117.9984,694267.6706,695088.6343,699733.3333,697527.2727,688861.9048,0,4000,2.928571429
2018-06-19,688000,-6000,690000,694000,688000,110322,5.128205128,20.26702774,35.52020395,-5217.89991,-9116.802623,3898.902713,12.47765588,699200,693500,685150,694078.6656,693128.0941,694413.5263,694466.6667,696672.7273,689090.4762,-6000,0,-1.538461538
2018-06-20,689000,1000,689000,692000,687000,106479,7.692307692,13.97966772,24.74993583,-5131.102684,-8319.662635,3188.559951,11.48097066,693600,695100,685200,692385.7771,692377.5316,693897.9524,691066.6667,695854.5455,689457.1429,0,1000,-0.5
2018-06-21,699000,10000,685000,703000,684000,117882,68.18181818,41.08074295,32.91533939,-4206.904257,-7497.11096,3290.206703,29.33259074,692000,697600,686050,694590.518,693581.6167,694383.8617,692866.6667,696563.6364,690771.4286,0,10000,-0.833333333
2018-06-22,723000,24000,690000,724000,690000,160314,97.5,69.29037147,51.10285543,-1520.345327,-6301.757833,4781.412506,80.6550165,698600,701900,688000,704060.3454,698930.4137,697109.2082,703200,701181.8182,694290.4762,0,24000,2.4375
2018-06-25,748000,25000,728000,750000,727000,255266,96.96969697,83.13003422,67.11644483,2596.136402,-4522.178986,7118.315389,159.6809509,709400,706600,691400,718706.8969,707852.1567,701955.9502,719666.6667,709563.6364,700004.7619,0,25000,1.103448276
2018-06-26,735000,-13000,742000,746000,730000,107528,77.27272727,80.20138075,73.65891279,4754.677514,-2666.807686,7421.4852,131.7125635,718800,709000,693900,724137.9313,712788.1282,705103.0026,728200,714727.2727,704157.1429,-13000,0,1.463414634
2018-06-27,739000,4000,747000,748000,739000,87276,83.33333333,81.76735704,77.71313491,6710.746162,-791.2969166,7502.043078,132.400327,728800,711200,696850,729091.9542,717553.9231,708331.2881,734933.3333,720181.8182,708452.381,0,4000,1.254901961
2018-06-28,747000,8000,738000,751000,726000,136537,93.44262295,87.60499,82.65906245,8804.979477,1127.958362,7677.021115,118.7883963,738400,715200,700800,735061.3028,722907.7552,712014.0225,741000,726690.9091,713228.5714,0,8000,1.224137931
2018-06-29,763000,16000,750000,764000,748000,155915,97.36842105,92.48670552,87.57288399,11621.77219,3226.721129,8395.051066,150.659927,746400,722500,706350,744374.2019,730197.2543,716869.8299,749200,735381.8182,719152.381,0,16000,1.203125
2018-07-02,751000,-12000,765000,765000,745000,107918,64.1025641,78.29463481,82.9337594,12738.95427,5129.167757,7609.786513,123.0287543,747000,728200,710450,746582.8012,733979.5717,720120.3223,750733.3333,740563.6364,723404.7619,-12000,0,1.892857143
2018-07-03,747000,-4000,759000,763000,743000,86305,53.84615385,66.07039433,74.50207687,13149.97778,6733.329762,6416.648022,101.7632465,749400,734100,713800,746721.8675,736346.9223,722680.2916,750733.3333,743981.8182,726885.7143,-4000,0,-28
2018-07-04,768000,21000,769000,779000,760000,179939,79.24528302,72.65783867,73.57995777,14997.36113,8386.136036,6611.225097,128.9464109,755200,742000,718550,753814.5783,742102.0273,726996.4543,756933.3333,750145.4545,732047.619,0,21000,1.484848485
2018-07-05,765000,-3000,756000,769000,756000,57319,61.11111111,66.88447489,70.23221633,16034.51491,9915.811811,6118.7031,99.62076867,758800,748600,723100,757543.0522,746265.2951,730615.8396,760200,754327.2727,736471.4286,-3000,0,1.730769231
2018-07-06,749000,-16000,755000,758000,746000,81867,16.66666667,41.77557078,56.00389356,15388.01699,11010.25285,4377.764143,59.87064502,756000,751200,726550,754695.3681,746762.5142,732366.712,756933.3333,754400,738938.0952,-16000,0,18.5
2018-07-09,755000,6000,749000,779000,748000,94376,33.33333333,37.55445206,46.77917281,15184.77199,11845.15668,3339.615311,71.866603,756800,751900,729250,754796.9121,748260.2389,734522.2633,756600,755090.9091,741647.619,0,6000,-3.375
2018-07-10,760000,5000,757000,768000,756000,75129,42.42424242,39.98934724,43.38426002,15251.34901,12526.39514,2724.953869,65.80963654,759400,754400,731700,756531.2747,750394.7409,736948.7144,757666.6667,756563.6364,744576.1905,0,5000,3.555555556
2018-07-11,769000,9000,763000,771000,757000,86885,69.6969697,54.84315847,49.11370925,15847.65467,13190.64705,2657.007622,68.89409713,759600,757400,734300,760687.5165,753777.5153,740001.2178,760866.6667,759218.1818,748128.5714,0,9000,1.863636364
2018-07-12,782000,13000,775000,782000,764000,95967,100,77.42157923,63.26764424,17171.2827,13986.77418,3184.508519,82.59178345,763000,760900,738050,767791.6777,758908.8761,744001.1018,768333.3333,763690.9091,752671.4286,0,13000,2.357142857
2018-07-13,771000,-11000,780000,782000,765000,75970,67.64705882,72.53431903,67.90098163,17135.13619,14616.44658,2518.68961,64.6784046,767400,761700,742100,768861.1184,761107.2623,746572.4254,771000,765527.2727,755809.5238,-11000,0,5.5
2018-07-16,771000,0,771000,773000,767000,57725,57.69230769,65.11331336,66.5071475,16911.54407,15075.46608,1836.077993,50.29566142,770600,763700,745950,769574.079,762905.9419,748898.8611,772200,767218.1818,758561.9048,0,0,1.5
2018-07-17,759000,-12000,769000,769000,755000,52977,14.81481481,39.96406409,53.23560579,15586.37595,15177.64805,408.7279008,24.32898301,770400,764900,749500,766049.386,762195.7706,749860.8743,768333.3333,766363.6364,759804.7619,-12000,0,6.75
2018-07-18,764000,5000,762000,771000,759000,31762,33.33333333,36.64869871,44.94215225,14769.37671,15095.99378,-326.6170776,23.83616286,769400,764500,753250,765366.2573,762523.8123,751207.4577,766200,766200,761185.7143,0,5000,6.75
2018-07-19,765000,1000,772000,780000,763000,50422,37.03703704,36.84286787,40.89251006,14040.73768,14884.94256,-844.2048871,25.56786123,766000,764500,756550,765244.1715,762974.0283,752521.0332,764733.3333,766290.9091,762304.7619,0,1000,-4.75
2018-07-20,770000,5000,765000,772000,755000,50449,60,48.42143394,44.656972,13708.71863,14649.69778,-940.9791446,13.67029111,765800,766600,758900,766829.4477,764251.4777,754185.6967,766066.6667,767290.9091,763585.7143,0,5000,-0.916666667
2018-07-23,774000,4000,771000,777000,765000,81430,76,62.21071697,53.43384448,13611.45336,14442.04889,-830.5955357,24.68289338,766400,768500,760200,769219.6318,766023.9363,756072.7732,768800,768636.3636,765023.8095,0,4000,5
2018-07-24,745000,-29000,775000,776000,742000,84503,7.894736842,35.05272691,44.24328569,11066.74178,13766.98747,-2700.245691,-15.31364969,763600,767000,760700,761146.4212,762201.4024,755018.2234,761666.6667,764363.6364,763576.1905,-29000,0,-0.576923077
2018-07-25,746000,1000,759000,759000,742000,94581,10.52631579,22.78952135,33.51640352,9026.677245,12818.92542,-3792.24818,-29.71668249,760000,764700,761050,756097.6141,759255.6929,754159.345,755800,760545.4545,762176.1905,0,1000,-1.230769231
2018-07-26,751000,5000,752000,761000,716000,224252,57.37704918,40.08328526,36.79984439,7724.328368,11800.00601,-4075.677645,-46.81329333,757200,761600,761250,754398.4094,757754.6578,753858.455,752800,758054.5455,761219.0476,0,5000,-1.230769231
2018-07-27,751000,0,735000,751000,733000,113819,57.37704918,48.73016722,42.76500581,6615.943028,10763.19342,-4147.250388,-42.3554979,753400,759600,760650,753265.6063,756526.5382,753586.2212,750733.3333,756127.2727,760242.8571,0,0,-1.071428571
2018-07-30,730000,-21000,747000,748000,726000,108666,23.33333333,36.03175028,39.39837804,3996.940918,9409.942917,-5413.001999,-70.01279878,744600,755500,759600,745510.4042,751703.5313,751339.9144,742933.3333,750745.4545,757323.8095,-21000,0,-0.25
2018-07-31,716000,-14000,726000,728000,712000,123684,8.163265306,22.09750779,30.74794292,782.6578862,7684.48591,-6901.828024,-109.4976948,738800,751200,758050,735673.6028,745211.9801,747974.2082,733400,743563.6364,753171.4286,-14000,0,-0.103448276
2018-08-01,728000,12000,718000,728000,715000,102959,32.65306122,27.37528451,29.06161371,-787.3092511,5990.126878,-6777.436129,-93.16137994,735200,747600,756050,733115.7352,742082.5292,746071.9027,729800,739345.4545,750309.5238,0,12000,-1.058823529
2018-08-02,728000,0,728000,738000,721000,80977,41.02564103,34.20046277,31.63103824,-2008.368299,4390.427843,-6398.796142,-75.52412852,730600,743900,754200,731410.4901,739522.0693,744350.7691,727400,735781.8182,747638.0952,0,0,-0.944444444
2018-08-03,731000,3000,723000,731000,721000,106877,52.77777778,43.48912027,37.56007926,-2702.834866,2971.775301,-5674.610167,-76.02034487,726600,740000,753300,731273.6601,737972.6022,743079.2673,727533.3333,733436.3636,745428.5714,0,3000,-0.75
2018-08-06,735000,4000,733000,748000,731000,60607,63.88888889,53.68900458,45.62454192,-2897.042747,1798.011691,-4695.054438,-43.62602572,727600,736100,752300,732515.7734,737432.1291,742309.8133,730333.3333,732527.2727,743685.7143,0,4000,-1.1875
2018-08-07,744000,9000,742000,754000,736000,64837,74.35897436,64.02398947,54.82426569,-2298.236469,978.7620594,-3276.998528,-21.53358474,733200,736000,751500,736343.8489,738626.2874,742470.7834,735800,733963.6364,742895.2381,0,9000,2
2018-08-08,750000,6000,742000,756000,742000,62482,82.85714286,73.44056616,64.13241593,-1324.263043,518.1570388,-1842.420082,-3.840756334,737600,736400,750550,740895.8993,740694.2352,743187.8517,741400,736509.0909,742752.381,0,6000,1
2018-08-09,779000,29000,753000,779000,745000,133034,100,86.72028308,75.42634951,1767.303179,767.9862669,999.3169123,66.35367762,747800,739200,750400,753597.2662,747658.9197,746598.5325,755200,744254.5455,745461.9048,0,29000,1
2018-08-10,771000,-8000,777000,782000,770000,69084,78.43137255,82.57582782,79.00108866,3531.153602,1320.619734,2210.533868,92.97867242,755800,741200,750400,759398.1775,751902.7525,748922.4818,762933.3333,750036.3636,747423.8095,-8000,0,1.186046512
2018-08-13,755000,-16000,767000,767000,750000,83668,41.30434783,61.94008782,70.47058824,3596.493352,1775.794458,1820.698894,31.87894073,759800,743700,749600,757932.1183,752465.8884,749501.293,762666.6667,752545.4545,747861.9048,-16000,0,2
2018-08-14,757000,2000,760000,767000,754000,61603,37.5,49.72004391,60.09531608,3766.243943,2173.884355,1592.359588,40.57647039,762400,747800,749500,757621.4122,753290.2723,750215.4556,761733.3333,754963.6364,748566.6667,0,2000,2.090909091
2018-08-16,750000,-7000,750000,763000,745000,114099,13.51351351,31.61677871,45.85604739,3297.914703,2398.690424,899.2242791,16.33390676,762400,750000,748800,755080.9415,752692.041,750194.936,757600,755363.6364,748614.2857,-7000,0,6.166666667
2018-08-17,755000,5000,754000,768000,748000,38780,27.02702703,29.32190287,37.58897513,3292.267411,2577.405822,714.8615891,37.48722827,757600,752700,748300,755053.961,753111.6699,750652.5611,755133.3333,756272.7273,749204.7619,0,5000,7.2
2018-08-20,755000,0,764000,766000,753000,38936,43.47826087,36.40008187,36.9945285,3250.324177,2711.989493,538.3346842,42.87805898,754400,755100,747550,755035.974,753455.0026,751066.6029,754266.6667,756690.9091,749842.8571,0,0,-0.291666667
2018-08-21,747000,-8000,754000,761000,747000,48321,8.695652174,22.54786702,29.77119776,2542.245299,2678.040654,-135.7953548,21.08487374,752800,756300,746200,752357.316,752281.3658,750679.3074,751800,755218.1818,749790.4762,-8000,0,-0.291666667
2018-08-22,747000,0,747000,748000,741000,47935,22.22222222,22.38504462,26.07812119,1958.511189,2534.134761,-575.6235717,-4.138306561,750800,756600,746300,750571.544,751321.1175,750328.8972,749866.6667,753527.2727,749866.6667,0,0,-0.875
2018-08-23,772000,25000,755000,773000,752000,99084,96.875,59.63002231,42.85407175,3473.152429,2721.938295,751.2141342,79.24387248,755200,758800,747600,757714.3627,755080.9143,752392.8117,756933.3333,756327.2727,752314.2857,0,25000,2
2018-08-24,758000,-14000,771000,779000,755000,54260,44.73684211,52.18343221,47.51875198,3503.447959,2878.240228,625.2077316,68.24515039,755800,756700,747950,757809.5751,755611.6571,752926.8297,757866.6667,756181.8182,753304.7619,-14000,0,3.75
2018-08-27,769000,11000,763000,775000,760000,44748,73.68421053,62.93382137,55.22628667,4364.751318,3175.542446,1189.208872,79.83178303,758600,756500,748850,761539.7167,758045.9013,754457.6078,762266.6667,758418.1818,755309.5238,0,11000,2.571428571
