date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,172000,-500,174000,174500,172000,176815,44.44444444,42.02691427,34.43098316,-842.3400168,-614.2134307,-228.1265861,-68.10353312,172100,172900,174225,172283.0258,172845.1187,173619.1016,172100,172454.5455,173440.4762,-500,0,-1
2010-05-03,173500,1500,173500,174000,172000,135137,77.77777778,59.90234602,47.16666459,-742.1442215,-639.8029903,-102.3412312,-55.6427152,172400,172950,174225,172688.6839,172964.227,173607.5477,172566.6667,172563.6364,173371.4286,0,1500,2
2010-05-04,172500,-1000,173500,174000,171500,146077,55.55555556,57.72895079,52.44780769,-731.8352493,-658.2113996,-73.62384966,-73.43941248,172400,172600,174075,172625.7893,172879.7995,173500.2956,172600,172481.8182,173207.1429,-1000,0,6
2010-05-06,171000,-1500,170500,172000,169500,291038,30,43.86447539,48.15614154,-830.6737813,-692.7068105,-137.9669708,-140.6371406,172300,172300,173725,172083.8595,172537.943,173258.5599,172133.3333,172190.9091,172914.2857,-1500,0,-1.666666667
2010-05-07,168500,-2500,169500,170000,167000,306260,20,31.9322377,40.04418962,-1091.236931,-772.4182595,-318.8186717,-209.1923249,171500,171800,173275,170889.2396,171803.6402,172799.1526,170866.6667,171500,172416.6667,-2500,0,-0.833333333
2010-05-10,170500,2000,168500,170500,168000,157732,50,40.96611885,40.50515423,-1128.201159,-843.5787137,-284.622445,-134.626544,171200,171650,172975,170759.4931,171566.58,172577.474,170533.3333,171263.6364,172152.381,0,2000,-1.75
2010-05-11,168000,-2500,170500,171000,167500,290305,14.28571429,27.62591657,34.0655354,-1337.877379,-942.442753,-395.4346265,-140.82397,170100,171250,172675,169839.662,170918.0333,172136.6453,169466.6667,170600,171678.5714,-2500,0,-0.875
2010-05-12,169000,1000,168000,170000,167500,124638,40,33.81295828,33.93924684,-1409.127934,-1035.783042,-373.3448926,-120.057959,169400,170900,172375,169559.7747,170569.2658,171834.8956,169100,170190.9091,171328.5714,0,1000,-0.666666667
2010-05-13,168000,-1000,168500,169000,167500,170521,25,29.40647914,31.67286299,-1526.589656,-1133.947101,-392.6425553,-120.2755779,168800,170550,171950,169039.8498,170102.0891,171466.3284,168633.3333,169663.6364,170911.9048,-1000,0,-0.666666667
2010-05-14,168000,0,168000,169500,167500,144534,14.28571429,21.84609671,26.75947985,-1601.118382,-1227.383441,-373.734941,-97.53175174,168700,170100,171625,168693.2332,169719.866,171133.4735,168366.6667,169200,170535.7143,0,0,-1
2010-05-17,167000,-1000,167500,167500,166000,183243,20,20.92304836,23.8412641,-1719.24783,-1325.758074,-393.4897561,-120.2840657,168000,169600,171250,168128.8221,169225.3184,170736.8681,167800,168636.3636,170095.2381,-1000,0,-2
2010-05-18,168500,1500,166500,169500,166500,175284,62.5,41.71152418,32.77639414,-1674.82145,-1395.571745,-279.2497042,-74.86285899,168100,169100,171025,168252.5481,169093.4365,170522.3939,167966.6667,168436.3636,169833.3333,0,1500,-1.25
2010-05-19,167500,-1000,167500,168500,166000,193318,42.85714286,42.28433352,37.53036383,-1699.193024,-1456.296694,-242.8963297,-81.52091255,167800,168600,170600,168001.6987,168803.7104,170232.7887,167766.6667,168145.4545,169497.619,-1000,0,-5
2010-05-20,165000,-2500,166000,167000,165000,207798,0,21.14216676,29.33626529,-1894.912292,-1544.020615,-350.8916765,-103.1442983,167200,168000,170150,167001.1325,168112.1064,169731.6754,166833.3333,167490.9091,168964.2857,-2500,0,-0.375
2010-05-24,166000,1000,164500,167000,164500,138084,30,25.57108338,27.45367434,-1948.047707,-1624.826624,-323.2210827,-87.27998548,166800,167750,169775,166667.4217,167728.0778,169374.5028,166433.3333,167127.2727,168569.0476,0,1000,-1.25
2010-05-25,160500,-5500,165000,165500,160000,331453,5.263157895,15.41712064,21.43539749,-2399.7789,-1779.817985,-619.9609151,-146.9935051,165500,166750,169200,164611.6144,166413.856,168525.4947,164333.3333,165809.0909,167685.7143,-5500,0,-0.333333333
2010-05-26,158500,-2000,160500,162000,157500,220443,9.090909091,12.25401486,16.84470618,-2883.613525,-2000.578126,-883.0353995,-169.2785222,163500,165800,168525,162574.4096,164974.9499,167566.7856,162000,164309.0909,166666.6667,-2000,0,-0.294117647
2010-05-27,159000,500,159000,160000,158000,330413,15.78947368,14.02174427,15.43322522,-3190.2991,-2238.523211,-951.7758888,-149.0244915,161800,164800,167850,161382.9397,163888.5811,166747.8872,160500,163072.7273,165759.5238,0,500,-0.157894737
2010-05-28,159500,500,161000,161500,159000,218717,21.05263158,17.53718793,16.48520658,-3354.689262,-2461.757089,-892.9321724,-116.3750737,160700,163950,167250,160755.2932,163090.6486,166055.3059,159733.3333,162109.0909,164964.2857,0,500,-0.25
2010-05-31,163500,4000,160000,165500,159500,199998,75,46.26859396,31.37690027,-3129.495368,-2595.305065,-534.1903035,-63.25378496,160200,163500,166800,161670.1954,163165.0768,165811.2079,160666.6667,162027.2727,164607.1429,0,4000,-4
2010-06-01,164500,1000,163500,165000,163000,345342,87.5,66.88429698,49.13059863,-2838.384718,-2643.921088,-194.4636292,-35.68253968,161000,163250,166425,162613.4636,163407.7919,165685.9897,162100,162209.0909,164388.0952,0,1000,-4
2010-06-03,167500,3000,163500,169000,163000,242013,86.36363636,76.62396667,62.87728265,-2340.822547,-2583.301287,242.4787405,4.997117048,162800,163150,166125,164242.3091,164151.8341,165859.1797,164266.6667,162981.8182,164490.4762,0,3000,1.285714286
2010-06-04,167500,0,168500,168500,166000,94374,85,80.81198334,71.84463299,-1924.32938,-2451.506744,527.1773643,21.92940271,164500,163150,165875,165328.2061,164760.5945,166015.7978,165833.3333,163772.7273,164621.4286,0,0,1
2010-06-07,165000,-2500,165000,166000,164000,129655,57.89473684,69.35336009,70.59899654,-1773.957017,-2315.996666,542.0396484,-9.760279619,165600,163150,165575,165218.804,164804.1229,165918.8594,166000,164109.0909,164538.0952,-2500,0,1.416666667
2010-06-08,166000,1000,165000,166500,164000,93258,50,59.67668004,65.13783829,-1556.725352,-2164.142284,607.416932,0.559812463,166100,163150,165450,165479.2027,165021.5558,165926.6012,166133.3333,164627.2727,164578.5714,0,1000,1.384615385
2010-06-09,169500,3500,166000,171500,165000,235921,76.47058824,68.07363414,66.60573622,-1091.467111,-1949.607115,858.1400038,54.67353591,167100,164050,165400,166819.4685,165835.8206,166267.4883,167266.6667,165781.8182,164964.2857,0,3500,1.416666667
2010-06-10,168500,-1000,169500,172500,168500,335882,52.94117647,60.50740531,63.55657076,-793.8029756,-1718.446171,924.6431952,73.04408434,167300,165050,165425,167379.6456,166320.2179,166480.4269,167733.3333,166590.9091,165259.5238,-1000,0,1.875
2010-06-11,168500,0,170000,171000,168000,165472,52.94117647,56.72429089,60.14043082,-551.5542846,-1485.0677,933.5134152,61.56846357,167500,166000,165400,167753.0971,166716.5426,166673.0278,168133.3333,167218.1818,165552.381,0,0,4.5
2010-06-14,169000,500,168500,170500,168500,112296,58.82352941,57.77391015,58.95717049,-315.8088362,-1251.215852,935.4070157,63.45885635,168300,166950,165450,168168.7314,167131.7173,166894.9158,168633.3333,167763.6364,165895.2381,0,500,3.333333333
2010-06-15,167000,-2000,168000,169000,165500,225855,26.66666667,42.22028841,50.58872945,-286.271668,-1058.226966,771.9552975,28.79030821,168500,167300,165400,167779.1543,167107.7686,166904.9349,168200,167772.7273,166042.8571,-2000,0,2.5
2010-06-16,165500,-1500,166500,167000,162500,314623,30,36.1101442,43.34943683,-378.9754249,-922.3766295,543.4012045,-7.072987208,167700,167400,165325,167019.4362,166815.4468,166770.9973,167200,167445.4545,166052.381,-1500,0,-8
2010-06-17,161000,-4500,164500,165000,161000,425804,0,18.0550721,30.70225446,-804.7289581,-898.8470913,94.11813318,-50.05276647,166200,166750,164950,165012.9575,165758.092,166220.8798,164966.6667,166281.8182,165640.4762,-4500,0,-0.058823529
2010-06-18,163000,2000,161000,163000,160500,110499,25,21.52753605,26.11489526,-970.1861877,-913.1149125,-57.07127525,-48.84172087,165100,166300,164725,164341.9716,165256.6204,165913.8776,163900,165600,165454.7619,0,2000,-0.454545455
2010-06-21,163500,500,162500,163500,162000,183339,35.29411765,28.41082685,27.26286105,-1049.008161,-940.293565,-108.714596,-32.4585362,164000,166150,164650,164061.3144,164937.2347,165683.8137,163366.6667,165090.9091,165338.0952,0,500,-0.6
2010-06-22,164000,500,162500,165000,162500,105877,53.84615385,41.12849035,34.1956757,-1059.048022,-964.0444584,-95.00356351,-15.43632516,163400,165950,164550,164040.8763,164766.8283,165523.3428,163366.6667,164700,165276.1905,0,500,-0.6
2010-06-23,163500,-500,163500,165500,162500,185301,60,50.56424517,42.37996044,-1094.600093,-990.155587,-104.4445055,-19.10009183,163000,165350,164700,163860.5842,164536.4958,165330.5263,163400,164254.5455,165176.1905,-500,0,-0.857142857
2010-06-24,162500,-1000,162500,164000,162000,149281,40,45.28212259,43.83104151,-1189.51461,-1030.027394,-159.487216,-51.14555608,163300,164750,164900,163407.0561,164166.2237,165060.8041,163233.3333,163736.3636,164966.6667,-1000,0,-1
2010-06-25,162500,0,162500,163000,161000,143933,33.33333333,39.30772796,41.56938474,-1250.313605,-1074.084638,-176.2289668,-81.12250914,163200,164150,165075,163104.7041,163863.2739,164816.7967,162966.6667,163327.2727,164738.0952,0,0,2
2010-06-28,164500,2000,163000,165500,162500,157778,77.77777778,58.54275287,50.0560688,-1124.54381,-1084.176473,-40.36733781,-35.13789581,163400,163700,165325,163569.8027,163979.0423,164786.612,163400,163390.9091,164683.3333,0,2000,2
2010-06-29,162000,-2500,164000,164500,161500,158967,22.22222222,40.38248755,45.21927817,-1212.161384,-1109.773456,-102.3879286,-87.19037509,163000,163200,165250,163046.5351,163619.2164,164521.1123,162933.3333,163081.8182,164366.6667,-2500,0,-1.666666667
2010-06-30,160500,-1500,160500,162000,160500,110912,0,20.19124377,32.70526097,-1386.390852,-1165.096936,-221.2939161,-132.5742172,162400,162700,165050,162197.6901,163052.086,164138.0081,162100,162590.9091,163914.2857,-1500,0,-0.571428571
2010-07-01,161000,500,160500,161500,159000,166118,30.76923077,25.48023727,29.09274912,-1467.28,-1225.53355,-241.7464502,-126.8545994,162100,162700,164725,161798.4601,162678.9795,163839.0506,161633.3333,162281.8182,163528.5714,0,500,-1
2010-07-02,161000,0,161000,161500,160000,108625,30.76923077,28.12473402,28.60874157,-1513.927095,-1283.21226,-230.7148349,-102.328323,161800,162500,164400,161532.3067,162373.7104,163568.5833,161266.6667,161972.7273,163173.8095,0,0,-1.666666667
2010-07-05,162500,1500,161000,162500,160500,157999,63.63636364,45.88054883,37.2446452,-1413.759537,-1309.321716,-104.4378212,-66.93896074,161400,162400,164275,161854.8711,162396.6722,163466.7857,161500,161972.7273,162992.8571,0,1500,0
2010-07-06,159500,-3000,162500,162500,159500,131236,14.28571429,30.08313156,33.66388838,-1558.109265,-1359.079226,-199.0300391,-89.9899423,160900,161950,163950,161069.9141,161870.0045,163088.9033,160866.6667,161445.4545,162538.0952,-3000,0,-0.4
2010-07-07,161500,2000,160500,161500,159000,161404,71.42857143,50.75585149,42.20986994,-1494.12792,-1386.088965,-108.0389547,-75.98978289,161100,161750,163550,161213.2761,161802.7309,162937.5454,161066.6667,161363.6364,162304.7619,0,2000,-8
2010-07-08,162500,1000,161500,162500,160500,148162,100,75.37792575,58.79389784,-1347.304959,-1378.332164,31.02720464,-38.13392001,161400,161750,163250,161642.184,161929.5071,162895.866,161533.3333,161500,162204.7619,0,1000,2.5
2010-07-09,164000,1500,161500,164000,161500,114180,100,87.68896287,73.24143036,-1097.407911,-1322.147313,224.7394017,6.552602839,162000,161900,163025,162428.1227,162305.9604,163001.0408,162400,161909.0909,162276.1905,0,1500,2
2010-07-12,163500,-500,163500,163500,162000,131140,90,88.84448144,81.0429559,-928.9544018,-1243.50873,314.5543285,11.80173092,162200,161800,162750,162785.4151,162523.0585,163048.5686,162900,162200,162321.4286,-500,0,2.4
2010-07-13,163500,0,163000,165500,162500,193155,69.23076923,79.03762533,80.04029062,-786.3887941,-1152.084743,365.6959487,43.59025163,163000,161950,162575,163023.6101,162700.6842,163091.5685,163333.3333,162509.0909,162392.8571,0,0,4.5
2010-07-14,159500,-4000,164500,165000,159500,433132,0,39.51881267,59.77955164,-984.5045465,-1118.568703,134.0641569,-29.46737075,162600,161850,162275,161849.0734,162118.7416,162749.468,162166.6667,162063.6364,162100,-4000,0,0
2010-07-15,158500,-1000,160000,160500,158500,208206,0,19.75940633,39.76947899,-1208.199859,-1136.494935,-71.70492401,-91.91820837,161800,161600,162150,160732.7156,161460.7886,162344.7072,160800,161454.5455,161740.4762,-1000,0,-0.833333333
2010-07-16,160000,1500,159000,160000,159000,137714,21.42857143,20.59398888,30.18173393,-1250.130122,-1159.221972,-90.90814984,-73.04142941,161000,161500,162000,160488.4771,161195.1907,162121.377,160200,161163.6364,161535.7143,0,1500,-1.2
2010-07-19,161000,1000,159500,162000,159000,131000,35.71428571,28.1541373,29.16793562,-1189.023094,-1165.182197,-23.84089793,-38.41313994,160500,161350,161875,160658.9847,161159.7015,162014.5685,160200,161072.7273,161440.4762,0,1000,-0.833333333
2010-07-20,162000,1000,160500,162500,159500,117883,53.84615385,41.00014557,35.08404059,-1047.881606,-1141.722078,93.8404723,-13.36005344,160200,161600,161775,161105.9898,161312.483,162013.1809,160700,161190.9091,161452.381,0,1000,-2.333333333
2010-07-21,161500,-500,162000,162500,161000,113609,75,58.00007279,46.54205669,-965.2179798,-1106.421259,141.2032788,0.818163224,160600,161600,161675,161237.3265,161346.577,161964.3025,161133.3333,161172.7273,161426.1905,-500,0,-1.75
2010-07-22,162000,500,161000,162000,160000,145343,85.71428571,71.85717925,59.19961797,-849.591517,-1055.05531,205.4637933,-7.99086758,161300,161550,161650,161491.551,161465.3812,161967.7025,161600,161245.4545,161457.1429,0,500,1.6
2010-07-23,165000,3000,164000,165000,163000,200079,100,85.92858963,72.5641038,-510.1400384,-946.0722559,435.9322175,91.52858475,162300,161650,161775,162661.034,162108.0392,162256.5122,162833.3333,161872.7273,161776.1905,0,3000,1.076923077
2010-07-26,164500,-500,165000,165500,164000,111029,83.33333333,84.63096148,78.59753264,-278.2406336,-812.5059314,534.2652978,97.38749829,163000,161750,161775,163274.0227,162542.9411,162470.1907,163566.6667,162390.9091,162035.7143,-500,0,1.222222222
2010-07-27,165000,500,164500,165500,164000,155754,90.90909091,87.77002619,83.18377942,-53.5167498,-660.708095,607.1913452,98.19435991,163600,161900,161925,163849.3485,162989.6791,162711.1381,164233.3333,162981.8182,162342.8571,0,500,1.25
2010-07-28,166000,1000,165000,168000,164500,207288,75,81.3850131,82.28439626,202.89355,-487.9877659,690.881316,133.0089213,164500,162550,162200,164566.2323,163537.0102,163024.3787,165033.3333,163727.2727,162730.9524,0,1000,1.25
2010-07-29,167000,1000,166500,169000,165500,162814,66.66666667,74.02583988,78.15511807,481.2097666,-294.1482594,775.358026,152.8083884,165500,163400,162500,165377.4882,164166.6447,163403.0263,165866.6667,164536.3636,163188.0952,0,1000,1.090909091
2010-07-30,166500,-500,167000,167500,166000,193714,50,62.01291994,70.08401901,653.9080018,-104.5370071,758.4450089,126.340882,165800,164050,162775,165751.6588,164590.8911,163697.9882,166200,165100,163569.0476,-500,0,1.222222222
2010-08-02,169000,2500,166500,169500,166500,192723,90.90909091,76.46100543,73.27251222,981.1178779,112.5939699,868.523908,158.204699,166700,164850,163100,166834.4392,165392.5473,164202.9603,167266.6667,166000,164161.9048,0,2500,1.25
2010-08-03,169000,0,169500,170500,168000,142851,75,75.73050271,74.50150746,1226.29633,335.334442,890.9618883,162.2324701,167500,165550,163575,167556.2928,166048.4478,164659.8365,168033.3333,166754.5455,164723.8095,0,0,1.111111111
2010-08-04,169000,0,169500,169500,168000,123852,70,72.86525136,73.68337941,1404.41134,549.1498216,855.2615182,135.420211,168100,166300,163950,168037.5285,166585.0936,165073.1979,168533.3333,167381.8182,165240.4762,0,0,1.125
2010-08-05,168500,-500,167500,168500,167000,176494,55.55555556,64.21040346,68.94689143,1488.079598,736.9357768,751.1438208,99.42184038,168400,166950,164250,168191.6857,166933.2584,165399.5689,168666.6667,167781.8182,165673.8095,-500,0,1.4
2010-08-06,168500,0,167500,168500,167000,73817,50,57.10520173,63.02604658,1536.672517,896.8831249,639.7893925,87.42836858,168800,167300,164475,168294.4571,167218.1205,165694.8553,168700,168063.6364,166078.5714,0,0,1.666666667
2010-08-09,168000,-500,167500,169000,167500,72791,28.57142857,42.83831515,52.93218087,1517.354917,1020.977483,496.3774334,80.59873345,168600,167650,164700,168196.3048,167360.2804,165914.3978,168433.3333,168190.9091,166414.2857,-500,0,1.666666667
2010-08-10,169000,1000,167500,169000,167500,100034,80,61.41915757,57.17566922,1564.681538,1129.718294,434.9632437,79.83367983,168600,168050,164975,168464.2032,167658.4113,166208.2706,168566.6667,168436.3636,166823.8095,0,1000,0
2010-08-11,168000,-1000,168000,170000,168000,144334,33.33333333,47.37624545,52.27595734,1504.173723,1204.60938,299.5643429,72.436751,168400,168250,165400,168309.4688,167720.5183,166378.9146,168366.6667,168427.2727,167111.9048,-1000,0,-1
2010-08-12,165500,-2500,167000,167500,165000,209399,10,28.68812273,40.48204003,1240.234108,1211.734325,28.49978211,8.700078671,167800,168100,165750,167372.9792,167316.7877,166295.2071,167400,167927.2727,167121.4286,-2500,0,-0.285714286
2010-08-13,165000,-500,165000,165500,164500,113666,9.090909091,18.88951591,29.68577797,979.4313422,1165.273729,-185.8423866,-19.91748471,167100,167950,166000,166581.9861,166895.5536,166171.8522,166466.6667,167363.6364,167050,-500,0,-0.285714286
2010-08-16,165000,0,164500,165000,163000,173794,28.57142857,23.73047224,26.70812511,763.9372226,1085.006428,-321.069205,-38.92257792,166500,167550,166200,166054.6574,166550.9075,166060.2457,165766.6667,166827.2727,166954.7619,0,0,-0.285714286
2010-08-17,165000,0,164500,165000,163500,134077,28.57142857,26.15095041,26.42953776,586.3970828,985.2845586,-398.8874758,-37.90074054,165700,167150,166350,165703.1049,166268.9243,165959.2687,165266.6667,166363.6364,166840.4762,0,0,-0.333333333
2010-08-18,164000,-1000,164000,164500,163000,163409,22.22222222,24.18658631,25.30806203,360.855585,860.3987639,-499.5431789,-52.85253436,164900,166650,166475,165135.4033,165856.3926,165772.6696,164700,165790.9091,166616.6667,-1000,0,0
2010-08-19,164500,500,164500,165500,164000,123991,60,42.09329316,33.7006776,219.9179183,732.3025948,-512.3846765,-37.75536592,164700,166250,166600,164923.6022,165609.7758,165651.4618,164566.6667,165400,166428.5714,0,500,-0.142857143
2010-08-20,165000,500,165000,165500,164500,95048,80,61.04664658,47.37366209,146.8717345,615.2164227,-468.3446882,-32.11371414,164700,165900,166600,164949.0681,165498.9074,165589.4172,164666.6667,165172.7273,166276.1905,0,500,-2
2010-08-23,165000,0,165500,166000,165000,85147,66.66666667,63.85665662,55.61515935,87.96812057,509.7667623,-421.7986417,-26.5259169,164700,165600,166625,164966.0454,165408.197,165533.2818,164766.6667,165009.0909,166123.8095,0,0,0
2010-08-24,163500,-1500,165000,165500,163500,100835,16.66666667,40.26166164,47.9384105,-78.82935253,392.0475393,-470.8768919,-51.62584941,164400,165050,166550,164477.3636,165061.2521,165339.6345,164366.6667,164627.2727,165826.1905,-1500,0,-0.666666667
2010-08-25,163000,-500,163500,165000,163000,130493,0,20.13083082,34.03462066,-248.4947505,263.9390814,-512.4338319,-61.20830418,164200,164550,166400,163984.9091,164686.479,165116.8106,163900,164254.5455,165488.0952,-500,0,-0.5
2010-08-26,162500,-500,163500,164500,162500,151388,0,10.06541541,22.05001804,-418.4738607,127.4564929,-545.9303536,-69.96300034,163800,164250,166175,163489.9394,164288.9374,164867.5891,163333.3333,163881.8182,165116.6667,-500,0,-0.666666667
2010-08-27,162000,-500,162500,163000,161000,164130,20,15.03270771,18.54136287,-586.7619284,-15.38719133,-571.3747371,-91.50326797,163200,163950,165950,162993.2929,163872.7669,164594.4838,162733.3333,163472.7273,164719.0476,-500,0,-0.2
2010-08-30,163000,1000,163000,164000,162500,177080,44.44444444,29.73857608,24.13996947,-632.1587048,-138.741494,-493.4172108,-61.58816699,162800,163750,165650,162995.5286,163714.082,164442.6275,162666.6667,163300,164438.0952,0,1000,-0.5
2010-08-31,161500,-1500,162000,163000,161500,136088,12.5,21.11928804,22.62962876,-780.1712908,-267.0274534,-513.1438374,-84.82354803,162400,163400,165275,162497.0191,163311.5217,164162.376,162233.3333,162890.9091,164042.8571,-1500,0,-0.285714286
2010-09-01,164000,2500,162500,164500,161500,114844,85.71428571,53.41678688,38.02320782,-687.8276063,-351.187484,-336.6401224,-46.98476929,162600,163400,165025,162998.0127,163436.6995,164146.9115,162766.6667,163000,163921.4286,0,2500,7
2010-09-02,165000,1000,164500,166000,164500,140528,80,66.70839344,52.36580063,-527.8728914,-386.5245655,-141.3483259,6.789113172,163100,163450,164850,163665.3418,163720.936,164228.1584,163566.6667,163290.9091,163919.0476,0,1000,2.25
2010-09-03,165500,500,164500,166000,163500,89621,88.88888889,77.79864116,65.0822209,-356.6528742,-380.5502272,23.89735301,6.805391964,163800,163500,164700,164276.8945,164044.4022,164349.2865,164366.6667,163663.6364,163980.9524,0,500,1.666666667
2010-09-06,164500,-1000,165000,166000,164000,94925,66.66666667,72.23265392,68.65743741,-298.2096384,-364.0821095,65.87247101,7.375886525,164100,163450,164525,164351.263,164127.2381,164363.6402,164600,163845.4545,163961.9048,-1000,0,2
2010-09-07,163500,-1000,164000,164500,163000,103685,44.44444444,58.33854918,63.49799329,-328.7905566,-357.0237989,28.23324228,-26.0356842,164500,163450,164250,164067.5087,164013.1948,164281.3886,164400,163854.5455,163864.2857,-1000,0,8
2010-09-08,164000,500,163500,164500,163000,69929,33.33333333,45.83594126,54.66696727,-309.1187899,-347.4427971,38.3240072,-12.05727204,164500,163550,164050,164045.0058,164010.7958,164254.5896,164233.3333,163954.5455,163840.4762,0,500,1.8
2010-09-09,163500,-500,163500,164500,161500,228587,44.44444444,45.14019285,49.90358006,-330.0680668,-343.967851,13.89978425,-32.72997768,164200,163650,163950,163863.3372,163917.9238,164182.7238,163900,163945.4545,163788.0952,-500,0,-4
2010-09-10,164000,500,163500,164500,163000,129099,55.55555556,50.3478742,50.12572713,-302.8353357,-335.741348,32.90601224,-4.060913706,163900,163850,163900,163908.8915,163932.8468,164165.3215,163833.3333,164009.0909,163792.8571,0,500,-1.5
2010-09-13,164000,0,163500,165000,163500,75716,71.42857143,60.88822282,55.50697497,-278.0480253,-324.2026834,46.15465816,10.2782208,163800,163950,163850,163939.261,163945.0564,164149.5765,163866.6667,164036.3636,163802.381,0,0,-0.666666667
2010-09-14,164000,0,164500,165000,162500,173211,71.42857143,66.15839712,60.83268605,-255.4591205,-310.4539708,54.9948503,-2.61951539,163900,164200,163800,163959.5073,163955.0462,164135.3311,163933.3333,164045.4545,163816.6667,0,0,-2
2010-09-15,164000,0,163500,164500,163000,112474,71.42857143,68.79348428,64.81308516,-234.8500382,-295.3331843,60.48314615,-2.853357791,163900,164200,163800,163973.0049,163963.2196,164122.4424,163966.6667,164009.0909,163835.7143,0,0,2
2010-09-16,166000,2000,163500,166000,163500,215383,100,84.39674214,74.60491365,-56.4873566,-247.5640188,191.0766622,62.4609619,164400,164300,163875,164648.6699,164333.5433,164301.2577,164666.6667,164336.3636,164045.2381,0,2000,1.25
