date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2018-05-04,230500,-1000,229000,232500,228500,187784,81.81818182,86.23100152,85.63252439,-1111.365579,-2210.2618,1098.896221,62.74142573,229100,226900,227300,229140.1984,227934.1194,228146.2061,229833.3333,228018.1818,226802.381,-1000,0,2.25
2018-05-08,228000,-2500,229000,231500,227500,156481,35.71428571,60.97264362,73.30258401,-1012.955796,-1970.800599,957.8448031,36.93951536,229400,227200,227075,228760.1322,227946.0977,228132.2817,229466.6667,228218.1818,226869.0476,-2500,0,1.636363636
2018-05-09,226000,-2000,227000,229500,224500,288474,18.75,39.86132181,56.58195291,-1083.854617,-1793.411402,709.5567851,1.247855249,228900,227200,226625,227840.0882,227592.2617,227929.2072,228333.3333,228000,226766.6667,-2000,0,-10
2018-05-10,222500,-3500,226500,226500,222500,267451,0,19.9306609,38.25630691,-1406.252787,-1715.979679,309.7268925,-42.33284197,227700,227100,226125,226060.0588,226666.396,227412.1399,226200,227145.4545,226373.8095,-3500,0,-0.5
2018-05-11,224500,2000,223000,225000,222500,99109,20,19.96533045,29.11081868,-1483.274113,-1669.438566,186.1644531,-32.38138071,226300,226900,225800,225540.0392,226272.5058,227134.7932,225133.3333,226672.7273,226219.0476,0,2000,-1.25
2018-05-14,221000,-3500,223500,224000,220000,218847,8.695652174,14.33049131,21.720655,-1805.917327,-1696.734318,-109.183009,-65.83452999,224400,226750,225400,224026.6928,225313.8684,226550.5272,223366.6667,225600,225761.9048,-3500,0,-0.19047619
2018-05-15,220500,-500,220500,222000,219000,113543,14.28571429,14.3081028,18.0143789,-2078.006258,-1772.988706,-305.0175516,-85.50708129,222900,226150,225225,222851.1285,224438.6196,225974.2865,222066.6667,224463.6364,225295.2381,-500,0,-0.2
2018-05-16,221000,500,220500,222000,220000,112939,26.66666667,20.48738473,19.25088182,-2227.614323,-1863.91383,-363.7004935,-75.87181904,221900,225400,225000,222234.0857,223813.416,225500.5449,221433.3333,223527.2727,224892.8571,0,500,-0.357142857
2018-05-17,222000,1000,221500,222500,220500,87217,50,35.24369237,27.24728709,-2239.670621,-1939.065188,-300.6054332,-64.1737628,221800,224750,224925,222156.0571,223483.704,225167.1597,221466.6667,222909.0909,224607.1429,0,1000,-0.875
2018-05-18,223000,1000,222000,223000,221000,84767,80,57.62184618,42.43456664,-2143.821047,-1980.01636,-163.8046873,-54.71447543,221500,223900,224975,222437.3714,223395.7578,224960.7635,221866.6667,222590.9091,224423.8095,0,1000,9
