date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,70200,0,71000,72100,69800,523117,66.07142857,72.61892801,73.9489838,510.3695808,396.3002586,114.0693222,79.38129286,69260,68210,68725,69369.45857,68850.65038,68417.49453,69600,68840,68600.95238,0,0,1.541666667
2010-05-03,69300,-900,69800,71300,67200,729423,50,61.30946401,67.6292239,513.4646497,419.736252,93.72839771,23.515456,69400,68620,68755,69346.30571,68932.377,68503.10547,69613.33333,69038.18182,68655.71429,-900,0,1.48
2010-05-04,68000,-1300,69000,70100,66800,776708,26.78571429,44.04758915,55.83840652,410.3679317,417.8623887,-7.494456998,-16.86099348,69340,68650,68680,68897.53711,68762.8086,68454.38601,69146.66667,68925.45455,68583.80952,-1300,0,-3.166666667
2010-05-06,68000,0,66400,68400,66200,493246,30.50847458,37.27803186,46.55821919,324.9514764,399.2786253,-74.32714892,-52.81835438,69140,68620,68630,68598.35806,68624.0858,68410.45468,68700,68807.27273,68519.04762,0,0,-6.333333333
2010-05-07,66400,-1600,66100,67200,65500,713241,13.63636364,25.45719775,36.00770847,131.024676,345.6241839,-214.5995079,-107.1588797,68380,68480,68465,67865.57202,68219.63422,68216.35864,67786.66667,68403.63636,68306.66667,-1600,0,-0.461538462
2010-05-10,68200,1800,66000,69000,66000,647671,46.55172414,36.00446094,36.00608471,116.779403,299.8527357,-183.0733327,-34.32421135,67980,68620,68325,67977.04802,68216.06384,68214.78138,67726.66667,68352.72727,68281.42857,0,1800,-0.9
2010-05-11,67900,-300,68900,68900,67700,378041,52.17391304,44.08918699,40.04763585,81.04954608,256.0901916,-175.0406455,-0.596676512,67700,68550,68215,67951.36534,68158.5908,68184.46669,67700,68221.81818,68240.95238,-300,0,-0.782608696
2010-05-12,71300,3400,67900,71500,67900,1027693,96.66666667,70.37792683,55.21278134,316.0842717,268.0894258,47.99484596,144.1441441,68360,68850,68330,69067.57691,68729.81207,68484.18533,68900,68721.81818,68534.7619,0,3400,2.6
2010-05-13,74300,3000,72100,74400,72000,1015826,98.87640449,84.62716566,69.9199735,729.8914554,360.4524064,369.439049,309.0826932,69620,69380,68585,70811.71795,69742.6547,69043.13635,70880,69712.72727,69103.33333,0,3000,1.301587302
2010-05-14,75700,1400,74000,77100,73400,852786,87.38738739,86.00727652,77.96362501,1154.726042,519.3106761,635.4153655,317.7226814,71480,69930,68935,72441.1453,70825.87943,69682.36301,72906.66667,70861.81818,69780.95238,0,1400,1.246753247
2010-05-17,77000,1300,75000,77300,73200,1033266,96.875,91.44113826,84.70238164,1575.736705,730.5996515,845.1370539,261.3312359,73240,70610,69410,73960.76354,71948.50705,70384.48791,74746.66667,72147.27273,70549.04762,0,1300,1.028301887
2010-05-18,74700,-2300,77200,77500,72500,941508,70.83333333,81.1372358,82.91980872,1707.616863,926.0058827,781.6109805,190.1659125,74600,71150,69885,74207.17569,72448.80046,70798.26546,75233.33333,72890.90909,71052.85714,-2300,0,1.4
2010-05-19,72800,-1900,73000,73900,72000,571649,14.54545455,47.84134517,65.38057694,1642.602234,1069.326789,573.2754448,101.8518519,74900,71630,70140,73738.11713,72512.65721,70990.07127,74633.33333,73190.90909,71330.47619,-1900,0,1.857142857
2010-05-20,71900,-900,72800,75100,71300,550178,9.677419355,28.75938226,47.0699796,1502.331413,1155.928505,346.4029076,83.91983377,74420,72020,70320,73125.41142,72401.26172,71077.20978,73633.33333,73240,71498.09524,-900,0,9.5
2010-05-24,70500,-1400,71900,72100,69800,756208,9.090909091,18.92514568,32.99756264,1265.369678,1177.8169,87.55277819,15.45048148,73380,72430,70455,72250.27428,72055.56946,71021.96286,72326.66667,72963.63636,71515.2381,-1400,0,-0.710526316
2010-05-25,69800,-700,68400,69800,65800,1120189,34.18803419,26.55658993,29.77707629,1010.275917,1144.308507,-134.03259,-60.60846037,71940,72590,70605,71433.51619,71645.45785,70905.05982,71133.33333,72485.45455,71452.85714,-700,0,-0.220338983
2010-05-26,69300,-500,69300,70300,66800,1066874,37.6344086,32.09549927,30.93628778,759.5706358,1067.360573,-307.7899373,-49.00763359,70860,72730,70640,70722.34412,71219.0041,70751.57258,70253.33333,71887.27273,71328.57143,-500,0,0
2010-05-27,72000,2700,67800,72200,67600,722621,66.66666667,49.38108297,40.15868537,767.209349,1007.330104,-240.1207548,2.343471394,70700,72800,70825,71148.22942,71361.00523,70870.90967,70633.33333,71754.54545,71458.09524,0,2700,-1
2010-05-28,71700,-300,72500,73800,71400,597137,73.75,61.56554148,50.86211343,740.7786463,954.0196527,-213.2410064,46.62073734,70660,72540,70960,71332.15294,71422.64131,70950.13448,70966.66667,71554.54545,71541.42857,-300,0,-2.454545455
2010-05-31,72000,300,71700,72300,69700,543376,77.5,69.53277074,60.19744208,735.2931699,910.2742514,-174.9810814,16.15948048,70960,72170,71050,71554.76863,71527.61654,71050.42384,71413.33333,71456.36364,71640.47619,0,300,30
2010-06-01,70100,-1900,71300,72500,70000,377105,47.14285714,58.33781394,59.26762801,572.5383443,842.7269406,-270.1885962,1.897383192,71020,71480,71045,71069.84575,71268.04802,70959.65986,71126.66667,71080,71550,-1900,0,-7.5
2010-06-03,71500,1400,71000,71700,70300,500638,62.90322581,60.62051987,59.94407394,549.1625217,784.0139668,-234.8514451,8.439490446,71460,71160,71155,71213.2305,71310.22136,71011.24806,71286.66667,71083.63636,71593.33333,0,1400,2.588235294
2010-06-04,71900,400,71600,73100,71500,520690,53.65853659,57.13952823,58.54180109,556.2212451,738.4553666,-182.2341215,33.56168852,71440,71070,71350,71442.15367,71417.45436,71096.0804,71433.33333,71218.18182,71664.28571,0,400,1.846153846
2010-06-07,71300,-600,70000,71400,69800,543071,47.05882353,52.09917588,55.32048848,507.9175995,692.347768,-184.4301685,-13.5659685,71360,71010,71515,71394.76911,71396.09894,71115.54061,71386.66667,71260,71659.52381,-600,0,-3
2010-06-08,74100,2800,71500,74100,71000,675322,100,76.04958794,65.68503821,686.0162441,691.0814622,-5.0652181,47.49226839,71780,71370,71900,72296.51274,71887.7189,71400.29499,72300,71821.81818,71905.71429,0,2800,2.041666667
2010-06-09,73200,-900,74500,75500,73100,626976,59.64912281,67.84935537,66.76719679,746.4022495,702.1456266,44.25662288,63.24213371,72400,71710,72150,72597.67516,72126.31609,71571.97921,72773.33333,72154.54545,72029.52381,-900,0,3.833333333
2010-06-10,73900,700,73700,74500,72500,343608,71.92982456,69.88958997,68.32839338,840.6862432,729.8537638,110.8324794,43.88147478,72880,72170,72450,73031.78344,72448.80478,71794.0275,73273.33333,72552.72727,72196.19048,0,700,1.394736842
2010-06-11,77300,3400,74800,77400,74600,792207,98.68421053,84.28690025,76.30764681,1174.616596,818.806366,355.8102302,113.9967491,73960,72700,72750,74454.52229,73330.84183,72319.11623,74746.66667,73485.45455,72658.09524,0,3400,1.25862069
2010-06-14,77400,100,77600,79000,77000,559043,80,82.14345012,79.22554847,1430.760788,941.1972898,489.5634984,147.4681028,75180,73270,72905,75436.3482,74070.68984,72803.60296,75893.33333,74340,73100.95238,0,100,1.272727273
2010-06-15,77500,100,77400,77900,76500,433756,76.92307692,79.53326352,79.379406,1623.049689,1077.567805,545.4818841,136.5617066,75860,73820,72995,76124.23213,74694.20152,73251.37476,76666.66667,75109.09091,73538.57143,0,100,1.14516129
2010-06-16,79500,2000,77900,79800,76500,545601,95.89041096,87.71183724,83.54562162,1913.995698,1244.853418,669.1422804,175.6833566,77120,74760,73120,77249.48809,75567.98391,73847.07882,77880,76141.81818,74158.09524,0,2000,1.166666667
2010-06-17,81200,1700,80300,82800,80000,863088,80.48780488,84.09982106,83.82272134,2255.140948,1446.910957,808.2299907,235.0146066,78580,75730,73445,78566.32539,76591.98765,74547.99245,79240,77312.72727,74927.61905,0,1700,1
2010-06-18,79400,-1800,81400,81400,79300,585675,46.03174603,65.06578355,74.44425244,2353.665371,1628.261864,725.4035071,173.734641,79000,76480,73775,78844.21693,77102.53568,75010.46775,79513.33333,77980,75494.7619,-1800,0,1.327272727
2010-06-21,79600,200,80200,81300,79400,447503,49.20634921,57.13606638,65.79015941,2419.911213,1786.59175,633.3194625,154.597302,79440,77310,74160,79096.14462,77556.62034,75447.89067,79713.33333,78547.27273,76049.52381,0,200,1.782608696
2010-06-22,81100,1500,79100,82100,79100,508945,73.01587302,65.0759697,65.43306455,2563.472875,1941.967988,621.504887,143.0927601,80160,78010,74690,79764.09641,78200.87147,75986.54847,80266.66667,79236.36364,76710.47619,0,1500,1.486486486
2010-06-23,82000,900,80900,82500,80800,283014,78.37837838,71.72717404,68.58011929,2718.287733,2097.231948,621.0557852,139.4993815,80660,78890,75300,80509.39761,78891.62236,76559.60627,80880,79961.81818,77406.66667,0,900,1.4
