date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2018-05-04,34150,700,33450,34750,33250,789532,60,45.34262354,44.21879656,-11.25524832,28.97790786,-40.23315619,-13.34148646,33920,33965,34230,33931.09627,33966.94281,33991.09098,33906.66667,33959.09091,33992.85714,0,700,-3.666666667
2018-05-08,33350,-800,34500,34550,33200,754231,9.677419355,27.51002145,35.864409,-60.66035948,11.05025439,-71.71061388,-41.39781512,33810,33965,34120,33737.39751,33854.77139,33930.0347,33716.66667,33847.27273,33909.04762,-800,0,-2.75
2018-05-09,33450,100,33200,33850,32200,850912,49.01960784,38.26481465,37.06461182,-90.69957353,-9.299711191,-81.39986234,-93.38228372,33670,33885,34020,33641.59834,33781.17659,33884.31711,33596.66667,33753.63636,33845.2381,0,100,-2.333333333
2018-05-10,32950,-500,33250,33450,32850,782726,29.41176471,33.83828968,35.45145075,-153.0869968,-38.05716831,-115.0298285,-100.2987623,33470,33755,33870,33411.06556,33630.05358,33795.33452,33356.66667,33583.63636,33743.33333,-500,0,-0.666666667
2018-05-11,34100,1150,33150,34400,33100,703071,74.50980392,54.1740468,44.81274877,-108.4835592,-52.1424465,-56.34111274,15.7210521,33600,33720,33780,33640.71037,33715.49838,33824.35028,33566.66667,33646.36364,33765.2381,0,1150,13
2018-05-14,34500,400,34200,34850,34150,481184,86.79245283,70.48324981,57.64799929,-40.39273425,-49.79250405,9.399769795,113.7227677,33670,33795,33827.5,33927.14025,33858.13504,33888.69788,33866.66667,33788.18182,33833.80952,0,400,2.238095238
2018-05-15,34150,-350,34500,34600,33900,326214,73.58490566,72.03407774,64.84103852,-14.50513366,-42.73502997,28.22989631,64.25857961,33830,33820,33837.5,34001.42683,33911.2014,33913.58379,34026.66667,33852.72727,33864.52381,-350,0,0
2018-05-16,33700,-450,33900,34000,33250,539136,42.5,57.26703887,61.05403869,-29.95496074,-40.17901613,10.22405539,-28.944343,33880,33775,33867.5,33900.95122,33872.80114,33893.24248,33983.33333,33830.90909,33851.42857,-450,0,4.714285714
2018-05-17,32750,-950,33600,33600,32450,893468,12.5,34.88351943,47.96877906,-117.5016348,-55.64353986,-61.85809496,-128.8274832,33840,33655,33820,33517.30081,33668.65548,33784.36224,33606.66667,33644.54545,33745,-950,0,-2.214285714
2018-05-18,32350,-400,32550,32900,32100,603390,9.090909091,21.98721426,34.97799666,-216.6621158,-87.84725506,-128.8148608,-171.6464629,33490,33545,33717.5,33128.20054,33428.89994,33647.75632,33110,33407.27273,33605,-400,0,-2.583333333
2018-05-21,32250,-100,32250,32400,31800,315270,16.07142857,19.02932142,27.00365904,-299.8600754,-130.2498191,-169.6102563,-182.6400061,33040,33355,33660,32835.46703,33214.55449,33514.63667,32696.66667,33171.81818,33465.2381,-100,0,-0.216216216
