date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,145000,2500.0,145000,148500,140000,298796,78.125,78.89997833466947,80.72256475805385,5474.139059357723,3721.492711324478,1752.6463480332454,131.90589479249246,140700.0,135500.0,128300.0,140821.16204572853,136562.40873462768,131387.8413787325,142133.33333333334,138663.63636363635,133121.42857142858,0.0,2500.0,1.3
2010-05-03,141000,-4000.0,145500,146000,139000,181080,51.61290322580645,65.25644078022555,72.98950276913267,5492.417036921019,4075.7246619463626,1416.692374974656,97.12138581072452,141500.0,137100.0,129725.0,140880.7747025436,137369.5070943876,132320.30683809114,142233.33333333334,139663.63636363635,134330.95238095237,-4000.0,0.0,1.4444444444444444
2010-05-04,135500,-5500.0,141000,142500,134500,304513,16.129032258064516,40.69273651913386,56.841119644125925,5022.208053711278,4265.041471915657,757.1665817956209,53.20221886031241,141200.0,138000.0,130750.0,139087.18302689018,137029.50586393446,132628.22027629992,140233.33333333334,139372.72727272726,134880.95238095237,-5500.0,0.0,-5.333333333333333
2010-05-06,128500,-7000.0,131000,133500,128000,354615,2.4390243902439024,21.56588045468453,39.20350004940122,4058.4437660685217,4223.718415369357,-165.27464930083534,-7.984408399346452,138500.0,137550.0,131250.0,135558.1218760778,135478.34749957317,132229.09222794703,136000.0,137645.45454545456,134666.66666666666,-7000.0,0.0,-0.9411764705882352
2010-05-07,131000,2500.0,125000,133000,124000,441196,28.57142857142857,25.06865451305695,32.13607728122828,3450.067923802504,4068.9777859544597,-618.9098621519556,-16.46863601496626,136200.0,137150.0,131725.0,134038.7478766715,134663.95682793533,132110.43153839302,133500.0,136454.54545454544,134642.85714285713,0.0,2500.0,-0.49999999999999994
2010-05-10,137000,6000.0,135500,137500,134000,223466,59.09090909090909,42.07978180198399,37.10792954160642,3397.8557021358865,3934.7460609204873,-536.8903587846007,29.940683551454434,134600.0,137650.0,132400.0,135025.83193541452,135088.75411914685,132581.87153865295,133766.66666666666,136427.27272727274,135145.2380952381,0.0,6000.0,-1.9999999999999998
2010-05-11,139500,2500.0,138000,142500,135500,361906,83.78378378378379,62.93178279288448,50.01985616724582,3511.714251272875,3850.136013703652,-338.4217624307771,45.54114968167642,134300.0,137900.0,133275.0,136517.22130803805,135890.8948737183,133248.11446183748,135400.0,136763.63636363635,135821.42857142858,0.0,2500.0,-1.9999999999999998
2010-05-12,138500,-1000.0,139500,140500,135500,201770,78.37837837837837,70.65508058563154,60.33746837643883,3483.0489820366492,3776.71604905787,-293.66706702122065,32.22016079158907,134900.0,138050.0,134075.0,137178.14754393956,136365.32410365553,133753.35315348866,136800.0,136872.72727272726,136319.04761904763,-1000.0,0.0,-4.399999999999999
2010-05-13,140000,1500.0,140500,141000,136500,215193,86.48648648648648,78.57078353605907,69.45412595624902,3537.4273063701985,3728.856966403826,-191.42966003362744,32.663817009084916,137200.0,137850.0,135000.0,138118.76503427184,137026.22724267512,134353.71094441315,138500.0,137227.27272727274,136883.33333333334,0.0,1500.0,2.7777777777777772
2010-05-14,134500,-5500.0,139000,139000,133000,243770,15.789473684210526,47.18012861013469,58.31712728319181,3110.915153630165,3605.265847675046,-494.35069404488104,1.1323425336161999,137900.0,137050.0,135525.0,136912.51001859133,136566.88307336383,134367.75838006768,137600.0,136618.18181818182,136835.7142857143,-5500.0,0.0,2.083333333333333
2010-05-17,127000,-7500.0,133000,133000,125500,343968,8.823529411764707,28.001829010949663,43.15947814707071,2155.782464093005,3315.3639989368294,-1159.5815348438246,-52.721332377082,135900.0,135250.0,135375.0,133608.3400046212,134827.3564462931,133660.82434677202,133966.66666666666,134790.9090909091,136023.80952380953,-7500.0,0.0,-2.5
2010-05-18,125000,-2000.0,128500,129500,121500,250382,17.94871794871795,22.975273479833803,33.067375813452244,1226.6716231105675,2897.6195615237325,-1670.947938413165,-75.49770530833499,133000.0,133650.0,135375.0,130738.89333191389,133040.48591671098,132830.41195816087,130333.33333333333,132927.27272727274,135035.7142857143,-2000.0,0.0,-0.3333333333333333
2010-05-19,126500,1500.0,123500,126500,119000,303548,34.090909090909086,28.533091285371448,30.800233549411846,602.4001621017233,2438.5704402249376,-1836.1702781232143,-82.85449490268809,130600.0,132750.0,135375.0,129325.92888646526,131851.26394181052,132223.8331311477,128166.66666666667,131627.27272727274,134190.47619047618,0.0,1500.0,-0.23076923076923078
2010-05-20,122000,-4500.0,125000,127500,121000,238716,15.0,21.76654564268572,26.283389596048785,-246.33646609303833,1901.5841539217386,-2147.920620014777,-83.60307037824879,127000.0,132100.0,134825.0,126883.9525892747,130060.07240123754,131244.75699040765,125300.0,129672.72727272728,132916.66666666666,-4500.0,0.0,-0.18181818181818182
