date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2018-05-04,51900,-2598100,53000,53900,51800,39565391,1.935123043,48.93837118,69.69483448,-159186.3891,-3986.571262,-155199.8179,-368.3367383,2130380,2347790,2420395,1772831.417,2139848.07,2323543.147,1783966.667,2154072.727,2342857.143,-2598100,0,-0.052672096
2018-05-08,52600,700,52600,53200,51900,23104720,97.58812616,73.26324867,71.47904158,-318906.5721,-66970.57143,-251936.0007,-278.2872894,1610900,2094950,2302025,1199420.944,1760348.421,2107262.848,1091373.333,1736765.455,2117352.857,0,700,-0.017107736
2018-05-09,50900,-1700,52600,52800,50900,16128305,94.43413729,83.84869298,77.66386728,-440544.8172,-141685.4206,-298859.3966,-219.5279342,1091080,1840540,2181570,816580.6296,1449539.617,1911418.767,571373.3333,1365120,1902960,-1700,0,-0.000269324
2018-05-10,51600,700,51700,51700,50600,13905263,95.73283859,89.79076579,83.72731653,-530769.1423,-219502.1649,-311266.9774,-178.7215767,571400,1593400,2061950,561587.0864,1195368.778,1734293.17,224880,1039858.182,1700105.714,0,700,-0.000538793
2018-05-11,51300,-300,52000,52200,51200,10314997,21.21212121,55.5014435,69.61438002,-595432.9966,-294688.3313,-300744.6653,-148.1357087,51660,1346530,1942365,391491.3909,987356.2726,1574008.106,51513.33333,759476.3636,1508615.238,-300,0,-0.000538731
2018-05-14,50100,-1200,51000,51100,49900,14909272,6.060606061,30.78102478,50.1977024,-639405.7257,-363631.8101,-275773.9156,-124.5844156,51300,1090840,1822370,277694.2606,816946.0412,1428874.001,50993.33333,523761.8182,1328399.524,-1200,0,-0.000538482
2018-05-15,49200,-900,50200,50400,49100,18709146,2.702702703,16.74186374,33.46978307,-666642.4141,-424233.9309,-242408.4832,-105.6080444,50620,830760,1700330,201529.5071,677355.8519,1297476.477,50293.33333,334372.7273,1159526.19,-900,0,-0.518518519
2018-05-16,49850,650,49200,50200,49150,15918683,24.19354839,20.46770606,26.96874457,-680332.7835,-475453.7014,-204879.082,-89.93602712,50410,570745,1576972.5,150969.6714,563263.8788,1178654.908,50036.66667,192389.0909,1002337.619,0,650,-0.490909091
2018-05-17,49400,-450,50300,50500,49400,10365440,9.677419355,15.07256271,21.02065364,-683341.6736,-517031.2959,-166310.3777,-76.66260618,49970,310685,1454492.5,117113.1143,469834.0827,1071106.821,49700,97599.09091,856854.5238,-450,0,-0.9
2018-05-18,49500,100,49900,49900,49350,6706570,20,17.53628135,19.2784675,-677903.7195,-549205.7806,-128697.9389,-65.18658092,49610,50635,1328567.5,94575.40951,393409.704,973810.9336,49543.33333,50110.90909,723045.7143,0,100,-0.357142857
2018-05-21,50000,500,49650,50200,49100,9020998,64.28571429,40.91099782,30.09473266,-665877.9295,-572540.2104,-93337.71914,-54.95298396,49590,50445,1199117.5,79716.93967,330971.576,885828.9399,49673.33333,49995.45455,601277.381,0,500,-0.961538462
2018-05-23,51800,1800,50600,52000,50400,17095490,93.10344828,67.00722305,48.55097785,-648724.0721,-587776.9827,-60947.08938,-45.59749455,50110,50365,1072657.5,70411.29311,280213.1076,806397.6123,50410,50241.81818,492009.0476,0,1800,1.794117647
2018-05-24,51400,-400,52000,52000,51100,8289275,79.31034483,73.15878394,60.8548809,-627923.4821,-595806.2826,-32117.19954,-37.0647459,50420,50415,945477.5,64074.19541,238610.7244,734493.0778,50840,50430,394746.4286,-400,0,1.386363636
2018-05-25,52700,1300,51000,52800,50800,15207266,97.2972973,85.22804062,73.04146076,-604367.1968,-597518.4654,-6848.731328,-29.114172,51080,50525,821962.5,60282.79694,204808.7745,669560.4037,51600,50845.45455,309720,0,1300,1.298245614
2018-05-28,52300,-400,52500,53000,52000,9787820,82.05128205,83.63966133,78.34056105,-579055.951,-593825.9625,14770.01156,-21.66207111,51640,50625,698577.5,57621.86463,177079.9064,610773.6986,52006.66667,51168.18182,236418.8095,-400,0,1.275862069
2018-05-29,51300,-1000,52200,52500,51300,8480437,34.61538462,59.12752297,68.73404201,-552706.0467,-585601.9794,32895.93264,-14.39793073,51900,50745,570792.5,55514.57642,154210.8325,557490.4892,51893.33333,51290.90909,174773.3333,-1000,0,2
2018-05-30,49500,-1800,51300,51500,49100,20498098,10.25641026,34.69196662,51.71300431,-525906.4802,-573662.8796,47756.39935,-7.134958597,51440,50775,440767.5,53509.71761,135172.4994,509110.4426,51093.33333,51064.54545,125126.4286,-1800,0,-6.2
2018-05-31,50700,1200,50400,50800,49850,63491109,41.02564103,37.85880382,44.78590407,-498820.7061,-558694.4449,59873.73878,-5.06292421,51300,50860,310802.5,52573.14507,119813.8631,465452.3052,50846.66667,51050.90909,87977.14286,0,1200,-2.272727273
2018-06-01,51300,600,50500,51700,49950,13038499,56.41025641,47.13453012,45.96021709,-471867.2283,-541329.0015,69461.77327,-2.688623788,51020,51050,180867.5,52148.76338,107356.7971,426009.2285,50846.66667,51130.90909,63262.61905,0,600,-31
2018-06-04,51100,-200,50800,51200,50700,9767171,58.82352941,52.97902976,49.46962343,-445388.3812,-522140.8775,76752.49624,0.000403895,50780,51210,50922.5,51799.17559,97128.28853,390303.5877,50873.33333,51140,50903.80952,-200,0,-1.125
