date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-06-09,102000,-500.0,103000,104000,102000,243579,30.555555555555557,27.950444388329398,27.91059388662113,-1925.939252500364,-1554.4296933738221,-371.50955912654194,-66.34559121393545,102700.0,105550.0,106525.0,103031.90957541921,104328.63620488787,106015.21534496926,102400.0,104027.27272727272,105300.0,-500.0,0.0,-0.07142857142857142
2010-06-10,102500,500.0,103000,104000,102000,267676,47.368421052631575,37.65943272048931,32.78501330355965,-1947.6176764764532,-1633.077744113434,-314.53993236301926,-58.246656760773064,102400.0,104800.0,106275.0,102854.60636757792,103996.04827749594,105674.20797913792,102333.33333333333,103472.72727272728,104916.66666666667,0.0,500.0,-0.2857142857142857
2010-06-11,103000,500.0,104000,105000,102500,457232,61.53846153846154,49.598947129480855,41.19198021652407,-1903.925311864412,-1687.2530185669482,-216.67229329746374,-42.33103751926304,102400.0,104200.0,105925.0,102903.07091464063,103814.90018720196,105415.24444667953,102533.33333333333,103145.45454545454,104604.76190476191,0.0,500.0,-1.4999999999999998
2010-06-14,101000,-2000.0,103500,104000,100500,770796,11.11111111111111,30.355029120291608,35.77350466840661,-2001.6233378981415,-1750.1324316220632,-251.49090627607825,-67.59124897907458,102200.0,103500.0,105475.0,102268.71391759606,103302.9882382715,104988.36608722735,102066.66666666667,102563.63636363637,104135.71428571429,-2000.0,0.0,-0.7499999999999999
2010-06-15,100500,-500.0,101500,101500,100000,475216,10.0,20.177514560144648,27.97550961427474,-2093.7149162896385,-1818.8536054763179,-274.86131081332064,-81.29197867699787,101800.0,102650.0,105000.0,101679.14259593234,102793.2628375123,104555.04415843214,101500.0,102018.18181818182,103661.90476190476,-500.0,0.0,-1.0
2010-06-16,100500,0.0,101500,101500,99900,588117,11.76470588235294,15.971110221248553,21.973309917761306,-2141.837767733654,-1883.4539551053654,-258.3838126282885,-73.54724628156137,101500.0,102100.0,104525.0,101286.09505693341,102376.2449274579,104164.06691082509,101066.66666666667,101627.27272727272,103233.33333333333,0.0,0.0,-0.4999999999999999
2010-06-17,100500,0.0,100500,103500,100000,663445,11.76470588235294,13.867908051800686,17.92060898478088,-2154.9946428456897,-1937.7644582094679,-217.2301846362218,-53.42383960277857,101100.0,101750.0,104050.0,101024.06336816827,102035.06863338544,103811.20288653717,100733.33333333333,101336.36363636363,102850.0,0.0,0.0,-0.6666666666666665
2010-06-18,101500,1000.0,101000,102000,100000,489330,39.02439024390244,26.44614914785174,22.183379066316373,-2063.0008448530716,-1962.812608338835,-100.18823651423668,-49.30337326434032,100800.0,101600.0,103650.0,101182.70891337177,101937.77389537603,103588.86195506612,100866.66666666667,101290.90909090909,102607.14285714286,0.0,1000.0,-1.4999999999999998
2010-06-21,100500,-1000.0,101500,102000,100000,754193,16.666666666666664,21.556407907259167,21.869893486787767,-2045.1400975105644,-1979.2785651770655,-65.86153233349887,-48.343523389734635,100700.0,101450.0,103300.0,100955.13927437663,101676.33950404277,103291.99511028045,100766.66666666667,101090.90909090909,102307.14285714286,-1000.0,0.0,-0.3999999999999999
2010-06-22,100500,0.0,100500,101500,100000,458046,16.666666666666664,19.111537286962907,20.49071538687533,-2007.758254234679,-1984.9746300150787,-22.78362421960037,-52.62979185766233,100700.0,101250.0,103200.0,100803.4261823824,101462.44556640147,103023.89322458484,100700.0,100918.18181818182,102040.47619047618,0.0,0.0,-1.9999999999999996
