date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,849000,24000,828000,852000,827000,454668,91.66666667,60.1589794,45.82975362,1535.422629,3211.189958,-1675.767329,-0.858037668,833600,834600,843450,836236.2473,836417.054,836148.1299,834933.3333,834854.5455,838119.0476,0,24000,3.625
2010-05-03,829000,-20000,845000,845000,827000,291445,36.11111111,48.13504525,46.98239944,832.9297744,2735.474688,-1902.544913,-30.25957973,832600,834800,841400,833824.1647,835068.0582,835454.6973,833400,833836.3636,836742.8571,-20000,0,-29
2010-05-04,834000,5000,840000,843000,830000,183456,50,49.06752263,48.02496103,656.6552819,2319.66659,-1663.011308,-18.88196811,832400,835400,839650,833882.7764,834873.8139,835313.8281,833866.6667,833690.9091,836038.0952,0,5000,0
2010-05-06,814000,-20000,817000,819000,810000,451765,9.523809524,29.29566608,38.66031355,-1026.210843,1650.434172,-2676.645015,-117.649559,830200,831600,837400,827255.184,831077.7451,833253.1467,827733.3333,829800,833595.2381,-20000,0,-1.380952381
2010-05-07,794000,-20000,798000,799000,788000,759225,9.375,19.33533304,28.9978233,-3873.614301,545.5492825,-4419.163584,-206.7804556,824000,826900,833950,816170.1224,824335.1308,829463.5162,815666.6667,822963.6364,829461.9048,-20000,0,-0.935483871
2010-05-10,803000,9000,800000,805000,797000,330582,26.31578947,22.82556126,25.91169228,-5363.239095,-636.2727375,-4726.966357,-154.4699582,814800,824200,831300,811780.0815,820455.4483,826911.9699,808666.6667,818618.1818,826514.2857,0,9000,-1.727272727
2010-05-11,791000,-12000,812000,812000,791000,450658,5.454545455,14.14005336,20.02587282,-7397.785388,-1988.634171,-5409.151217,-152.1078848,807200,819900,829350,804853.3876,815099.2709,823453.5063,800733.3333,812581.8182,822676.1905,-12000,0,-0.24137931
2010-05-12,789000,-2000,797000,798000,782000,315809,18.91891892,16.52948614,18.27767948,-9061.590765,-3403.274783,-5658.315982,-163.2770495,798200,815300,827400,799568.925,810353.484,820139.0311,794666.6667,806963.6364,818833.3333,-2000,0,-0.35
2010-05-13,813000,24000,798000,820000,797000,319461,81.57894737,49.05421675,33.66594811,-8393.969385,-4401.441528,-3992.527856,-67.42564646,798000,814100,825800,804045.95,810834.7073,819452.9073,799600,806545.4545,817461.9048,0,24000,-1.571428571
2010-05-14,810000,-3000,806000,812000,799000,293840,73.68421053,61.36921364,47.51758088,-8008.899512,-5122.949215,-2885.950297,-70.8878796,801200,812600,823550,806030.6334,810682.9324,818545.19,803600,805800,815957.1429,-3000,0,-8.25
2010-05-17,784000,-26000,798000,799000,778000,530598,14.28571429,37.82746396,42.67252242,-9645.526106,-6027.480731,-3618.045376,-134.087534,797400,806100,820350,798687.0889,805831.2298,815230.5902,797866.6667,800600,812190.4762,-26000,0,-3.3
2010-05-18,792000,8000,790000,795000,784000,363385,33.33333333,35.58039865,39.12646053,-10191.52901,-6860.302272,-3331.226735,-105.9257515,797600,802400,818600,796458.0593,803316.3503,813003.2075,796066.6667,798036.3636,809490.4762,0,8000,-2.909090909
2010-05-19,773000,-19000,785000,785000,769000,361171,7.843137255,21.71176795,30.41911424,-11990.60199,-7886.373931,-4104.228057,-140.3294514,794400,796300,815850,788638.7062,797804.0886,809170.1081,787866.6667,792690.9091,805147.619,-19000,0,-1.777777778
2010-05-20,756000,-17000,765000,772000,755000,395806,1.754385965,11.73307696,21.0760956,-14595.84814,-9228.28103,-5367.567109,-158.2053386,783000,790500,811050,777759.1374,790203.1219,804078.3207,775066.6667,785363.6364,799447.619,-17000,0,-0.96969697
2010-05-24,758000,2000,747000,764000,744000,354475,25.45454545,18.59381121,19.8349534,-16312.69615,-10645.17441,-5667.521739,-145.0579604,772600,786900,806900,771172.7583,784347.868,799667.9918,766733.3333,779454.5455,794395.2381,0,2000,-0.181818182
2010-05-25,741000,-17000,750000,756000,736000,511626,8.474576271,13.53419374,16.68457357,-18807.55855,-12277.66078,-6529.897773,-147.2382332,764000,780700,802450,761115.1722,776466.2824,794055.328,756200,771109.0909,788119.0476,-17000,0,-0.144927536
2010-05-26,750000,9000,760000,769000,745000,460053,28.57142857,21.05281116,18.86869236,-19838.75073,-13789.88584,-6048.864888,-103.9492049,755600,776600,798250,757410.1148,771654.1536,789842.4442,751533.3333,765527.2727,783123.8095,0,9000,-0.558823529
2010-05-27,772000,22000,744000,775000,741000,444241,92.30769231,56.68025173,37.77447205,-18686.89205,-14769.29075,-3917.6013,-73.89321068,755400,774900,795100,762273.4099,771717.0356,788136.8863,757000,764690.9091,780623.8095,0,22000,-1.65
2010-05-28,778000,6000,787000,787000,767000,450925,82.35294118,69.51659645,53.64553425,-17098.14097,-15235.06219,-1863.07878,-35.78905107,759800,771400,792750,767515.6066,772859.4051,787168.2429,764533.3333,765254.5455,778995.2381,0,6000,7.8
2010-05-31,776000,-2000,772000,781000,768000,255822,78.43137255,73.9739845,63.80975938,-15816.23979,-15351.29799,-464.9418078,-35.76343776,763400,768000,790300,770343.7377,773430.4274,786101.3863,769933.3333,766090.9091,777400,-2000,0,1.95
2010-06-01,768000,-8000,776000,779000,765000,228117,58.69565217,66.33481834,65.07228886,-15263.36939,-15333.71223,70.34284388,-36.44911453,768800,766400,786250,769562.4918,772443.0698,784372.7325,771466.6667,766090.9091,775276.1905,-8000,0,3.7
2010-06-03,777000,9000,780000,784000,774000,293327,78.26086957,72.29784395,68.6850664,-13944.70757,-15055.91087,1111.203307,-13.03984292,774200,764900,783650,772041.6612,773271.6075,783668.8314,774200,768018.1818,774395.2381,0,9000,1.277777778
2010-06-04,793000,16000,775000,797000,774000,252280,87.5,79.89892198,74.29199419,-11487.05419,-14342.13866,2855.084472,14.07607068,778400,766900,781600,779027.7741,776858.6052,784559.5016,780466.6667,773127.2727,775285.7143,0,16000,1.23255814
2010-06-07,787000,-6000,779000,787000,777000,303328,68.75,74.32446099,74.30822759,-9905.550843,-13454.82023,3549.269385,8.052651955,780200,770000,780250,781685.1828,778702.5025,784792.4003,783333.3333,776781.8182,775800,-6000,0,2.066666667
2010-06-08,785000,-2000,785000,798000,776000,290449,60.60606061,67.4652608,70.88674419,-8711.973744,-12506.25019,3794.276443,16.04740156,782000,772700,779800,782790.1218,779847.5057,784812.2078,784933.3333,779509.0909,776252.381,-2000,0,3.571428571
2010-06-09,770000,-15000,792000,792000,766000,359716,12.5,39.9826304,55.4346873,-8866.042535,-11778.2082,2912.165664,-6.628541721,782400,775600,778150,778526.7479,778057.0454,783399.1861,780933.3333,779018.1818,775319.0476,-15000,0,-4.166666667
2010-06-10,773000,3000,777000,780000,771000,356286,21.875,30.9288152,43.18175125,-8647.780945,-11152.12243,2504.341489,-7.478522189,781600,777900,777250,776684.4986,777137.5806,782407.3042,777800,778545.4545,774828.5714,0,3000,5.6
2010-06-11,797000,24000,785000,797000,783000,366275,96.875,63.9019076,53.54182942,-6474.693229,-10216.63622,3741.942989,42.82273603,782400,780400,777650,783456.3324,780748.936,783798.9676,782933.3333,782018.1818,776709.5238,0,24000,2.15
2010-06-14,807000,10000,791000,809000,791000,241981,95.34883721,79.6253724,66.58360091,-3904.958377,-8954.300243,5049.341867,71.39568651,786400,783300,777350,791304.2216,785521.8636,786011.2977,791133.3333,786854.5455,779504.7619,0,10000,2.642857143
2010-06-15,798000,-9000,810000,810000,798000,190780,72.72727273,76.17632257,71.37996174,-2561.621524,-7675.764171,5114.142647,69.89228611,789000,785500,776750,793536.1477,787790.6184,787154.3448,795000,789527.2727,781471.4286,-9000,0,3.363636364
