date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,21650,-300,22250,22550,21450,2102577,62.90322581,70.02136811,73.70566324,563.5687173,269.646089,293.9226283,195.6142765,21400,20355,19672.5,21348.74487,20726.80395,20150.70012,21650,20957.27273,20175.95238,-300,0,1.176470588
2010-05-03,21200,-450,21600,21800,20850,1215259,44.82758621,57.42447716,65.5650702,568.8858595,329.5019993,239.3838601,123.5889518,21640,20590,19795,21299.16324,20812.8677,20252.49161,21583.33333,21110.90909,20321.42857,-450,0,1.6
2010-05-04,21650,450,21450,22000,21200,1543947,41.02564103,49.22505909,57.39506465,601.0087348,383.8091214,217.1996135,130.2409136,21670,20865,19940,21416.10884,20965.11426,20387.82278,21586.66667,21303.63636,20498.09524,0,450,1.454545455
2010-05-06,21600,-50,21200,21850,21050,1177192,38.46153846,43.84329878,50.61918171,615.4222543,430.135689,185.2865653,104.6553591,21610,21135,20075,21477.40589,21080.57327,20505.01951,21563.33333,21437.27273,20656.19048,-50,0,9
2010-05-07,22550,950,21350,22800,21000,3496929,87.17948718,65.51139298,58.06528735,692.8797289,482.6880735,210.1916554,126.3412091,21730,21395,20242.5,21834.93727,21347.78956,20702.4488,21876.66667,21694.54545,20891.90476,0,950,2.230769231
2010-05-10,22350,-200,22500,22600,22100,1828774,76.92307692,71.21723495,64.64126115,730.1357211,532.1802976,197.9554235,120.7688987,21870,21635,20417.5,22006.62485,21530.03631,20861.30157,22083.33333,21868.18182,21092.61905,-200,0,3.5
2010-05-11,21550,-800,22500,23150,19450,4425806,56.75675676,63.98699585,64.3141285,688.9801208,563.5416282,125.4384925,52.99440977,21940,21790,20562.5,21854.41657,21533.66651,20927.62594,21976.66667,21852.72727,21200.47619,-800,0,-14
2010-05-12,20600,-950,20400,21000,20200,26083474,31.08108108,47.53403847,55.92408348,575.117007,565.8567847,9.260222369,0.865767796,21730,21700,20640,21436.27771,21363.89233,20896.10787,21530,21636.36364,21204.04762,-950,0,-2.333333333
2010-05-13,22000,1400,21100,22150,20850,4527134,68.91891892,58.22647869,57.07528109,588.2698815,570.339529,17.93035255,56.68659746,21810,21710,20770,21624.18514,21479.55754,21002.20162,21620,21690.90909,21333.57143,0,1400,6.714285714
2010-05-14,22150,150,22000,22150,21450,2156694,72.97297297,65.59972583,61.33750346,603.5315811,576.9780875,26.55349364,60.80210018,21730,21730,20920,21799.45676,21601.46417,21112.41919,21733.33333,21770.90909,21465,0,150,4.545454545
2010-05-17,21500,-650,21800,22300,21100,2068565,55.40540541,60.50256562,60.92003454,557.8377662,573.1499549,-15.3121887,37.07915504,21560,21715,21035,21699.63784,21583.01515,21149.60744,21656.66667,21729.09091,21520.2381,-650,0,-1.476190476
2010-05-18,21800,300,21700,22000,20550,2676697,76.19047619,68.3465209,64.63327772,539.1304933,566.3459655,-27.21547215,19.8488258,21610,21775,21182.5,21733.09189,21622.46867,21211.96803,21736.66667,21744.54545,21593.09524,0,300,-3.363636364
2010-05-19,22050,250,21750,22150,21400,2169855,85.71428571,77.03040331,70.83184052,537.8937946,560.6554664,-22.76167171,34.24908425,21900,21815,21340,21838.72793,21700.20443,21292.26808,21883.33333,21794.54545,21675.71429,0,250,4.2
2010-05-20,20500,-1550,22150,22300,20050,2907734,20,48.51520165,59.67352109,409.229354,530.3699673,-121.1406132,-21.69024053,21600,21705,21420,21392.48529,21481.97903,21216.39725,21416.66667,21555.45455,21595.71429,-1550,0,-21
2010-05-24,20600,100,19900,20600,19450,2073491,40.35087719,44.43303942,52.05328025,311.6253438,486.6207229,-174.9953791,-61.5180643,21290,21510,21452.5,21128.32352,21321.61535,21157.39955,21083.33333,21354.54545,21517.61905,0,100,-0.571428571
2010-05-25,19200,-1400,20150,20300,19050,2227222,4.615384615,24.52421202,38.28874614,121.5567661,413.6075047,-292.0507386,-93.16068847,20830,21195,21415,20485.54902,20935.85952,20970.13857,20386.66667,20934.54545,21303.09524,-1400,0,-0.220338983
2010-05-26,19600,400,19350,19650,18750,1558095,23.94366197,24.233937,31.26134157,2.763863944,331.4383922,-328.6745283,-96.10914908,20390,21000,21395,20190.36601,20692.97206,20839.11618,19976.66667,20644.54545,21130.2381,0,400,-0.552631579
2010-05-27,20000,400,19300,20000,19050,1191037,35.21126761,29.7226023,30.49197193,-58.81093902,253.388234,-312.199173,-76.40270593,19980,20940,21320,20126.91067,20566.97548,20758.90513,19846.66667,20462.72727,20997.38095,0,400,-0.638888889
2010-05-28,20900,900,20450,21200,20350,2587659,87.75510204,58.73885217,44.61541205,-35.4083868,195.6287369,-231.0371237,-20.06696306,20060,20830,21270,20384.60712,20627.52604,20772.38763,20153.33333,20455.45455,20957.38095,0,900,-1.565217391
2010-05-31,21300,400,21000,21300,20600,933755,100,79.36942609,61.99241907,14.89563092,159.4820292,-144.5863983,-4.44232905,20200,20745,21237.5,20689.73808,20749.79511,20822.78828,20566.66667,20540.90909,20960.2381,0,400,2.75
2010-06-01,20900,-400,21050,21350,20650,849567,82.69230769,81.03086689,71.51164298,22.5392946,132.0934298,-109.5541352,-8.385744235,20540,20685,21200,20759.82538,20777.10529,20830.16188,20800,20569.09091,20928.09524,-400,0,7
2010-06-03,20600,-300,21100,21100,20400,1250396,67.39130435,74.21108562,72.8613643,4.557874639,106.5862797,-102.028405,-25.08104419,20740,20565,21170,20706.55026,20744.90414,20808.1875,20820,20553.63636,20870.95238,-300,0,1.5
2010-06-04,20300,-300,20500,20800,20150,1229912,12.5,43.35554281,58.10845355,-33.30871386,78.60724666,-111.9159605,-42.73079299,20800,20390,21102.5,20571.0335,20664.01209,20759.68045,20673.33333,20505.45455,20788.09524,-300,0,2.428571429
2010-06-07,19500,-800,19650,19850,19300,1370774,9.756097561,26.55582019,42.33213687,-125.9084485,37.70406751,-163.612516,-98.84169884,20520,20290,20997.5,20214.02234,20452.37269,20639.46818,20240,20343.63636,20635.47619,-800,0,-2.6
2010-06-08,19950,450,19500,20150,19350,1229092,31.70731707,29.13156863,35.73185275,-161.3782504,-2.112427319,-159.2658231,-74.94294697,20250,20225,20867.5,20126.01489,20361.0319,20573.68438,20050,20281.81818,20535.71429,0,450,-0.894736842
2010-06-09,20250,300,20000,20350,19650,808346,52.77777778,40.9546732,38.34326298,-163.5541285,-34.40078782,-129.1533407,-49.79109239,20120,20330,20762.5,20167.34326,20340.84423,20542.80626,20050,20286.36364,20476.90476,0,300,-0.714285714
