date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2018-05-04,250000,-12000,262500,264000,249000,1087480,3.076923077,21.10162491,33.62967275,-12443.83467,-11761.65302,-682.1816468,-85.95221418,263700,259450,275925,258864.8932,263460.388,273173.7305,259566.6667,259827.2727,267080.9524,-12000,0,-28.5
2018-05-08,236000,-14000,251000,256000,234000,1422120,4.210526316,12.65607562,23.14287418,-13872.35442,-12183.7933,-1688.561118,-116.0461524,255600,256150,273125,251243.2621,258467.5902,269633.3752,250333.3333,255563.6364,263278.5714,-14000,0,-1.071428571
2018-05-09,259000,23000,235000,264500,234000,2553475,64.93506494,38.79557028,30.96922223,-12998.71771,-12346.77818,-651.9395245,-67.11991077,253200,257000,270775,253828.8414,258564.392,268620.6728,251466.6667,256081.8182,261933.3333,0,23000,-1.485714286
2018-05-10,259000,0,260000,264000,252500,1328424,75.75757576,57.27657302,44.12289762,-12166.11096,-12310.64474,144.5337749,-37.7955378,253200,258050,268575,255552.5609,258643.5934,267704.4182,253400,256445.4545,260811.9048,0,0,-2.166666667
2018-05-11,260000,1000,257000,267500,256000,1034512,77.6119403,67.44425666,55.78357714,-11295.36652,-12107.5891,812.2225713,-22.15859579,252800,258950,266675,257035.0406,258890.2128,266970.6641,255666.6667,256800,259995.2381,0,1000,27
2018-05-14,255000,-5000,262500,264000,254500,783485,62.68656716,65.06541191,60.42449453,-10883.29762,-11862.7308,979.4331839,-26.49647036,253800,258750,264500,256356.6938,258182.9014,265830.6009,256400,256081.8182,258883.3333,-5000,0,-3.428571429
2018-05-15,268000,13000,262000,271500,262000,1489555,90.66666667,77.86603929,69.14526691,-9399.388384,-11370.06232,1970.673932,8.547736696,260200,257900,263400,260237.7958,259967.8284,266037.2103,261133.3333,257763.6364,259216.6667,0,13000,2.055555556
2018-05-16,268500,500,271000,273500,267000,1098811,76.19047619,77.02825774,73.08676232,-8089.779859,-10714.00583,2624.225966,21.5301479,262100,257650,262050,262991.8639,261519.1323,266271.7617,263900,259690.9091,259702.381,0,500,1.153846154
2018-05-17,267500,-1000,271500,273000,266000,628127,68.42105263,72.72465519,72.90570875,-7051.314151,-9981.46749,2930.15334,22.74990151,263800,258500,260925,264494.5759,262606.5628,266388.7368,265700,261481.8182,260221.4286,-1000,0,1.705882353
2018-05-18,270000,2500,271500,275500,269000,736242,73.80952381,73.2670895,73.08639913,-5957.91436,-9176.756864,3218.842504,34.87777658,265800,259300,260200,266329.7173,263950.8241,266732.6666,267766.6667,263572.7273,261085.7143,0,2500,1.545454545
2018-05-21,270000,0,271000,273000,268000,362669,59.25925926,66.26317438,69.67478675,-5033.365642,-8348.07862,3314.712978,32.53355022,268800,261300,260375,267553.1449,265050.6743,267043.8412,269166.6667,265518.1818,262019.0476,0,0,1.6
2018-05-23,257500,-12500,270000,271500,256500,997007,5.263157895,35.76316614,52.71897644,-5248.794816,-7728.221859,2479.427043,3.030377086,266700,263450,259800,264202.0966,263677.8244,266134.904,265400,264827.2727,261745.2381,-12500,0,6.4
2018-05-24,264500,7000,259000,268000,258500,787269,42.10526316,38.93421465,45.82659555,-4799.358473,-7142.449182,2343.090709,9.681881051,265900,264000,260500,264301.3977,263827.3109,265979.1988,264666.6667,265018.1818,262192.8571,0,7000,-2.857142857
2018-05-25,275000,10500,264500,280000,264500,1410032,78.72340426,58.82880945,52.3277025,-3554.935601,-6424.946466,2870.010865,51.39779122,267400,265600,261825,267867.5985,265858.7089,266838.3227,267700,267018.1818,263573.8095,0,10500,3.076923077
2018-05-28,271000,-4000,269500,276000,267000,788962,61.70212766,60.26546856,56.29658553,-2858.536648,-5711.664502,2853.127854,42.31943032,267600,266700,262825,268911.7323,266793.4891,267234.673,268900,268000,264447.619,-4000,0,5.714285714
2018-05-29,270500,-500,273500,279500,270000,703743,59.57446809,59.91996832,58.10827692,-2320.235057,-5033.378613,2713.143556,53.29589814,267700,268250,263500,269441.1549,267467.4002,267545.6565,269866.6667,268690.9091,265178.5714,-500,0,35
2018-05-30,269500,-1000,270000,271500,262500,905721,51.1627907,55.54137951,56.82482822,-1951.819451,-4417.066781,2465.24733,22.83862505,270100,268400,263150,269460.7699,267836.9638,267731.7844,270466.6667,268918.1818,265750,-1000,0,-35
2018-05-31,265500,-4000,274500,274500,265500,763025,17.14285714,36.34211833,46.58347327,-1960.020107,-3925.657446,1965.637339,29.10241202,270300,268100,262875,268140.5133,267412.0613,267519.2335,268933.3333,268390.9091,265973.8095,-4000,0,2.1875
2018-06-01,273500,8000,265500,276000,265000,859854,64.70588235,50.52400034,48.55373681,-1305.932074,-3401.712372,2095.780298,47.84408849,270000,268700,263600,269927.0089,268518.9592,268088.8303,270000,269372.7273,266985.7143,0,8000,2.055555556
2018-06-04,266500,-7000,272500,273500,264000,679298,23.52941176,37.02670605,42.79022143,-1336.99208,-2988.768313,1651.776233,24.11481531,269100,268350,263825,268784.6726,268151.8757,267937.5132,268833.3333,268972.7273,267261.9048,-7000,0,-0.941176471
2018-06-05,267000,500,270000,271000,265500,397529,33.33333333,35.18001969,38.98512056,-1306.204427,-2652.255536,1346.051109,20.30319893,268400,268050,264675,268189.7817,267942.4438,267848.2262,268133.3333,268727.2727,267564.2857,0,500,-2.125
2018-06-07,271000,4000,268500,273000,266500,573473,58.33333333,46.75667651,42.87089854,-948.1092061,-2311.42627,1363.317064,33.79680899,268700,269400,266425,269126.5211,268498.3631,268148.3951,269000,269263.6364,268166.6667,0,4000,25
2018-06-08,269500,-1500,271000,275000,268000,413575,45.83333333,46.29500492,44.58295173,-776.4037288,-2004.421762,1228.018033,35.68259306,269500,269900,266950,269251.0141,268680.4789,268277.1194,269266.6667,269281.8182,268459.5238,-1500,0,0
2018-06-11,267500,-2000,269000,270500,267000,327679,31.81818182,39.05659337,41.81977255,-792.5728993,-1762.051989,969.47909,2.370828501,268300,269150,267375,268667.3427,268465.8464,268203.108,268600,268845.4545,268511.9048,-2000,0,6.25
2018-06-12,273000,5500,269500,275500,269000,662069,75,57.02829669,49.42403462,-357.4624443,-1481.13408,1123.671636,48.19021897,269600,269350,268025,270111.5618,269290.2379,268659.9549,270166.6667,269545.4545,269047.619,0,5500,-20
2018-06-14,280000,7000,272500,280000,272500,1098162,100,78.51414834,63.96909148,545.9142649,-1075.724411,1621.638676,99.41380865,272200,270300,269275,273407.7079,271237.4674,269739.9592,273633.3333,271481.8182,270188.0952,0,7000,1.259259259
2018-06-15,298500,18500,281000,300000,280000,1851466,95.45454545,86.9843469,75.47671919,2723.25027,-315.9294749,3039.179745,234.8937694,277700,273200,270800,281771.8053,276194.2915,272479.0107,282400,276609.0909,272971.4286,0,18500,1.111111111
2018-06-18,305000,6500,302000,311000,299000,1658676,86.36363636,86.67399163,81.07535541,4916.624631,730.5813462,4186.043285,286.6929586,284800,277150,272625,289514.5368,281431.6931,275576.2478,291500,282390.9091,276228.5714,0,6500,1.102941176
2018-06-19,287500,-17500,306000,307500,286500,1278723,44.04761905,65.36080534,73.21808037,5183.03902,1621.072881,3561.966139,162.0554705,288800,278550,273625,288843.0246,282535.0216,276711.8432,292400,284272.7273,277645.2381,-17500,0,2.083333333
2018-06-20,297000,9500,291500,302000,290500,944458,63.63636364,64.49858449,68.85833243,6090.537028,2514.96571,3575.571318,162.5099538,293600,281600,274975,291562.0164,285165.0177,278644.0486,295133.3333,287627.2727,279871.4286,0,9500,1.593220339
2018-06-21,292000,-5000,297500,298000,291500,739522,38.70967742,51.60413095,60.23123169,6333.271513,3278.626871,3054.644642,127.0130659,296000,284100,276075,291708.0109,286407.7417,279916.044,294600,289518.1818,281492.8571,-5000,0,2.184210526
2018-06-22,295500,3500,290000,298500,288500,554010,36.73469388,44.16941242,52.20032205,6730.476348,3968.996766,2761.479582,108.5369101,295400,286550,277975,292972.0073,288060.8796,281400.2303,294433.3333,291590.9091,283342.8571,0,3500,2.451612903
2018-06-25,296000,500,299500,301000,293000,488058,45.23809524,44.70375383,48.45203794,7004.862173,4576.169848,2428.692325,106.3327464,293600,289200,279550,293981.3382,289504.356,282790.6845,294633.3333,293309.0909,285059.5238,0,500,-8
2018-06-26,301000,5000,292500,301000,287000,715492,93.33333333,69.01854358,58.73529076,7538.869731,5168.709824,2370.159907,94.84814857,296300,292550,280850,296320.8921,291594.4731,284524.9051,297100,295454.5455,287102.381,0,5000,-4.625
2018-06-27,302000,1000,299500,308500,297500,833334,69.76744186,69.39299272,64.06414174,7951.110756,5725.190011,2225.920745,117.3205926,297300,295450,282400,298213.9281,293486.3871,286189.1998,299000,297172.7273,289116.6667,0,1000,1.344827586
2018-06-28,298000,-4000,300500,304500,296000,489616,51.1627907,60.27789171,62.17101672,7864.392348,6153.030478,1711.36187,88.79512424,298500,297250,283775,298142.6187,294307.044,287314.0379,299233.3333,297636.3636,290602.381,-4000,0,10
2018-06-29,303500,5500,301000,306500,296500,746639,76.74418605,68.51103888,65.3410278,8145.574309,6551.539244,1594.035065,89.23254677,300100,297750,285475,299928.4125,295978.4905,288855.5581,300900,298772.7273,292480.9524,0,5500,1.347826087
