date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,167000,-1000,166500,170500,166500,107198,62.96296296,73.01108374,79.83412619,5157.475294,2858.587254,2298.88804,145.5813216,166100,159050,151400,165298.5413,160599.2783,155450.0198,167100,163454.5455,155973.8095,-1000,0,1.318181818
2010-05-03,170000,3000,166000,170000,165000,98107,85.18518519,79.09813446,79.46613033,5586.407816,3404.223894,2182.183921,126.9626552,167900,161950,152550,166865.6943,162309.0588,156861.4981,168400,165445.4545,157745.2381,0,3000,1.4375
2010-05-04,166000,-4000,170500,175000,162000,244374,41.93548387,60.51680917,69.99146975,5551.5352,3833.731828,1717.803371,105.2584551,168100,163850,153450,166577.1295,162980.3184,157746.4475,167766.6667,166181.8182,159026.1905,-4000,0,2.3
2010-05-06,168500,2500,160500,168500,160500,172320,55.17241379,57.84461148,63.91804061,5652.748066,4197.566028,1455.182038,80.79774994,167900,165300,154625,167218.0864,163984.1163,158786.1315,167900,167027.2727,160459.5238,0,2500,2.857142857
2010-05-07,165500,-3000,166000,171500,162000,311789,34.48275862,46.16368505,55.04086283,5435.96988,4445.263655,990.7062246,73.8746946,167400,166250,155750,166645.3909,164259.7808,159434.3109,167100,167063.6364,161495.2381,-3000,0,-1.375
2010-05-10,175000,9500,168000,176000,166500,353722,93.5483871,69.85603607,62.44844945,5938.095432,4743.846267,1194.249165,99.5863699,169000,167550,157400,169430.2607,166212.8338,160935.1158,169633.3333,168654.5455,163328.5714,0,9500,2.142857143
2010-05-11,175000,0,178000,178000,173500,207169,82.85714286,76.35658947,69.40251946,6263.285643,5047.747379,1215.538264,102.2961913,170000,168950,158975,171286.8405,167810.6917,162289.6194,171633.3333,170009.0909,165004.7619,0,0,1.875
2010-05-12,182000,7000,177000,187500,176000,322771,79.62962963,77.99310955,73.6978145,6989.655584,5436.142554,1553.51303,119.54151,173200,170650,160975,174857.8937,170390.8187,164185.7854,175633.3333,172381.8182,167197.619,0,7000,1.583333333
2010-05-13,189500,7500,184500,190000,181000,227517,98.21428571,88.10369763,80.90075607,8061.921283,5961.312939,2100.608344,124.8334837,177400,172650,163400,179738.5958,173865.4938,166618.7044,181066.6667,175809.0909,169914.2857,0,7500,1.127659574
2010-05-14,189500,0,187500,191500,186000,355800,92,90.05184882,85.47630244,8809.456246,6530.954304,2278.501942,114.7750587,182200,174800,165700,182992.3972,176708.3178,168815.8854,185100,178872.7273,172400,0,0,1.142857143
