date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2018-05-04,346500,-8500,354500,355500,346500,92203,0,13.0618501,21.00905598,-13880.61206,-12014.48102,-1866.13104,-68.10179614,355200,357950,373950,353929.8041,360118.8037,371516.8635,353133.3333,355690.9091,364578.5714,-8500,0,-0.866666667
2018-05-08,342000,-4500,346000,349500,340500,165688,7.142857143,10.10235362,15.5557048,-14500.71683,-12511.72818,-1988.988651,-71.34158067,351700,355250,370850,349953.2028,356824.4757,368705.7336,348733.3333,352790.9091,361535.7143,-4500,0,-0.027777778
2018-05-09,358500,16500,342000,359500,342000,136092,90,50.05117681,32.80344081,-13505.06426,-12710.3954,-794.6688585,-40.36505702,351400,355050,368625,352802.1352,357129.1165,367733.759,351000,353381.8182,360359.5238,0,16500,-17
2018-05-10,347000,-11500,358500,394000,347000,701565,12.14953271,31.10035476,31.95189778,-13488.46962,-12866.01024,-622.4593812,-12.79168217,349800,353750,366075,350868.0901,355287.4589,365759.1153,349533.3333,351918.1818,358300,-11500,0,-1.269230769
2018-05-11,332500,-14500,346500,347500,330000,457226,3.90625,17.50330238,24.72760008,-14478.44854,-13188.4979,-1289.950634,-71.29547283,345300,351600,363175,344745.3934,351144.2846,362591.5805,343766.6667,348054.5455,355102.381,-14500,0,-0.733333333
2018-05-14,335000,2500,333000,340000,332500,236987,7.8125,12.65790119,18.69275064,-14889.64627,-13528.72758,-1360.918698,-65.45572528,343000,349100,360200,341496.9289,348208.9601,359963.8109,340333.3333,345036.3636,352419.0476,0,2500,-0.95
2018-05-15,353500,18500,334000,356500,333500,240218,36.71875,24.6883256,21.69053812,-13566.34369,-13536.2508,-30.09289125,-30.72619734,345300,348500,358500,345497.9526,349170.9674,359348.2099,343833.3333,345836.3636,351780.9524,0,18500,5.357142857
2018-05-16,360500,7000,357000,373000,354000,235645,47.65625,36.1722878,28.93141296,-11816.5614,-13192.31292,1375.751522,9.54439042,345700,348550,357700,350498.6351,351230.7915,359457.9042,348900,348018.1818,351971.4286,0,7000,2.405405405
2018-05-17,361000,500,362000,364000,354000,113179,72.09302326,54.13265553,41.53203424,-10271.10163,-12608.07066,2336.969028,4.987797709,348500,349150,356600,353999.0901,353007.0112,359604.7705,354000,350281.8182,352285.7143,0,500,11.4
2018-05-18,353000,-8000,362000,362000,351500,92312,50.61728395,52.37496974,46.95350199,-9581.398382,-12002.73621,2421.337823,-2.781451197,352600,348950,355025,353666.06,353005.7365,358975.7447,355500,350981.8182,351942.8571,-8000,0,4.75
2018-05-21,354000,1000,352000,358500,352000,95935,51.89873418,52.13685196,49.54517697,-8852.070782,-11372.60312,2520.532338,-1.289567008,356400,349700,353825,353777.3734,353186.5116,358501.8642,355966.6667,351900,351845.2381,0,1000,1.372093023
2018-05-23,352000,-2000,352500,357500,351500,113362,2.325581395,27.23121668,38.38819683,-8339.32613,-10765.94772,2426.621593,-2.090971383,356100,350700,352975,353184.9156,352970.7823,357882.6391,354500,352318.1818,351671.4286,-2000,0,1.588235294
2018-05-24,359000,7000,352000,359500,348000,124638,68.75,47.99060834,43.18940258,-7284.163497,-10069.59088,2785.42738,5.984496124,355800,350750,352900,355123.277,354067.0037,357989.0544,355466.6667,353827.2727,352245.2381,0,7000,2.818181818
2018-05-25,364000,5000,357500,367000,354000,136145,84.21052632,66.10056733,54.64498495,-5975.598318,-9250.792366,3275.194048,31.2231597,356400,352450,353100,358082.1847,355873.003,358561.5254,358200,356236.3636,353302.381,0,5000,3.857142857
2018-05-28,352500,-11500,359500,360000,351500,174851,23.68421053,44.89238893,49.76868694,-5799.65012,-8560.563916,2760.913797,3.568615169,356300,354450,353025,356221.4565,355259.7297,357984.2373,356900,356245.4545,353245.2381,-11500,0,-1.529411765
2018-05-29,352000,-500,350000,356000,345000,139442,31.81818182,38.35528537,44.06198616,-5635.592128,-7975.569559,2339.977431,-12.64404271,355900,356150,352625,354814.3043,354667.0516,357414.3099,355466.6667,355800,353147.619,-500,0,-13
2018-05-30,351000,-1000,351000,356500,347000,148090,27.27272727,32.81400632,38.43799624,-5522.605472,-7484.976742,1962.371269,-8.380738348,355700,355900,352200,353542.8695,354000.3149,356803.4233,353833.3333,354863.6364,352992.8571,-1000,0,-4
2018-05-31,353000,2000,351000,361500,348500,148694,36.36363636,34.58882134,36.51340879,-5211.603329,-7030.302059,1818.69873,9.776627586,354500,355150,351850,353361.913,353818.4395,356441.1925,352933.3333,354336.3636,353069.0476,0,2000,14
2018-06-01,363500,10500,355000,364000,354000,102259,97.36842105,65.9786212,51.24601499,-4070.942353,-6438.430118,2367.487765,51.47364051,354400,355400,352275,356741.2754,355578.7232,357113.4599,355933.3333,355854.5455,354178.5714,0,10500,3.888888889
