date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,139000,0.0,139000,141500,138500,11659,58.333333333333336,66.07474091533771,64.89706678623907,1156.4648301442212,956.7962937830608,199.66853636116036,85.97309320898269,137800.0,136600.0,136275.0,137916.3844837001,137066.18277890258,136074.1332818194,138266.66666666666,137209.0909090909,136628.57142857142,0.0,0.0,1.222222222222222
2010-05-03,140000,1000.0,139000,141000,139000,9566,75.0,70.5373704576729,67.71721862195855,1309.0995464388106,1027.266311386237,281.8332350525736,86.34473936680496,138600.0,136950.0,136625.0,138610.9230519459,137599.77835483145,136454.97750807359,139000.0,137827.27272727274,136983.33333333334,0.0,1000.0,1.222222222222222
2010-05-04,140500,500.0,140000,141000,138500,4962,80.0,75.2686852288386,71.49295192540029,1451.88187942066,1112.198456527927,339.683422892733,78.26916958320054,139100.0,137400.0,136950.0,139240.61540592925,138127.23231898298,136846.6872485107,139633.33333333334,138472.72727272726,137352.38095238095,0.0,500.0,1.222222222222222
2010-05-06,139500,-1000.0,139500,139500,138000,5506,60.0,67.63434261441756,69.56364726990849,1470.1476508530614,1183.794386101048,286.3532647520133,52.676008779334666,139600.0,137900.0,137050.0,139327.07694076144,138376.88102134663,137103.21705295247,139766.66666666666,138854.54545454544,137595.2380952381,-1000.0,0.0,2.333333333333333
2010-05-07,137000,-2500.0,138000,138000,136500,13785,10.0,38.817171307205506,54.19040928855525,1274.9012096502993,1202.016990977122,72.8842186731772,4.311711368968055,139200.0,138150.0,137000.0,138551.38460638854,138126.49423027097,137093.25213217715,138900.0,138690.9090909091,137590.47619047618,-2500.0,0.0,0.0
2010-05-10,136500,-500.0,138000,138500,136000,4109,10.0,24.408585653601936,39.29949747107774,1068.7822582212102,1175.3685935491794,-106.58633532796921,-0.8501594048884151,138700.0,138250.0,136975.0,137867.5897253769,137830.7247207633,137036.05224070535,138000.0,138390.9090909091,137542.85714285713,-500.0,0.0,-0.6000000000000001
2010-05-11,137500,1000.0,136500,137500,135500,4747,36.36363636363637,30.38611100861932,34.842804239848405,972.6046181026031,1134.8140320595862,-162.2094139569831,-7.244664934246419,138200.0,138400.0,137000.0,137745.05981545866,137770.58575226463,137080.73223083335,137600.0,138254.54545454544,137592.85714285713,0.0,1000.0,-1.6666666666666672
2010-05-12,136000,-1500.0,137000,139000,136000,4212,12.5,21.443055504309534,28.142929872078877,769.7116153528914,1061.7910042370956,-292.07938888420426,-1.0612894667020427,137300.0,138200.0,136950.0,137163.37320568739,137448.62952806993,136976.76428744162,136866.66666666666,137818.18181818182,137497.61904761905,-1500.0,0.0,-0.375
2010-05-13,140000,4000.0,136500,140500,136000,4919,90.0,55.72152775215501,41.932228812117046,913.164000313438,1032.0647748060287,-118.9007744925907,71.40925074384634,137400.0,138500.0,137200.0,138108.91547546312,137912.5522550994,137267.32387219695,137766.66666666666,138145.45454545456,137788.09523809524,0.0,4000.0,-10.000000000000009
2010-05-14,143000,3000.0,140000,143000,138500,5811,100.0,77.86076387607757,59.89649634409737,1248.8652786618331,1075.4258425613132,173.43943610051997,165.51488780820722,138600.0,138900.0,137550.0,139739.27698939518,138837.60342184294,137817.8052373996,139633.33333333334,138963.63636363635,138340.47619047618,0.0,3000.0,2.285714285714286
2010-05-17,142000,-1000.0,143000,143000,141000,7786,86.66666666666667,82.26371527137212,71.08010580773477,1419.4323388420453,1144.2283692955539,275.2039695464914,158.11764705882274,139700.0,139200.0,137900.0,140492.85132803622,139412.61547235894,138219.0854720435,140766.66666666666,139527.27272727274,138764.2857142857,-1000.0,0.0,1.6
2010-05-18,145000,3000.0,142000,147000,142000,12992,81.81818181818183,82.04094854477698,76.56052717625589,1771.3793162577203,1269.660348913022,501.7189673446983,217.44627054361536,141200.0,139700.0,138325.0,141995.23422104705,140428.5481704805,138869.24938308357,142533.33333333334,140581.81818181818,139440.47619047618,0.0,3000.0,1.2941176470588236
2010-05-19,143500,-1500.0,144000,145000,141000,5969,68.18181818181817,75.11138336329756,75.83595526977672,1909.325545862841,1397.594849056747,511.7306968060939,143.93195943735768,142700.0,140000.0,138700.0,142496.8228145558,140987.01401797667,139312.9669951386,143300.0,141272.72727272726,139933.33333333334,-1500.0,0.0,1.6666666666666665
2010-05-20,143500,0.0,142500,146000,142000,8221,58.82352941176471,66.96745638753113,71.40170582865393,1995.555310009484,1517.1880336575139,478.3672763519701,138.43482426202044,143400.0,140400.0,139150.0,142831.21520993696,141443.93398877094,139713.93442711493,143566.66666666666,141909.0909090909,140390.47619047618,0.0,0.0,1.3333333333333335
2010-05-24,143000,-500.0,143000,144000,141500,3438,33.33333333333333,50.15039486043223,60.77605034454308,2001.039145220071,1613.9589631243844,387.0801820956867,92.14000786561046,143400.0,141000.0,139575.0,142887.47680665078,141726.8618849721,140028.45608841907,143433.33333333334,142381.81818181818,140757.14285714287,-500.0,0.0,2.0
2010-05-25,140000,-3000.0,141000,143000,138500,9347,17.647058823529413,33.89872684198082,47.33738859326195,1746.643355558277,1640.4959967468355,106.14735881144156,22.18114602587807,143000.0,141350.0,139800.0,141924.98453746902,141412.88081956256,140025.73374436187,142300.0,142200.0,140797.61904761905,-3000.0,0.0,-1.0
2010-05-26,145000,5000.0,139000,146000,139000,10629,86.66666666666667,60.282696754323744,53.81004267379285,1920.909051232651,1696.5788699326736,224.33018129997754,85.61108415548057,143000.0,142100.0,140250.0,142949.9896918577,142065.09480549194,140501.4084587726,142966.66666666666,142863.63636363635,141292.85714285713,0.0,5000.0,2.666666666666667
2010-05-27,144500,-500.0,143000,146000,142000,3913,80.0,70.14134837716188,61.97569552547736,1996.0934395740333,1756.4820079851931,239.6114315888401,95.9865870271403,143200.0,142950.0,140575.0,143466.65979464297,142507.81067148387,140883.63352656286,143466.66666666666,143300.0,141697.61904761905,-500.0,0.0,-10.000000000000009
2010-05-28,142000,-2500.0,143500,144000,141500,3152,46.666666666666664,58.40400752191427,60.189851523695815,1835.073227781686,1772.2002989917787,62.87292878990729,47.35085523571188,142900.0,143150.0,140825.0,142977.7731963838,142415.4804635768,140990.30938286046,143066.66666666666,143127.27272727274,141833.33333333334,-2500.0,0.0,-3.333333333333335
2010-05-31,141500,-500.0,142500,144000,141000,2439,40.0,49.20200376095713,54.695927642326474,1648.529953909252,1747.4661707488026,-98.93621683955053,34.50830951624884,142600.0,143000.0,140950.0,142485.18213089238,142249.0280026927,141038.99804216268,142600.0,142827.27272727274,141897.61904761905,-500.0,0.0,-2.5
2010-06-01,145000,3500.0,142000,145000,141500,3481,85.71428571428571,67.45814473762142,61.07703618997395,1760.0177421492408,1749.9764898377066,10.041252311534208,72.28013900026717,143600.0,143300.0,141250.0,143323.45475396246,142749.2083374735,141417.2674821176,143400.0,143190.9090909091,142283.33333333334,0.0,3500.0,4.249999999999998
2010-06-03,147000,2000.0,146000,147500,143500,2510,92.3076923076923,79.88291852265687,70.4799773563154,1985.347591888567,1797.050782389022,188.2968094995449,117.22987067167266,144000.0,143500.0,141600.0,144548.9698360083,143522.08411025238,141950.27087736427,144533.33333333334,143863.63636363635,142830.95238095237,0.0,2000.0,1.5000000000000002
2010-06-04,147000,0.0,145500,147000,144500,1692,92.3076923076923,86.09530541517458,78.28764138574499,2139.2107920181297,1865.4828682123366,273.7279238057931,110.6374340235485,144500.0,143850.0,141925.0,145365.979890687,144154.43550734172,142432.2730378625,145533.33333333334,144500.0,143345.2380952381,0.0,0.0,2.7500000000000004
2010-06-07,140000,-7000.0,145500,147500,139000,13917,11.76470588235294,48.93000564876376,63.60882351725438,1681.3252138234966,1828.6513012102725,-147.32608738677595,9.61337513061677,144100.0,143500.0,141950.0,143577.31992710306,143399.08061263195,142200.15935919157,144033.33333333334,143800.0,143161.90476190476,-7000.0,0.0,-1.2222222222222219
2010-06-08,142500,2500.0,140500,143000,140500,4246,41.17647058823529,45.05323811849952,54.33103081787695,1501.414018548705,1763.203793325376,-261.78977477667104,-0.6283380458686785,144300.0,143450.0,142225.0,143218.21328473248,143235.61088191884,142228.76786914788,143500.0,143618.18181818182,143214.2857142857,0.0,2500.0,16.000000000000014
2010-06-09,144500,2000.0,142000,145000,141500,2574,64.70588235294117,54.87956023572035,54.60529552679865,1501.810392864223,1710.9250804172652,-209.11468755304213,32.10633946830294,144200.0,143900.0,142625.0,143645.47552315728,143465.5004204852,142445.4337761736,143566.66666666666,143809.0909090909,143430.95238095237,0.0,2000.0,3.3333333333333335
2010-06-10,146000,1500.0,146000,147000,142500,5651,82.35294117647058,68.61625070609546,61.61077311644705,1603.8997776574688,1689.5200091163608,-85.62023145889202,56.40723270440302,144000.0,144000.0,143050.0,144430.31701544102,143926.31952302117,142784.47085670877,144166.66666666666,144190.9090909091,143752.38095238095,0.0,1500.0,8.000000000000007
2010-06-11,144000,-2000.0,145000,146000,143000,2154,58.82352941176471,63.71989005893008,62.66533158768857,1506.961520885583,1653.0082968021907,-146.04677591660766,27.537069131523666,143400.0,143950.0,143450.0,144286.87801029367,143939.715997099,142900.39236669635,144166.66666666666,144190.9090909091,143842.85714285713,-2000.0,0.0,-2.0
2010-06-14,143000,-1000.0,144000,146000,143000,3381,38.46153846153847,51.09071426023428,56.878022923961424,1334.485291119403,1589.3036751917573,-254.81838407235432,14.121800529568207,144000.0,144050.0,143600.0,143857.91867352845,143768.85829558238,142909.89043405556,144033.33333333334,144018.18181818182,143800.0,-1000.0,0.0,-1.4999999999999998
2010-06-15,143000,0.0,142500,144000,142000,3345,27.27272727272727,39.18172076648077,48.029871845221095,1184.1435228055634,1508.2716238803607,-324.1281010747973,-11.930926216639776,144100.0,144200.0,143600.0,143571.945782352,143629.06571252298,142918.48181219105,143700.0,143827.27272727274,143742.85714285713,0.0,0.0,2.0
