date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,160000,-500.0,161000,161500,158000,53964,16.0,17.873613831878657,27.264914092350896,-1240.640243894275,-348.7255875719011,-891.914656322374,-278.0969214906444,164900.0,166700.0,167850.0,163542.03697746855,165536.53147917005,166903.5820027553,163000.0,165436.36363636365,166790.47619047618,-500.0,0.0,-0.16666666666666666
2010-05-03,161500,1500.0,160000,162000,160000,14559,30.434782608695656,24.154198220292866,25.709556156320467,-1485.7276260783838,-576.156225990366,-909.5714000880178,-194.87587946369177,163100.0,166150.0,167425.0,162861.35792341997,164802.3769027043,166379.3861615389,161866.66666666666,164490.9090909091,166185.7142857143,0.0,1500.0,-0.4
2010-05-04,159000,-2500.0,160500,161500,158500,31416,10.0,17.077099110143216,21.393327633229877,-1852.13048560085,-831.3782177697918,-1020.7522678310582,-200.62108161949783,161300.0,165150.0,166875.0,161574.23853801054,163747.11731455143,165664.78508238768,160500.0,163190.9090909091,165383.33333333334,-2500.0,0.0,-0.13043478260869568
2010-05-06,157000,-2000.0,157000,159000,156000,24544,10.0,13.538549555070803,17.46593859414945,-2271.47312539618,-1119.4217033248297,-1152.0514220713503,-220.92718013335178,159600.0,164000.0,166125.0,160049.49229738722,162520.10045979478,164827.04907804093,159066.66666666666,161709.0909090909,164442.85714285713,-2000.0,0.0,-0.13636363636363635
2010-05-07,154000,-3000.0,155500,156500,153000,51521,11.11111111111111,12.32483033309082,14.895384463619841,-2804.9974965222063,-1456.5598063946434,-1348.437690127563,-233.86114494518634,158300.0,162500.0,165300.0,158032.99481089,160970.71414340567,163781.76941535744,157200.0,159890.9090909091,163288.09523809524,-3000.0,0.0,-0.13043478260869568
2010-05-10,157000,3000.0,155000,157000,153000,36594,44.44444444444444,28.384637388768542,21.640010926194574,-2958.7793394650507,-1757.0200716215595,-1201.7592678434912,-169.99487967229751,157700.0,161300.0,164725.0,157688.66320110878,160248.66044488468,163127.888116825,156766.66666666666,158890.9090909091,162497.61904761905,0.0,3000.0,-1.2857142857142858
2010-05-11,156500,-500.0,158000,158000,155000,35161,41.17647058823529,34.7805539885021,28.210282457348526,-3084.047128159611,-2022.4370434687412,-1061.6100846908698,-130.9472473767419,156700.0,159900.0,164150.0,157292.44212935373,159567.0041964893,162489.5964779569,156366.66666666666,158018.18181818182,161714.2857142857,-500.0,0.0,-1.2857142857142858
2010-05-12,158000,1500.0,157500,160000,155000,27556,71.42857142857143,53.104562708537024,40.65742258294295,-3030.396485030913,-2224.035956478037,-806.3605285528761,-95.28616130009048,156500.0,158900.0,163625.0,157528.2947547751,159282.06642730546,162057.69105387974,156800.0,157672.72727272726,161128.57142857142,0.0,1500.0,-1.2857142857142858
2010-05-13,159000,1000.0,158000,160500,157000,13596,80.0,66.5522813542686,53.60485196860587,-2875.9187646993087,-2354.4161525917066,-521.5026121076021,-64.95924000256727,156900.0,158250.0,163100.0,158018.8631724467,159230.77751117246,161763.82000729383,157633.33333333334,157690.9090909091,160688.09523809524,0.0,1000.0,0.0
2010-05-14,159000,0.0,159000,160000,156500,18298,80.0,73.27614067713432,63.44049632287013,-2722.041019813798,-2427.94276573439,-294.098254079408,-61.11526014438614,157900.0,158100.0,162700.0,158345.9087827852,159188.81521167126,161498.42364146555,158333.33333333334,157827.27272727274,160297.61904761905,0.0,0.0,2.7500000000000004
2010-05-17,153000,-6000.0,157000,157000,152000,30087,11.76470588235294,42.52042327974358,52.980459801306836,-3038.8118905249867,-2550.118770385269,-488.69312013971785,-113.06628938603414,157100.0,157400.0,162050.0,156563.9391843314,158063.51569999475,160683.0026420786,156700.0,156900.0,159373.80952380953,-6000.0,0.0,-5.500000000000001
2010-05-18,159000,6000.0,153000,159000,152500,20965,82.35294117647058,62.4366822281071,57.70857101470697,-2783.0030276350735,-2596.696286611755,-186.3067410233184,-64.19200183733784,157600.0,157150.0,161650.0,157375.95945749443,158233.79304835806,160521.63390994765,157333.33333333334,157190.9090909091,159083.33333333334,0.0,6000.0,4.249999999999998
2010-05-19,154500,-4500.0,158000,158000,153000,27688,29.411764705882355,45.924223466994725,51.81639724085084,-2903.233362100902,-2658.0044017245114,-245.22896037639066,-75.06172839506165,156900.0,156700.0,160925.0,156417.30630399397,157554.89719881682,159944.64213469834,156300.0,156709.0909090909,158402.38095238095,-4500.0,0.0,-4.250000000000001
2010-05-20,152000,-2500.0,153000,154500,151500,32564,5.88235294117647,25.903288204085595,38.859842722468215,-3160.276326396066,-2758.459704256254,-401.8166221398119,-91.50024417199961,155500.0,156200.0,160100.0,154944.870868303,156544.8862063142,159183.83066007597,154666.66666666666,155854.54545454544,157552.38095238095,-2500.0,0.0,-1.166666666666667
2010-05-24,151500,-500.0,151000,154000,151000,12590,6.25,16.076644102042795,27.468243412255507,-3364.7669260152325,-2879.7220347335224,-485.0448912817101,-82.58814976372221,154000.0,155950.0,159225.0,153796.58057833507,155627.61211213915,158448.3824072083,153333.33333333334,155000.0,156733.33333333334,-500.0,0.0,-0.8
