date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,66600,-1400,67500,68200,66300,112324,8.823529412,28.72475612,42.43368799,0.277054003,84.38295345,-84.10589944,-50.83153765,68160,68520,67930,67825.78495,68092.87289,68116.56658,67773.33333,68265.45455,68105.71429,-1400,0,-0.041666667
2010-05-03,69000,2400,67100,69500,66900,509057,84.375,56.54987806,49.49178303,68.09359667,81.12464899,-13.03105231,47.05751164,68160,68570,67925,68217.19,68257.85898,68202.26754,68053.33333,68352.72727,68207.61905,0,2400,25
2010-05-04,75300,6300,71700,75600,71100,1018963,96.77419355,76.6620358,63.07690941,603.2163056,185.5540852,417.6622205,315.9861926,69420,69200,68255,70578.12681,69538.59047,68889.59398,70433.33333,69576.36364,68910,0,6300,1.380952381
2010-05-06,76400,1100,74000,78200,73900,389869,84.87394958,80.76799269,71.92245105,1099.784253,368.4156748,731.368578,315.2439024,71060,69940,68675,72518.75129,70786.39227,69615.72135,72760,70885.45455,69685.71429,0,1100,1.324324324
2010-05-07,79500,3100,74800,80200,73900,366437,94.96402878,87.86601073,79.89423089,1714.90684,637.7322367,1077.174604,295.5397794,73360,70990,69345,74845.83425,72370.96802,70569.98279,75573.33333,72623.63636,70716.66667,0,3100,1.14159292
2010-05-10,78300,-1200,79500,79800,77100,371886,85.71428571,86.79014822,83.34218956,2084.165133,927.034567,1157.130566,250.0118019,75700,71930,69935,75997.22286,73449.13163,71315.29177,77220,73952.72727,71569.52381,-1200,0,1.252427184
2010-05-11,77500,-800,78300,80700,76100,275125,66.66666667,76.72840745,80.0352985,2287.476495,1199.134804,1088.341691,200.5963332,77400,72780,70525,76498.14858,74185.74135,71910.90345,77820,74965.45455,72290,-800,0,1.183486239
2010-05-12,81200,3700,78200,81200,76000,301510,100,88.36420372,84.19975111,2707.734355,1500.865228,1206.869127,195.7991286,78580,74000,71310,78065.4324,75461.18606,72804.52745,79086.66667,76496.36364,73306.66667,0,3700,1.163934426
2010-05-13,82500,1300,81700,84000,81700,979912,85.14851485,86.75635929,85.4780552,3106.989151,1822.098968,1284.890184,216.4908744,79800,75430,72085,79543.62161,76741.073,73736.34778,80393.33333,78041.81818,74372.38095,0,1300,1.277777778
2010-05-14,81000,-1500,82500,83300,80500,217944,62.5,74.62817964,80.05311742,3267.228154,2111.13125,1156.096904,159.2803893,80100,76730,72710,80029.08107,77515.47415,74433.84143,80793.33333,79054.54545,75221.42857,-1500,0,1.760869565
2010-05-17,81000,0,79300,82000,78800,152597,62.5,68.56408982,74.30860362,3355.362994,2359.982039,995.3809555,119.2236234,80640,78170,73345,80352.72072,78149.05831,75063.86222,81093.33333,79830.90909,76010.95238,0,0,3.333333333
2010-05-18,81400,400,82200,83400,79200,261205,67.5,68.03204491,71.17032427,3417.309115,2571.450472,845.8586424,110.9431626,81420,79410,73990,80701.81381,78740.16457,75671.38029,81346.66667,80418.18182,76778.09524,0,400,1.741935484
2010-05-19,81200,-200,80000,81900,79400,182146,46.15384615,57.09294553,64.1316349,3411.106537,2739.383603,671.7229343,89.39097392,81420,80000,74600,80867.87587,79187.42344,76201.13154,81273.33333,80743.63636,77464.7619,-200,0,1.459459459
2010-05-20,80300,-900,80500,81200,78900,150089,32.60869565,44.85082059,54.49122775,3296.691864,2850.846273,445.8455912,69.26378379,80980,80390,75165,80678.58392,79389.71603,76593.65598,80900,80798.18182,78007.61905,-900,0,-1.888888889
2010-05-24,79700,-600,79800,80000,77000,118921,42.1875,43.5191603,49.00519402,3122.297403,2905.136896,217.1605072,45.29525098,80720,80410,75700,80352.38928,79446.13265,76890.97581,80473.33333,80672.72727,78439.52381,-600,0,-0.142857143
2010-05-25,78900,-800,78400,79300,74900,161444,47.05882353,45.28899191,47.14709297,2887.14023,2901.537542,-14.39731159,24.0505317,80300,80470,76200,79868.25952,79346.83385,77083.17563,79866.66667,80398.18182,78744.28571,-800,0,-0.19047619
2010-05-26,78200,-700,78300,79100,76900,118739,47.14285714,46.21592453,46.68150875,2614.877006,2844.205166,-229.3281602,22.80144098,79660,80540,76660,79312.17301,79138.31525,77189.97432,79166.66667,79985.45455,78934.7619,-700,0,-0.142857143
2010-05-27,75600,-2600,78000,79000,75200,252567,11.11111111,28.66351782,37.67251328,2166.92738,2708.749102,-541.8217221,-0.89604301,78540,79980,76990,78074.78201,78494.97673,77037.98879,77813.33333,79087.27273,78833.80952,-2600,0,0
2010-05-28,73300,-2300,75700,76900,71900,405736,17.28395062,22.97373422,30.32312375,1609.934321,2488.985488,-879.0511674,-36.73821169,77140,79060,77245,76483.18801,77550.42533,76680.80039,76066.66667,77872.72727,78482.38095,-2300,0,0
2010-05-31,78600,5300,74500,78600,74300,432674,90.54054054,56.75713738,43.54013057,1573.501437,2305.88824,-732.3868028,-3.655187095,76920,78820,77775,77188.792,77741.25877,76864.13368,76553.33333,77789.09091,78611.42857,0,5300,-3.117647059
2010-06-01,77800,-800,79400,80000,76900,197531,72.83950617,64.79832178,54.16922617,1463.815839,2137.473437,-673.657598,2.672136195,76700,78500,78335,77392.528,77751.93907,76953.50744,76846.66667,77603.63636,78613.80952,-800,0,-2.789473684
2010-06-03,78500,700,79000,81200,77500,245194,70.96774194,67.88303186,61.02612901,1416.512968,1993.281122,-576.7681543,6.482948278,76760,78210,78810,77761.68533,77887.95095,77101.1566,77446.66667,77603.63636,78629.52381,0,700,-15
