date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2018-05-04,112000,-1500,113000,113500,111500,251346,35.71428571,39.81929303,39.22929967,-3982.228012,-4054.728787,72.50077505,-41.13981051,112900,113500,116725,113076.648,114177.8789,117110.5623,112866.6667,113263.6364,114880.9524,-1500,0,-1
2018-05-08,112000,0,112000,113000,110000,331690,35.71428571,37.76678937,38.49804452,-3905.67793,-4024.918615,119.2406854,-43.23399189,112600,113200,116200,112717.7653,113781.9009,116623.8421,112566.6667,112990.9091,114430.9524,0,0,-1.75
2018-05-09,113000,1000,111000,113000,110500,332320,50,43.88339469,41.1907196,-3721.421565,-3964.219205,242.7976405,-36.42261172,113000,113400,115775,112811.8436,113639.7371,116278.7143,112700,112954.5455,114126.1905,0,1000,-9
2018-05-10,117000,4000,113000,118000,111000,840339,87.5,65.69169734,53.44120847,-3215.563483,-3814.488061,598.9245778,-3.579977105,113500,113600,115500,114207.8957,114250.694,116347.4082,114033.3333,113609.0909,114242.8571,0,4000,1.416666667
2018-05-11,117000,0,117500,118000,116000,367532,87.5,76.59584867,65.01852857,-2782.591328,-3608.108714,825.5173863,16.65680409,114200,113750,115275,115138.5971,114750.5678,116409.5598,115200,114227.2727,114385.7143,0,0,2
2018-05-14,113000,-4000,114500,116000,111000,657566,37.5,57.04792434,61.03322645,-2730.746006,-3432.636173,701.8901664,-19.07021094,114400,113650,114925,114425.7314,114432.2827,116084.8398,114800,114090.9091,114169.0476,-4000,0,-10
2018-05-15,114500,1500,112000,115000,112000,320939,53.33333333,55.19062883,58.11192764,-2539.34872,-3253.978682,714.6299622,-10.30366077,114900,113750,114625,114450.4876,114444.595,115933.9027,114833.3333,114245.4545,114128.5714,0,1500,2.6
2018-05-16,117000,2500,114500,117000,113500,466027,85.71428571,70.45245727,64.28219246,-2161.024935,-3035.387933,874.362998,15.98540929,115700,114350,114625,115300.3251,114909.2141,116035.4357,115533.3333,114836.3636,114354.7619,0,2500,1.8
2018-05-17,116500,-500,117500,118500,116000,338096,73.33333333,71.8928953,68.08754388,-1879.876386,-2804.285623,924.4092376,33.89059479,115600,114550,114550,115700.2167,115198.4479,116079.68,115800,115227.2727,114533.3333,-500,0,2.285714286
2018-05-18,113500,-3000,118500,119000,112500,819348,31.25,51.57144765,59.82949577,-1877.496452,-2618.927789,741.4313365,10.46836928,114900,114550,114250,114966.8111,114889.6392,115833.9962,115100,115036.3636,114433.3333,-3000,0,-1.142857143
2018-05-21,113500,0,113500,114500,112500,176761,21.42857143,36.50000954,48.16475265,-1854.235862,-2465.989404,611.7535419,-9.259259259,115000,114700,114100,114477.8741,114636.9775,115611.7108,114633.3333,114845.4545,114361.9048,0,0,-1.142857143
2018-05-23,112500,-1000,113000,114500,112500,285620,0,18.25000477,33.20737871,-1894.652939,-2351.722111,457.0691719,-14.08956941,114600,114750,113975,113818.5827,114248.4361,115315.3574,113800,114445.4545,114209.5238,-1000,0,-8
2018-05-24,113000,500,112000,114000,112000,208135,14.28571429,16.26785953,24.73761912,-1864.841213,-2254.345931,389.5047177,-20.30708271,113800,114750,114075,113545.7218,114021.4478,115094.8472,113266.6667,114127.2727,114116.6667,0,500,-2
2018-05-25,112000,-1000,112000,114000,111500,257170,6.666666667,11.4672631,18.10244111,-1900.004777,-2183.4777,283.4729235,-32.22391014,112900,114250,113925,113030.4812,113653.9118,114800.0998,112666.6667,113627.2727,113919.0476,-1000,0,-0.1
2018-05-28,108000,-4000,111000,111500,108000,679442,0,5.733631549,11.91803633,-2224.99042,-2191.780244,-33.2101758,-100.2252252,111800,113350,113550,111353.6541,112625.9278,114152.4713,111033.3333,112490.9091,113354.7619,-4000,0,-0.058823529
2018-05-29,108000,0,108000,110000,107500,318837,7.142857143,6.438244346,9.178140337,-2454.252785,-2244.274752,-209.9780329,-109.9636642,110700,112850,113250,110235.7694,111784.85,113566.5216,109766.6667,111518.1818,112826.1905,0,0,-0.090909091
2018-05-30,104000,-4000,107000,107500,103500,600575,4.761904762,5.600074554,7.389107446,-2924.993923,-2380.418587,-544.5753364,-175.6788226,109000,111800,112775,108157.1796,110369.4228,112655.4243,107533.3333,109909.0909,111945.2381,-4000,0,-0.052631579
2018-05-31,103500,-500,104500,106000,103000,470392,4.545454545,5.07276455,6.230935998,-3300.36098,-2564.407065,-735.9539151,-183.0604852,107100,110450,112400,106604.7864,109120.4368,111783.4792,105700,108400,111061.9048,-500,0,-0.055555556
2018-06-01,104500,1000,103500,107000,103500,452021,17.64705882,11.35991169,8.795423842,-3477.068949,-2746.939442,-730.1295067,-151.9371541,105600,109250,111900,105903.1909,108280.3574,111089.8145,104833.3333,107318.1818,110309.5238,0,1000,-0.117647059
2018-06-04,108000,3500,104000,108500,104000,432581,71.42857143,41.39424156,25.0948327,-3296.688366,-2856.889227,-439.7991393,-102.1617852,105600,108700,111625,106602.1273,108229.3833,110795.5464,105633.3333,107090.9091,109938.0952,0,3500,-1.125
2018-06-05,111500,3500,108000,112000,107000,477854,94.44444444,67.919343,46.50708785,-2838.59317,-2853.230016,14.63684515,-31.81609195,106300,108500,111600,108234.7515,108824.0409,110862.6372,107600,107600,109926.1905,0,3500,2.285714286
2018-06-07,111500,0,112000,113500,109000,355080,80.95238095,74.43586198,60.47147491,-2447.338038,-2772.05162,324.7135821,-6.169154229,107800,108400,111575,109323.1677,109310.5789,110923.3385,109333.3333,108145.4545,109916.6667,0,0,2.285714286
2018-06-08,113000,1500,112000,113500,110500,393243,95,84.71793099,72.59470295,-1993.251105,-2616.291517,623.0404123,18.55952758,109700,108400,111575,110548.7785,109981.3827,111121.1157,111066.6667,108981.8182,110052.381,0,1500,1.055555556
2018-06-11,114000,1000,113000,114500,112000,251178,95.23809524,89.97801311,81.28635803,-1534.997797,-2400.032773,865.0349762,48.89025263,111600,108600,111425,111699.1856,110712.0404,111395.2952,112500,110000,110283.3333,0,1000,1
2018-06-12,114000,0,114000,114500,113000,180468,93.33333333,91.65567322,86.47101563,-1158.474575,-2151.721133,993.2465584,59.96579133,112800,109200,111275,112466.1238,111309.8513,111643.3623,113300,110981.8182,110528.5714,0,0,1
2018-06-14,112000,-2000,114000,114000,112000,250011,54.54545455,73.10056388,79.78578976,-1009.819919,-1923.34089,913.5209716,32.81178794,112900,109600,111225,112310.7492,111435.3329,111677.3278,113033.3333,111490.9091,110597.619,-2000,0,1.5
2018-06-15,109500,-2500,112000,112000,109000,336430,9.090909091,41.09573649,60.44076312,-1081.274876,-1754.927687,673.6528117,-23.45211018,112500,110150,110975,111373.8328,111083.4542,111469.9633,111900,111472.7273,110433.3333,-2500,0,-1.25
2018-06-18,107500,-2000,109000,110000,106000,405910,17.64705882,29.37139766,44.90608039,-1284.480043,-1660.838159,376.3581157,-68.2955549,111400,110550,110500,110082.5552,110431.917,111091.8715,110233.3333,110990.9091,110102.381,-2000,0,-0.625
2018-06-19,106500,-1000,107000,110500,105500,250870,11.11111111,20.24125438,32.57366739,-1508.820501,-1630.434627,121.6141261,-64.64528099,109900,110750,110000,108888.3701,109717.023,110654.5504,108600,110254.5455,109721.4286,-1000,0,-0.153846154
2018-06-20,108000,1500,106000,109000,106000,290289,29.41176471,24.82650954,28.70008847,-1547.733162,-1613.894334,66.16117216,-50.80633652,108700,110750,109725,108592.2468,109404.837,110401.7361,107966.6667,109754.5455,109530.9524,0,1500,-0.25
2018-06-21,107000,-1000,107500,109000,106000,172840,23.07692308,23.95171631,26.32590239,-1640.354384,-1619.186344,-21.16804026,-49.95836803,107700,110300,109400,108061.4978,108967.5939,110077.7612,107400,109072.7273,109271.4286,-1000,0,-0.214285714
2018-06-22,114000,7000,106500,114500,106500,651617,94.44444444,59.19808038,42.76199138,-1135.822813,-1522.513638,386.6908244,46.87570698,108600,110550,109475,110040.9986,109882.5768,110451.3078,109500,109745.4545,109709.5238,0,7000,4.25
2018-06-25,114000,0,114000,114500,112000,345973,94.44444444,76.82126241,59.7916269,-727.590696,-1363.52905,635.9383535,82.21070812,109900,110650,109525,111360.6657,110631.1992,110789.2785,111300,110372.7273,110140.4762,0,0,1.888888889
2018-06-26,112000,-2000,112500,113000,111000,250298,70.58823529,73.70474885,66.74818787,-559.0032457,-1202.623889,643.6206431,50.82440931,111000,110450,109525,111573.7771,110880.0721,110904.5853,112000,110618.1818,110376.1905,-2000,0,1.888888889
2018-06-27,111000,-1000,112500,113500,110000,311174,58.82352941,66.26413913,66.5061635,-500.3207333,-1062.163258,561.8425244,39.8142004,111600,110150,109675,111382.5181,110901.8772,110913.6724,112000,110718.1818,110516.6667,-1000,0,1.888888889
2018-06-28,111500,500,110000,112500,109000,221308,62.5,64.38206957,65.44411653,-408.7567053,-931.4819472,522.7252419,28.12939522,112500,110100,109850,111421.6787,111010.6268,110969.5131,111966.6667,110963.6364,110690.4762,0,500,2.142857143
2018-06-29,114500,3000,113000,115500,112000,579530,84.61538462,74.49872709,69.97142181,-93.04407132,-763.794372,670.7503007,91.80129851,112600,110600,110375,112447.7858,111645.0583,111305.75,112633.3333,111763.6364,111133.3333,0,3000,1.4
2018-07-02,111500,-3000,115500,116500,111500,415693,33.33333333,53.91603021,61.94372601,-83.94677609,-627.8248528,543.8780767,67.93768629,112100,111000,110775,112131.8572,111618.684,111324.25,112266.6667,111927.2727,111240.4762,-3000,0,-1.4
2018-07-03,114000,2500,113500,115000,112500,314988,66.66666667,60.29134844,61.11753723,123.5675923,-477.5463638,601.1139561,81.15942029,112500,111750,111250,112754.5715,112051.6506,111579.0833,112900,112472.7273,111547.619,0,2500,0
2018-07-04,117000,3000,114500,118000,114000,846154,88.88888889,74.59011866,67.85382794,524.0581362,-277.2254638,801.2836,141.4703518,113700,112650,111700,114169.7143,112951.3505,112095.3611,114400,113427.2727,112095.2381,0,3000,1.8
2018-07-05,116500,-500,117000,118500,115500,348243,71.42857143,73.00934505,70.4315865,791.9745666,-63.38545773,855.3600243,135.8577166,114700,113600,111950,114946.4762,113596.5595,112514.8505,115333.3333,114127.2727,112552.381,-500,0,1.636363636
2018-07-06,114500,-2000,116500,117000,113000,383082,42.85714286,57.93324395,64.18241522,833.311091,115.953852,717.357239,72.23131478,114700,113650,112100,114797.6508,113760.8214,112703.9124,115266.6667,114290.9091,112795.2381,-2000,0,2.833333333
2018-07-09,117500,3000,114500,117500,114500,394098,83.33333333,70.63328864,67.40785193,1095.517073,311.8664963,783.6505772,103.3496732,115900,114000,112325,115698.4339,114440.672,113160.6826,116200,114990.9091,113309.5238,0,3000,2.833333333
2018-07-10,117000,-500,117500,118000,116000,222321,72.72727273,71.68028068,69.54406631,1248.578546,499.2089063,749.3696398,106.3310896,116500,114500,112475,116132.2892,114906.0044,113526.3319,116566.6667,115536.3636,113754.7619,-500,0,1.545454545
2018-07-11,116500,-500,116000,117000,115000,250313,63.63636364,67.65832216,68.60119423,1314.383648,662.2438546,652.1397934,82.48409167,116400,115050,112600,116254.8595,115195.8218,113809.5384,116566.6667,115900,114138.0952,-500,0,2.4
2018-07-12,117500,1000,117000,118000,115500,444272,90,78.82916108,73.71517766,1430.733701,815.9418238,614.7918768,92.11126311,116600,115650,112875,116669.9063,115614.7633,114161.0109,116933.3333,116345.4545,114604.7619,0,1000,8
2018-07-13,118000,500,118000,119000,116500,302155,77.77777778,78.30346943,76.00932354,1545.472531,961.8479653,583.6245662,96.13482953,117300,116000,113300,117113.2709,116048.4427,114526.6289,117400,116772.7273,115092.8571,0,500,3
