date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,49050,1350.0,47600,49350,47500,2921593,91.17647058823529,70.66437557327392,61.074523462234005,329.3105934160849,187.92821406710914,141.38237934897575,166.62716283479443,47760.0,47620.0,46980.0,47956.11334037634,47627.400350857504,47301.681265035804,47883.333333333336,47809.09090909091,47360.47619047619,0.0,1350.0,2.357142857142857
2010-05-03,49350,300.0,49300,49350,48300,1481932,100.0,85.3321877866503,73.20335562445318,442.3051055103133,238.8103557524713,203.494749757842,177.86938432764543,47950.0,47960.0,47182.5,48420.74226893755,47940.70260611361,47500.38652421508,48413.333333333336,48123.63636363636,47586.19047619047,0.0,300.0,3.0000000000000004
2010-05-04,48700,-650.0,48900,49350,48200,1131472,80.88235294117648,83.10727036391238,78.15531299418502,475.86791228240327,286.2269092512877,189.6410030311156,136.0574268360014,48260.0,48080.0,47335.0,48513.82818490402,48078.793576175325,47616.554057068715,48663.333333333336,48258.181818181816,47730.71428571428,-650.0,0.0,9.5
2010-05-06,48400,-300.0,47600,48450,47300,1161639,70.3125,76.70988518195473,77.43259908806972,473.6268523210092,323.71008658130734,149.91676573970187,64.84751203852262,48640.0,48130.0,47432.5,48475.885455077594,48137.207514678965,47692.29983352046,48710.0,48316.36363636364,47832.142857142855,-300.0,0.0,2.2800000000000002
2010-05-07,47100,-1300.0,47300,47700,46700,1322676,15.09433962264151,45.90211240229462,61.66735574518038,366.24087914940174,332.2168240334772,34.02405511592451,-12.55719910609829,48520.0,48075.0,47445.0,48017.25695776215,47948.59059189937,47635.11721933564,48196.666666666664,48129.09090909091,47800.47619047619,-1300.0,0.0,4.75
2010-05-10,47300,200.0,47100,47400,46950,1047090,22.641509433962266,34.271810918127784,47.969583331653304,293.41866711707553,324.45677015267654,-31.03810303560101,-9.66079862602035,48170.0,47965.0,47460.0,47778.17130090369,47830.64776882191,47602.80605257088,47790.0,47988.181818181816,47786.666666666664,0.0,200.0,-4.624999999999998
2010-05-11,46200,-1100.0,47500,47600,45900,1896855,8.695652173913043,21.483731546020053,34.726657438836305,147.82995927220327,289.12986927303666,-141.2999100008334,-62.458266988546335,47540.0,47745.0,47442.5,47252.11419433739,47534.130851141024,47467.71032395763,47133.333333333336,47667.27272727273,47666.666666666664,-1100.0,0.0,-0.17543859649122803
2010-05-12,45800,-400.0,46100,46550,45750,892858,1.8518518518518516,11.667791698935812,23.197224568885897,1.0775107613444561,231.51739006879356,-230.4398793074491,-97.42037757601939,46960.0,47610.0,47390.0,46768.07612571516,47218.803440210024,47307.27427179943,46553.333333333336,47313.63636363636,47510.23809523809,-400.0,0.0,-0.05633802816901409
2010-05-13,46300,500.0,46100,47000,45950,926967,28.205128205128204,19.936459952032067,21.56684226045897,-74.96642350072943,170.21891860289745,-245.18534210362688,-65.07525289908735,46540.0,47590.0,47392.5,46612.050749650916,47051.73487753914,47210.46634083559,46333.333333333336,47075.454545454544,47406.42857142857,0.0,500.0,-0.29166666666666674
2010-05-14,48350,2050.0,46450,48550,46450,1928044,92.85714285714286,56.39680140458759,38.98182183252334,26.100569513429946,141.39460598135267,-115.29403646792272,30.249054717039687,46790.0,47655.0,47490.0,47191.367168478195,47287.79856339785,47319.89028707055,46936.666666666664,47213.63636363636,47497.619047619046,0.0,2050.0,-54.999999999999744
