date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,499000,-16000.0,518000,522000,496000,935625,7.317073170731707,17.07315064523014,24.34129285668718,-7292.789319354575,-4277.039208873266,-3015.750110481309,-184.44124409408948,519400.0,523600.0,535800.0,514654.97024809534,522118.7275261497,529219.1307068045,513600.0,519818.1818181818,527880.9523809524,-16000.0,0.0,-0.46153846153846156
2010-05-03,488000,-11000.0,498500,499000,484000,545243,7.8431372549019605,12.458143950061855,18.39971840336911,-9484.270336698159,-5318.623884789365,-4165.646451908794,-224.34419931950353,510000.0,519500.0,532300.0,505769.9793618585,515913.2959357436,525220.5059271589,503133.3333333333,513345.45454545453,523328.5714285714,-11000.0,0.0,-0.34285714285714286
2010-05-04,487500,-500.0,490000,493500,485000,271949,8.974358974358974,10.716251462209621,14.55798493278762,-11129.263849591254,-6480.87546953731,-4648.388380053944,-194.5687854371824,501500.0,515350.0,528775.0,499679.98587406223,510745.8613705668,521567.74760124733,495633.3333333333,507527.2727272727,519061.90476190473,-500.0,0.0,-0.0
2010-05-06,485500,-2000.0,480000,486500,475500,392655,21.50537634408602,16.110813903149047,15.33439941796851,-12443.204060483258,-7673.44264012138,-4769.761420361879,-186.93345624452056,495000.0,510600.0,525050.0,494953.3237260555,506154.70103195414,518080.61543651845,490300.0,502100.0,514940.4761904762,-2000.0,0.0,-0.0
2010-05-07,472500,-13000.0,475000,482500,470000,490152,4.807692307692308,10.459253105420034,12.896826261693993,-14331.363277225231,-9005.117396629772,-5326.245880595459,-181.53746140094228,486500.0,505350.0,520775.0,487468.8822834811,500034.5697603644,513680.109815368,482800.0,495172.7272727273,509935.71428571426,-13000.0,0.0,-0.0
2010-05-10,482500,10000.0,474500,487500,473000,327871,43.103448275862064,26.78135069064198,19.83908847616838,-14872.83566070121,-10178.724946716855,-4694.110713984355,-132.45151090030453,483200.0,501300.0,517650.0,485812.588159399,496845.9995208089,510673.80136608804,481466.6666666667,491018.1818181818,506290.4761904762,0.0,10000.0,-0.30769230769230776
2010-05-11,467500,-15000.0,492000,492500,467500,504064,0.0,13.390675345320608,16.614881910744405,-16288.42974625586,-11400.719131978094,-4887.710614277767,-126.37896037419449,479100.0,494550.0,513775.0,479708.3920335681,491509.72427452356,506515.99484546017,476233.3333333333,484872.7272727273,501514.28571428574,-15000.0,0.0,-0.3174603174603175
2010-05-12,456000,-11500.0,467500,474000,453000,439854,7.59493670886076,10.492806027090642,13.55384396891748,-18103.26261070033,-12741.274539260921,-5361.988071439409,-145.07204295184314,472800.0,487150.0,509675.0,471805.5946262999,485052.7781847912,501656.2858975557,468533.3333333333,477863.63636363635,496011.90476190473,-11500.0,0.0,-0.31250000000000006
2010-05-13,457000,1000.0,459500,463000,451000,408241,14.457831325301203,12.475318676195936,13.014581322556705,-19239.569174954144,-14040.96969661274,-5198.599478341404,-131.51799583202038,467100.0,481050.0,505425.0,466870.3963914108,479951.86418605054,497364.4234294026,463266.6666666667,472381.8181818182,490995.2380952381,0.0,1000.0,-0.360655737704918
2010-05-14,464000,7000.0,454500,468500,454500,360755,31.32530120481928,21.90030994050764,17.457445631532185,-19363.86353687168,-15105.57220609383,-4258.291330777849,-99.84925889912692,465400.0,475950.0,501725.0,465913.5975908976,477051.33501760225,494160.5980345682,462233.3333333333,469281.8181818182,487050.0,0.0,7000.0,-0.8372093023255814
2010-05-17,442000,-22000.0,461000,461000,441000,433320,1.9417475728155338,11.921028756661569,14.689237194096874,-20957.291992209968,-16275.937043323478,-4681.35494888649,-114.88979754662391,457300.0,470250.0,496925.0,457942.39837517956,470678.02302978706,489155.805525703,454433.3333333333,463109.0909090909,481361.90476190473,-22000.0,0.0,-0.5901639344262295
2010-05-18,453500,11500.0,442000,454000,435000,379579,47.43589743589743,29.678463096279515,22.183850145188202,-21066.45792729652,-17234.05489483301,-3832.4030324635096,-100.23947387232825,454500.0,466800.0,493150.0,456461.59891446395,467554.60898897576,485737.0752237209,453166.6666666667,460063.63636363635,477226.1904761905,0.0,11500.0,-0.6724137931034483
2010-05-19,447000,-6500.0,447500,452500,443000,284446,35.82089552238806,32.749679309333786,27.466764727260994,-21420.197348066955,-18071.292945048404,-3348.9044030185505,-86.83245006114946,452700.0,462750.0,489050.0,453307.7326063451,463817.2731080557,482025.29630531516,450666.6666666667,456463.63636363635,472830.95238095237,-6500.0,0.0,-0.9512195121951219
2010-05-20,434500,-12500.0,450000,450500,431000,347475,9.333333333333334,21.041506321333557,24.254135524297276,-22432.729542294983,-18943.588232378912,-3489.141309916071,-89.7580664536432,448200.0,457650.0,484125.0,447038.4883998602,458486.7031533778,477474.0792522535,444600.0,451327.2727272727,467635.71428571426,-12500.0,0.0,-0.9069767441860466
2010-05-24,455500,21000.0,438500,457000,434000,381420,81.66666666666667,51.35408649400012,37.804111009148706,-21320.6426926509,-19419.00259852768,-1901.6400941232205,-61.34523683994691,446500.0,455950.0,480650.0,449858.99226788414,457943.6531582846,475370.8577069877,447033.3333333333,450936.36363636365,464909.5238095238,0.0,21000.0,-26.333333333333332
2010-05-25,446000,-9500.0,451000,457000,444500,420477,57.692307692307686,54.5231970931539,46.1636540511513,-20952.81415375904,-19725.766702918918,-1227.047450840124,-52.79980967510446,447300.0,452300.0,476800.0,448572.6615115243,455772.0371326167,472560.99927684496,446866.6666666667,449127.2727272727,461609.5238095238,-9500.0,0.0,-1.8055555555555562
2010-05-26,454500,8500.0,455000,463500,451000,427735,72.3076923076923,63.4154447004231,54.7895493757872,-19756.467097770947,-19731.90681060541,-24.560287165535556,-32.128878552385125,447500.0,451000.0,472775.0,450548.4410080909,455540.75393103296,470833.8780831919,449266.6666666667,449527.2727272727,459485.71428571426,0.0,8500.0,3.2800000000000002
2010-05-27,464500,10000.0,457000,470000,454500,391049,85.8974358974359,74.6564402989295,64.72299483735836,-17805.971829119953,-19346.718373147276,1540.7465440273227,-13.863506513653297,451000.0,451850.0,469500.0,455198.9606727009,457169.7292155753,470228.42314868263,454933.3333333333,451981.8181818182,458697.61904761905,0.0,10000.0,3.5909090909090913
2010-05-28,472000,7500.0,474500,474500,465500,292027,93.82716049382715,84.24180039637832,74.48239761686834,-15483.39809131471,-18574.052004070287,3090.653912755577,4.612913836806862,458500.0,453350.0,467200.0,460799.30711564794,459866.17114115146,470397.70848831616,461933.3333333333,455645.45454545453,458935.71428571426,0.0,7500.0,1.8800000000000001
2010-05-31,472000,0.0,471000,473500,465500,182932,91.66666666666666,87.95423353152249,81.21831557419542,-13487.251444633526,-17556.689456083608,4069.438011450082,8.32926010260573,461800.0,454150.0,465050.0,464532.87141066045,462072.3412931726,470550.7688407963,466433.3333333333,459036.36363636365,459392.85714285716,0.0,0.0,1.2533333333333332
2010-06-01,460000,-12000.0,468000,470000,457500,266996,38.297872340425535,63.126052935974016,72.17218425508472,-12717.377184457087,-16588.825147698633,3871.447963241546,-2.6040370867956746,464600.0,455950.0,463100.0,463021.91427371197,461695.54924919194,469543.1870564437,465833.3333333333,460100.0,458911.90476190473,-12000.0,0.0,5.777777777777781
2010-06-03,475500,15500.0,467000,477000,463500,285478,93.33333333333333,78.22969313465367,75.2009386948692,-10744.017024326022,-15419.861731592888,4675.844707266866,19.08228690646113,468800.0,458150.0,462475.0,467181.2761825878,464205.46419888805,470111.9052448209,469466.6666666667,463654.54545454547,460092.85714285716,0.0,15500.0,1.4067796610169492
2010-06-04,456000,-19500.0,472000,475000,456000,472063,0.0,39.114846567326836,57.157892631098015,-10617.856071680493,-14459.459422160606,3841.6033504801126,1.695262579407178,467100.0,459050.0,460900.0,463454.1841216576,462713.554413137,468764.90847498237,465200.0,463263.63636363635,459476.1904761905,-19500.0,0.0,22.0
2010-06-07,448000,-8000.0,442000,451000,440500,326892,20.54794520547945,29.831395886403143,43.49464425875058,-11031.024337183218,-13773.771732644598,2742.7473954613797,-31.238050416213273,462300.0,460400.0,459025.0,458302.7894143762,460038.3521323696,466783.2973571661,458833.3333333333,461254.54545454547,458247.61904761905,-8000.0,0.0,-1.3939393939393943
2010-06-08,450000,2000.0,447000,453000,442500,168069,26.027397260273972,27.929396573338558,35.71202041604457,-11070.460025287292,-13233.10896694874,2162.6489416614477,-25.03026586796227,457900.0,459850.0,457900.0,455535.19294289517,458213.19129937363,465181.96296751336,454733.3333333333,459363.63636363635,457388.09523809527,0.0,2000.0,-0.7954545454545454
2010-06-09,447000,-3000.0,446000,452000,443000,269627,17.80821917808219,22.868807875710374,29.29041414587747,-11212.760028485849,-12829.038925617286,1616.2788971314367,-25.041200738848314,455300.0,459950.0,456125.0,452690.12862858153,456174.4238528606,463447.4808578462,451100.0,457027.2727272727,456350.0,-3000.0,0.0,-0.7000000000000001
2010-06-10,448500,1500.0,450000,455000,445000,284195,23.18840579710145,23.028606836405913,26.159510491141692,-11077.419300115842,-12478.714824595396,1401.295524479554,-16.899208293393023,449900.0,459350.0,455175.0,451293.419085716,454779.0710420177,462021.7793932257,448833.3333333333,454945.45454545453,455623.8095238095,0.0,1500.0,-1.6521739130434783
2010-06-11,465500,17000.0,457500,466000,457000,341722,98.0392156862745,60.53391126134021,43.34671087624095,-9496.75387360563,-11882.322394806022,2385.568521200392,22.763783470891564,451800.0,459450.0,455650.0,456028.9460571553,456728.3343036707,462353.4872646762,454033.3333333333,456063.63636363635,456607.14285714284,0.0,17000.0,-2.0500000000000003
2010-06-14,473000,7500.0,474000,478500,470000,338840,84.72222222222221,72.62806674178121,57.98738880901108,-7555.026625084865,-11016.862962713854,3461.836337628989,58.9066818575015,456800.0,459550.0,456450.0,461685.96403811255,459686.82326129643,463368.683507642,461100.0,458527.2727272727,458259.5238095238,0.0,7500.0,1.6470588235294115
2010-06-15,468000,-5000.0,467500,473000,466000,200921,70.4225352112676,71.5253009765244,64.75634489276774,-6344.549809567863,-10082.400091824826,3737.8502822569626,44.64738711314061,460400.0,459150.0,456650.0,463790.6426920774,461198.311732462,463810.25029174506,464833.3333333333,460063.63636363635,459359.5238095238,-5000.0,0.0,1.4
2010-06-16,472000,4000.0,474000,475000,468500,155320,80.59701492537313,76.06115795094877,70.40875142185826,-5006.2502715609735,-9067.169918951322,4060.9196473903485,56.20301700216937,465400.0,460350.0,458150.0,466527.0951280535,463162.2569582724,464591.0087733674,468700.0,462400.0,460821.4285714286,0.0,4000.0,1.3636363636363635
2010-06-17,471500,-500.0,473000,473500,468000,179548,67.44186046511628,71.75150920803253,71.0801303149454,-3940.411325412395,-8041.818031521418,4101.406706109023,53.764956903439284,470000.0,459950.0,459050.0,468184.73008536984,464678.2114413324,465249.6050015175,470733.3333333333,464427.2727272727,462092.85714285716,-500.0,0.0,1.2244897959183674
2010-06-18,465000,-6500.0,470000,470500,461000,241506,22.857142857142858,47.304326032587696,59.192228173766544,-3576.940654372738,-7148.842438540049,3571.9017841673112,28.46118294478651,469900.0,460850.0,459950.0,467123.15339024627,464736.71848997846,465225.81358217105,469066.6666666667,465345.45454545453,462659.5238095238,-6500.0,0.0,1.7272727272727273
2010-06-21,492500,27500.0,480000,493000,475000,605509,98.4375,72.87091301629385,66.0315705950302,-1065.6602146480582,-5932.205865634865,4866.545650986807,137.98132335991315,473800.0,465300.0,462850.0,475582.10226016596,469784.5905364299,467825.28424678417,476600.0,471100.0,465759.5238095238,0.0,27500.0,1.4444444444444444
2010-06-22,497000,4500.0,491500,499500,486000,453185,93.5064935064935,83.18870326139367,74.61013692821194,1271.692281379539,-4491.426114846531,5763.11839622607,168.88443744932567,479600.0,470000.0,464925.0,482721.4015067783,474732.8489527864,470605.6954712684,484333.3333333333,476863.63636363635,469011.90476190473,0.0,4500.0,1.5
2010-06-23,504000,7000.0,493000,508000,492000,379481,91.48936170212765,87.33903248176065,80.9745847049863,3645.03535208659,-2864.133711780616,6509.169063867206,190.55609938003994,486000.0,475700.0,467825.0,489814.26767118624,480054.1510351182,473788.03866594686,492466.6666666667,483045.45454545453,472733.3333333333,0.0,7000.0,1.1944444444444444
2010-06-24,507000,3000.0,500000,507000,495000,207315,97.87234042553192,92.60568645364629,86.79013557931628,5701.486229536124,-1151.009631145801,6852.495860681925,175.28207819469955,493100.0,481550.0,470450.0,495542.84511412453,484953.3977266285,476952.82207258843,499466.6666666667,488736.36363636365,476464.28571428574,0.0,3000.0,1.2
2010-06-25,496500,-10500.0,498000,499500,493500,261246,65.15151515151516,78.87860080258072,82.83436819094851,6412.242841489671,361.64092863085835,6050.601912858813,123.80747875701692,499400.0,484650.0,472050.0,495861.8967427497,487052.7804578148,478815.38429400977,500600.0,491454.54545454547,478945.2380952381,-10500.0,0.0,1.6800000000000002
2010-06-28,489000,-7500.0,496500,497500,488000,177737,13.636363636363635,46.25748221947218,64.54592520521035,6299.175090390781,1549.1478019621989,4750.027288428582,88.70136500688739,498700.0,486250.0,472900.0,493574.59782849974,487406.8204435185,479785.78430326574,497133.3333333333,492245.45454545453,480559.5238095238,-7500.0,0.0,1.75
2010-06-29,476500,-12500.0,486000,490500,475000,382841,4.545454545454546,25.401468382463364,44.97369679383686,5143.9186326248455,2268.101987942886,2875.8166446819596,35.7900949008634,494600.0,487100.0,473125.0,487883.0652189997,485423.7618651081,479472.72502582765,489733.3333333333,490472.7272727273,480902.38095238095,-12500.0,0.0,-0.90625
2010-06-30,466500,-10000.0,464000,470000,463500,343822,6.896551724137931,16.149010053300646,30.561353423568754,3384.163604079513,2491.3143160999866,892.8492879795263,-28.62997165071446,487100.0,486550.0,473450.0,480755.3768126664,481983.07744111476,478236.77219401195,480366.6666666667,486727.2727272727,480271.4285714286,-10000.0,0.0,-0.3278688524590164
2010-07-01,460500,-6000.0,462000,466500,458500,234766,4.878048780487805,10.513529416894226,20.537441420231488,1489.2054974304046,2290.8925488249242,-801.6870513945196,-47.797196940086444,477800.0,485450.0,472700.0,474003.5845417775,478077.06294431153,476546.99270884006,471500.0,481990.9090909091,479038.09523809527,-6000.0,0.0,-0.06896551724137931
2010-07-02,466500,6000.0,459500,475000,459500,211695,20.51282051282051,15.513174964857368,18.02530819254443,465.37139844929334,1925.7883135891313,-1460.416915139838,-25.334761159468226,471800.0,485600.0,473225.0,471502.38969451835,475972.14222529804,475589.8476868114,467733.3333333333,478545.45454545453,478447.61904761905,0.0,6000.0,-0.14814814814814814
2010-07-05,483500,17000.0,466500,486000,466000,267930,78.125,46.819087482428685,32.42219783748656,1011.7717689974816,1742.985002603694,-731.2132336062125,18.72298661834927,470700.0,484700.0,475000.0,475501.5931296789,477340.8437366027,476343.40108073433,471633.3333333333,478163.63636363635,479426.1904761905,0.0,17000.0,-1.7692307692307694
2010-07-06,483500,0.0,479500,490000,473000,247526,79.36507936507937,63.092083423754026,47.75714063062029,1428.321350668266,1680.0522716473029,-251.7309209790369,28.07259097776013,472100.0,483350.0,476675.0,478167.7287531193,478460.6903953651,477025.15018674347,475900.0,477945.45454545453,480235.71428571426,0.0,0.0,-4.1818181818181825
2010-07-07,482000,-1500.0,484500,489000,474000,242565,74.60317460317461,68.84762901346431,58.3023848220423,1618.9056860730634,1667.8229544439514,-48.917268370887996,18.246681092461895,475200.0,481150.0,478425.0,479445.1525020796,479104.20126332826,477499.05122745025,479200.0,477700.0,480742.85714285716,-1500.0,0.0,4.181818181818181
2010-07-08,497000,15000.0,487000,502000,486000,479488,88.23529411764706,78.5414615655557,68.42192319379899,2944.746373474016,1923.2076397285407,1021.5387337454752,67.84016931696897,482500.0,480150.0,480850.0,485296.76833471976,482357.982979054,479356.6597366731,486466.6666666667,480581.8181818182,482511.90476190473,0.0,15000.0,1.2459016393442623
2010-07-09,505000,8000.0,499000,507000,496000,326212,95.1219512195122,86.83170639253395,77.62681479316646,4587.313472655544,2456.0288087818003,2131.2846638737433,89.51554591467918,490200.0,481000.0,482825.0,491864.5122231465,486474.71347821434,481799.3291122729,493966.6666666667,485100.0,484811.90476190473,0.0,8000.0,1.0337078651685394
2010-07-12,501000,-4000.0,505000,507000,498000,238087,82.35294117647058,84.59232378450227,81.10956928883436,5503.1969831291935,3065.4624459094416,2437.734537219752,80.22406541845743,493700.0,482200.0,484225.0,494909.674815431,489115.6747331284,483628.2669057974,497566.6666666667,488736.36363636365,486542.85714285716,-4000.0,0.0,1.1594202898550725
2010-07-13,500000,-1000.0,502000,504000,498000,244102,78.78787878787878,81.69010128619053,81.39983528751245,6078.346973056265,3668.0393531250115,2410.307619931253,66.88760601525289,497000.0,484550.0,485825.0,496606.449876954,491094.6430058548,485187.71292148886,499666.6666666667,491972.7272727273,488045.2380952381,-1000.0,0.0,1.393939393939394
2010-07-14,488500,-11500.0,495500,499000,484000,789798,19.565217391304348,50.627659338747435,66.01374731312994,5543.20161796594,4043.071806982558,1500.1298109833824,20.023881693764075,498300.0,486750.0,486650.0,493904.2999179694,490622.889723796,485503.21154580824,496833.3333333333,492690.9090909091,488300.0,-11500.0,0.0,4.6
2010-07-15,487000,-1500.0,488500,494000,481500,364049,21.568627450980394,36.09814339486391,51.055945353996925,4941.204425450123,4222.698331016848,718.5060944332754,3.281252980790297,496300.0,489400.0,487425.0,491602.8666119796,489964.18249184324,485645.7802898796,493066.6666666667,492736.36363636365,488333.3333333333,-1500.0,0.0,4.6
2010-07-16,491500,4500.0,487500,498500,487500,240038,39.21568627450981,37.65691483468686,44.35643009434189,4771.913016838604,4332.541268347909,439.3717484906947,20.07201409637719,493600.0,491900.0,488750.0,491568.5777413198,490243.42204205657,486203.3868186616,491466.6666666667,493118.1818181818,488721.4285714286,0.0,4500.0,-2.2727272727272734
2010-07-19,491500,0.0,487000,494000,486500,131822,44.44444444444444,41.05067963956565,42.703554866953766,4584.890976009949,4383.0112099415965,201.87976606835218,11.651532114277751,491700.0,492700.0,488700.0,491545.7184942132,490471.8907638755,486707.8767527421,490766.6666666667,493045.45454545453,488983.3333333333,0.0,0.0,-0.3333333333333333
2010-07-20,497000,5500.0,489500,500000,486000,217086,83.78378378378379,62.41723171167472,52.56039328931424,4824.5384438851615,4471.316656816083,353.22178706907835,32.725413328788974,491100.0,494050.0,488700.0,493363.8123294755,491658.81972521904,487688.16789620667,492533.3333333333,493827.2727272727,489773.8095238095,0.0,5500.0,-2.5
2010-07-21,509000,12000.0,508000,511000,504000,437419,93.22033898305084,77.81878534736278,65.1895893183385,5913.931849637011,4759.83969560447,1154.0921540325407,112.21146056275107,495200.0,496750.0,488950.0,498575.874886317,494811.76161361916,489718.0327982976,498500.0,496545.45454545453,491707.14285714284,0.0,12000.0,2.444444444444444
2010-07-22,514000,5000.0,507000,520000,501000,418009,82.35294117647058,80.08586326191667,72.63772629012759,7098.649196631857,5227.601596100733,1871.0476005311239,137.4601845154257,500600.0,498450.0,489300.0,503717.2499242113,498300.53224766505,492030.7728489373,504766.6666666667,499681.8181818182,494092.85714285716,0.0,5000.0,1.0588235294117647
2010-07-23,518000,4000.0,518000,522000,514000,239263,88.88888888888889,84.48737607540278,78.56255118276519,8264.840764002583,5835.049429983202,2429.791334019382,167.5006584145379,505900.0,499750.0,490375.0,508478.16661614086,501882.25367258594,494504.19876279443,510566.6666666667,503236.36363636365,496826.1904761905,0.0,4000.0,1.0
2010-07-26,517000,-1000.0,520000,521000,511000,185617,86.11111111111111,85.29924359325695,81.93089738801106,9004.593254376145,6468.958195113996,2535.6350592621484,146.208481558905,511000.0,501350.0,491775.0,511318.7777440939,504630.93483269773,496646.78627004364,514266.6666666667,506372.7272727273,499361.90476190473,-1000.0,0.0,1.0392156862745099
