date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,137000,1500,135500,137000,134500,904188,100,93.95579701,90.09329145,3553.792736,2389.720379,1164.072357,118.1765389,133100,128800,126250,133289.6713,130151.7174,126845.3887,134200,131500,127583.3333,0,1500,1.130434783
2010-05-03,134500,-2500,136500,138000,133500,562431,70.83333333,82.39456517,86.24392831,3677.547083,2647.319961,1030.227122,110.6960433,133700,130350,126450,133693.1142,130942.5725,127587.9545,134666.6667,132536.3636,128369.0476,-2500,0,1.888888889
2010-05-04,138000,3500,137000,140000,135500,827959,85.71428571,84.05442544,85.14917688,4000.464035,2917.977557,1082.486478,138.5415858,135300,131850,126900,135128.7429,132226.0841,128596.2306,136100,133927.2727,129469.0476,0,3500,1.615384615
2010-05-06,136500,-1500,134000,137000,133000,1100149,63.15789474,73.60616009,79.37766848,4092.09624,3152.821272,939.2749679,106.8104907,136300,133000,127325,135585.8286,133003.3296,129360.3895,136500,134772.7273,130383.3333,-1500,0,1.615384615
2010-05-07,131000,-5500,132000,133000,129000,1786474,18.18181818,45.89398914,62.63582881,3693.003705,3260.865112,432.1385932,49.88395828,135400,133550,127500,134057.219,132639.0227,129518.683,134733.3333,134409.0909,130733.3333,-5500,0,-18
2010-05-10,130500,-500,131000,134500,130500,824320,13.63636364,29.76517639,46.2005026,3299.575193,3268.607549,30.96764349,59.57150322,134100,133600,127700,132871.4793,132250.0526,129613.2991,133100,133854.5455,131019.0476,-500,0,-1
2010-05-11,130500,0,132500,133500,130000,1094366,13.63636364,21.70077001,33.9506363,2953.722517,3205.6278,-251.905283,44.0611391,133300,133500,128325,132080.9862,131931.8231,129698.6919,131900,133290.9091,131285.7143,0,0,-0.538461538
2010-05-12,134000,3500,131500,136500,131000,1224376,62.5,42.10038501,38.02551065,2920.786152,3148.657485,-227.8713326,65.11476477,132500,133900,129025,132720.6575,132307.8921,130112.4837,132133.3333,133381.8182,131826.1905,0,3500,-14
2010-05-13,141500,7500,136500,142500,136500,1272784,92.59259259,67.3464888,52.68599973,3444.97854,3207.923348,237.055192,122.6951406,133500,134900,130125,135647.105,133979.3184,131206.9243,135133.3333,134763.6364,133014.2857,0,7500,3.142857143
2010-05-14,144500,3000,141000,146500,139500,1345770,87.87878788,77.61263834,65.14931903,4049.898567,3376.322147,673.5764198,134.8080794,136200,135800,131400,138598.07,135892.2951,132483.3946,138800,136509.0909,134383.3333,0,3000,1.75
2010-05-17,140500,-4000,142500,144500,140000,1458889,63.63636364,70.62450099,67.88691001,4165.076258,3534.075784,631.000474,96.26527936,138200,136150,132475,139232.0467,136730.1046,133252.5853,140233.3333,137363.6364,135250,-4000,0,1.473684211
2010-05-18,135500,-5000,140500,142500,131500,1509691,29.03225806,49.82837953,58.85764477,3816.694844,3590.600403,226.0944409,34.46689254,139200,136250,133300,137988.0311,136506.4394,133468.0707,139333.3333,137245.4545,135538.0952,-5000,0,2.8
2010-05-19,140000,4500,133000,141000,131000,1358933,58.06451613,53.94644783,56.4020463,3852.603726,3643.001666,209.6020604,34.47214528,140400,136450,134150,138658.6874,137141.655,134093.9588,139600,137927.2727,136176.1905,0,4500,1.947368421
2010-05-20,139500,-500,140500,144500,136000,1579948,54.83870968,54.39257875,55.39731253,3797.4958,3673.900775,123.5950249,52.06947971,140000,136750,134875,138939.1249,137570.4576,134611.6635,139300,138481.8182,136685.7143,-500,0,2.727272727
2010-05-24,138500,-1000,137000,140500,135000,1072323,55.55555556,54.97406715,55.18568984,3632.426101,3665.605779,-33.17967817,27.06656913,138800,137500,135525,138792.75,137739.4694,134983.8308,138800,138800,137030.9524,-1000,0,-2.5
2010-05-25,135500,-3000,135500,138000,129000,1691963,41.93548387,48.45477551,51.82023268,3225.801039,3577.644317,-351.8432781,-13.20551076,137800,138000,135800,137695.1666,137332.2851,135033.2118,137700,138436.3636,137028.5714,-3000,0,-0.5
2010-05-26,136000,500,133500,137000,132000,1849539,45.16129032,46.80803292,49.3141328,2909.793304,3444.07349,-534.2801854,-7.07457407,137900,138550,136025,137130.1111,137090.0476,135125.6629,137100,138072.7273,137047.619,0,500,-1.111111111
2010-05-27,137000,1000,134000,138500,131500,1822113,51.61290323,49.21046807,49.26230043,2707.805429,3296.819327,-589.0138973,-3.008296317,137300,138850,136375,137086.7407,137073.6751,135304.8307,136800,137790.9091,137140.4762,0,1000,4
2010-05-28,137500,500,139000,141500,135000,1293547,68,58.60523404,53.93376724,2558.089615,3149.072942,-590.9833274,19.14430747,136900,138450,136675,137224.4938,137151.1895,135514.5929,136866.6667,137545.4545,137247.619,0,500,-0.8
2010-05-31,140000,2500,137000,140500,137000,689048,88,73.30261702,63.61819213,2608.903187,3041.038733,-432.1355451,31.45183937,137200,138000,136900,138149.6625,137669.1596,135943.0655,137900,137827.2727,137564.2857,0,2500,9
2010-06-01,132500,-7500,138500,139500,132500,1513081,10,41.65130851,52.63475032,2026.568566,2838.144311,-811.5757446,-22.59136213,136600,137200,136675,136266.4417,136729.3056,135614.2582,136333.3333,136827.2727,137145.2381,-7500,0,-0.75
2010-06-03,132000,-500,134500,135000,129000,1800738,24,32.82565425,42.73020229,1507.73482,2572.062005,-1064.327185,-60.88598402,135800,136850,136550,134844.2945,135869.4268,135269.1921,134800,135881.8182,136700,-500,0,-1.285714286
