date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2018-05-04,158000,-2000,158000,160000,156500,448848,44.44444444,50.66153922,52.6927808,1712.034555,1597.775135,114.25942,30.23431595,159200,159850,156625,159141.0837,158810.3914,157393.5212,159200,159509.0909,158409.5238,-2000,0,-0.583333333
2018-05-08,156000,-2000,158500,161000,154500,595219,17.64705882,34.15429902,43.42353991,1384.256774,1555.071463,-170.8146888,8.679762449,158800,159450,156800,158094.0558,158299.4111,157260.8049,158133.3333,158809.0909,158350,-2000,0,-7
2018-05-09,153500,-2500,154500,156000,153500,513770,0,17.07714951,30.25034471,912.2456147,1426.506293,-514.2606783,-44.58314757,157500,158850,156925,156562.7039,157426.7909,156902.633,156366.6667,157727.2727,158035.7143,-2500,0,-0.444444444
2018-05-10,152000,-1500,152500,154000,150500,747954,12,14.53857475,22.39445973,412.3822209,1223.681479,-811.2992577,-80.33152694,155900,157800,156975,155041.8026,156440.1017,156435.7156,154533.3333,156481.8182,157566.6667,-1500,0,0
2018-05-11,153000,1000,152000,154000,151500,319288,23.80952381,19.17404928,20.78425451,95.82392407,998.1099676,-902.2860436,-68.24308186,154500,156700,157125,154361.2017,155814.6286,156108.5046,153566.6667,155609.0909,157188.0952,0,1000,-0.142857143
2018-05-14,151000,-2000,153500,154500,150500,439028,4.761904762,11.96797702,16.37611576,-312.8280056,735.922373,-1048.750379,-77.5762254,153100,156150,157075,153240.8012,154939.2416,155621.9803,152400,154572.7273,156604.7619,-2000,0,-0.111111111
2018-05-15,148500,-2500,150000,151500,148000,611470,6.25,9.108988511,12.74255214,-828.8621043,422.9654775,-1251.827582,-108.8022831,151600,155200,156975,151660.5341,153768.4704,154943.6965,150866.6667,153181.8182,155788.0952,-2500,0,-0.105263158
2018-05-16,150500,2000,148500,151500,146000,599945,52.94117647,31.02508249,21.88381731,-1064.172443,125.5378935,-1189.710336,-99.82472248,151000,154250,156850,151273.6894,153174.2031,154520.4873,150500,152327.2727,155171.4286,0,2000,-0.545454545
2018-05-17,149500,-1000,150500,151000,149500,297968,41.17647059,36.10077654,28.99229693,-1316.177153,-162.8051157,-1153.372037,-85.32806888,150500,153200,156450,150682.4596,152506.1661,154042.3456,150000,151463.6364,154471.4286,-1000,0,-0.75
2018-05-18,150000,500,148500,150000,148000,330193,47.05882353,41.57980003,35.28604848,-1458.731531,-421.9903987,-1036.741132,-88.1216605,149900,152200,156025,150454.9731,152050.4996,153657.3603,149833.3333,150881.8182,153857.1429,0,500,-1.75
2018-05-21,149000,-1000,149500,151000,149000,332251,54.54545455,48.06262729,41.67433789,-1633.567792,-664.3058774,-969.2619148,-78.22048399,149500,151300,155575,149969.982,151495.8633,153213.8022,149533.3333,150300,153188.0952,-1000,0,-0.625
2018-05-23,144500,-4500,147000,148500,144000,1062994,6.666666667,27.36464698,34.51949243,-2110.905971,-953.6258961,-1157.280075,-118.5772841,148700,150150,154800,148146.6547,150223.8881,152383.9163,147866.6667,149063.6364,152133.3333,-4500,0,-0.384615385
2018-05-24,140000,-4500,144000,144500,139000,1387498,8.333333333,17.84899016,26.18424129,-2819.807325,-1326.862182,-1492.945143,-154.484266,146600,148800,153825,145431.1031,148364.9994,151204.4957,144966.6667,147218.1818,150723.8095,-4500,0,-0.294117647
2018-05-25,139000,-1000,139500,141000,138500,697859,4,10.92449508,18.55436819,-3422.851892,-1746.060124,-1676.791768,-155.4062191,144500,147500,152650,143287.4021,146662.2722,150042.1628,142433.3333,145436.3636,149311.9048,-1000,0,-0.043478261
2018-05-28,138500,-500,139000,140500,138000,498199,3.846153846,7.385324462,12.96984632,-3896.201888,-2176.088477,-1720.113411,-142.7306204,142200,146050,151375,141691.6014,145178.2227,148942.9092,140433.3333,143800,147964.2857,-500,0,-0.045454545
2018-05-29,140000,1500,139500,141000,139000,471953,19.04761905,13.21647175,13.09315904,-4103.000866,-2561.470955,-1541.529911,-114.6583824,140400,144950,150550,141127.7343,144236.7277,148091.2035,139700,142700,146880.9524,0,1500,-0.15
2018-05-30,137500,-2500,138500,139500,136000,648596,17.64705882,15.43176529,14.26246216,-4417.695211,-2932.715806,-1484.979406,-119.7285606,139000,143850,149525,139918.4895,143011.8681,147082.5175,138733.3333,141345.4545,145638.0952,-2500,0,-0.130434783
2018-05-31,139000,1500,139000,140000,137500,835047,60,37.71588264,25.9891724,-4494.248386,-3245.022322,-1249.226064,-93.74021909,138800,142700,148475,139612.3263,142282.4375,146312.7539,138733.3333,140463.6364,144635.7143,0,1500,-0.545454545
2018-06-01,140000,1000,138500,140000,137500,395619,80,58.85794132,42.42355686,-4423.237359,-3480.665329,-942.5720296,-78.12147212,139000,141750,147475,139741.5509,141867.4489,145711.5393,139133.3333,139972.7273,143828.5714,0,1000,0
